https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GO,Volume USDT
1663459200,2022-09-18 00:00:00,GO/USDT,0.008032,0.008233,0.008032,0.008087,41979.7397,343.317294347
1663455600,2022-09-17 23:00:00,GO/USDT,0.008032,0.008032,0.008032,0.008032,100,0.8032
1663452000,2022-09-17 22:00:00,GO/USDT,0.008032,0.008032,0.008032,0.008032,0,0
1663448400,2022-09-17 21:00:00,GO/USDT,0.008032,0.008032,0.008032,0.008032,0,0
1663444800,2022-09-17 20:00:00,GO/USDT,0.008032,0.008032,0.008032,0.008032,119.1208,0.9567782656
1663441200,2022-09-17 19:00:00,GO/USDT,0.007981,0.007981,0.007961,0.007961,5546.7111,44.1758329132
1663437600,2022-09-17 18:00:00,GO/USDT,0.008015,0.008219,0.007974,0.008073,33696.8312,270.1549077929
1663434000,2022-09-17 17:00:00,GO/USDT,0.007989,0.00809,0.007981,0.00809,655.3591,5.2424188587
1663430400,2022-09-17 16:00:00,GO/USDT,0.008073,0.00809,0.007998,0.008073,18470.6723,147.8215314561
1663426800,2022-09-17 15:00:00,GO/USDT,0.007973,0.008142,0.007973,0.007998,77638.0846,627.2496930213
1663423200,2022-09-17 14:00:00,GO/USDT,0.00795,0.007973,0.007817,0.007973,12187.3226,96.3348550179
1663419600,2022-09-17 13:00:00,GO/USDT,0.0078,0.007951,0.007799,0.007951,4089.4241,32.3821232556
1663416000,2022-09-17 12:00:00,GO/USDT,0.007858,0.007893,0.007858,0.007893,758.6773,5.9652894874
1663412400,2022-09-17 11:00:00,GO/USDT,0.007939,0.007939,0.007819,0.007819,1534.1791,12.110479528
1663408800,2022-09-17 10:00:00,GO/USDT,0.007905,0.00795,0.007905,0.00795,1390.193,10.9999998475
1663405200,2022-09-17 09:00:00,GO/USDT,0.007905,0.007905,0.007905,0.007905,25.3004,0.199999662
1663401600,2022-09-17 08:00:00,GO/USDT,0.007911,0.007913,0.007842,0.007913,2053.6953,16.246264144
1663398000,2022-09-17 07:00:00,GO/USDT,0.007888,0.00795,0.007858,0.007858,1401.4823,11.0564288673
1663394400,2022-09-17 06:00:00,GO/USDT,0.007887,0.007889,0.007801,0.007854,27149.7782,212.1120946042
1663390800,2022-09-17 05:00:00,GO/USDT,0.007745,0.00787,0.007726,0.00787,8031.6248,63.1130205154
1663387200,2022-09-17 04:00:00,GO/USDT,0.007799,0.007799,0.007799,0.007799,71.7713,0.5597443687
1663383600,2022-09-17 03:00:00,GO/USDT,0.007889,0.007949,0.007684,0.007783,56431.5716,435.6646021852
1663380000,2022-09-17 02:00:00,GO/USDT,0.007846,0.007858,0.007698,0.007858,7673.6991,59.617020648
1663376400,2022-09-17 01:00:00,GO/USDT,0.00795,0.007951,0.0078,0.007868,5717.4242,45.1705343756
1663372800,2022-09-17 00:00:00,GO/USDT,0.007858,0.007951,0.007858,0.00795,11660.7847,92.5317336937
1663369200,2022-09-16 23:00:00,GO/USDT,0.007783,0.007947,0.007783,0.007842,13233.3442,104.651528175
1663365600,2022-09-16 22:00:00,GO/USDT,0.007805,0.007815,0.00768,0.00768,27290.0714,211.2606160206
1663362000,2022-09-16 21:00:00,GO/USDT,0.007727,0.007805,0.007727,0.007805,1684.7414,13.137550315
1663358400,2022-09-16 20:00:00,GO/USDT,0.007677,0.007815,0.007592,0.007814,38424.4922,298.6654503946
1663354800,2022-09-16 19:00:00,GO/USDT,0.007741,0.007741,0.007741,0.007741,155.815,1.206163915
1663351200,2022-09-16 18:00:00,GO/USDT,0.007633,0.007749,0.007546,0.007676,3258.5764,25.0703257047
