https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume EUR
1663545600,2022-09-19 00:00:00,LTC/EUR,52.57,52.81,52.57,52.76,7.99864576,422.0085502976
1663459200,2022-09-18 00:00:00,LTC/EUR,57.69,57.69,52.33,52.60,14517.25401796,763607.561344696
1663372800,2022-09-17 00:00:00,LTC/EUR,55.75,58.37,55.75,57.79,8387.77129336,484729.3030432744
1663286400,2022-09-16 00:00:00,LTC/EUR,56.42,56.82,54.60,55.83,10182.56704593,568492.7181742719
1663200000,2022-09-15 00:00:00,LTC/EUR,60.26,60.90,55.88,56.32,13598.18161379,765849.5884886528
1663113600,2022-09-14 00:00:00,LTC/EUR,59.12,61.23,58.31,60.23,8810.85295704,530677.6736025192
1663027200,2022-09-13 00:00:00,LTC/EUR,60.59,66.23,58.52,59.17,15071.22912680,891764.6274327561
1662940800,2022-09-12 00:00:00,LTC/EUR,61.68,62.71,59.34,60.62,11540.60940143,699591.7419146865
1662854400,2022-09-11 00:00:00,LTC/EUR,62.95,64.00,60.82,61.77,15632.99952689,965650.3807759953
1662768000,2022-09-10 00:00:00,LTC/EUR,60.82,64.33,60.34,62.93,9537.01795152,600164.5396891535
1662681600,2022-09-09 00:00:00,LTC/EUR,57.75,61.59,57.69,60.99,12513.73608817,763212.7640174883
1662595200,2022-09-08 00:00:00,LTC/EUR,57.35,58.58,56.15,57.93,11521.16765389,667421.2421898476
1662508800,2022-09-07 00:00:00,LTC/EUR,54.69,58.10,53.64,57.32,13181.59448081,755568.9956400292
1662422400,2022-09-06 00:00:00,LTC/EUR,60.70,62.90,54.63,54.63,11808.22163410,645083.147870883
1662336000,2022-09-05 00:00:00,LTC/EUR,61.61,62.07,59.81,60.66,4805.92911506,291527.6601195396
1662249600,2022-09-04 00:00:00,LTC/EUR,60.41,61.50,58.91,61.44,3339.33455191,205168.71486935037
1662163200,2022-09-03 00:00:00,LTC/EUR,61.13,62.53,59.84,60.44,4280.04075127,258685.6630067588
1662076800,2022-09-02 00:00:00,LTC/EUR,57.76,62.53,56.72,61.27,8585.45290717,526030.6996223059
1661990400,2022-09-01 00:00:00,LTC/EUR,53.55,58.00,53.14,57.85,9914.39852431,573547.9546313335
1661904000,2022-08-31 00:00:00,LTC/EUR,53.01,54.97,52.87,53.55,8605.71485342,460836.03040064103
1661817600,2022-08-30 00:00:00,LTC/EUR,55.64,56.16,51.73,52.77,11191.86892416,590594.9231279233
1661731200,2022-08-29 00:00:00,LTC/EUR,53.77,56.52,52.91,55.72,9139.28066551,509240.7186822172
1661644800,2022-08-28 00:00:00,LTC/EUR,53.25,56.15,52.72,53.78,7477.86339655,402159.49346645904
1661558400,2022-08-27 00:00:00,LTC/EUR,52.85,53.69,52.00,53.37,6138.74141449,327624.6292913313
1661472000,2022-08-26 00:00:00,LTC/EUR,56.69,58.00,52.51,52.90,10974.53219184,580552.752948336
1661385600,2022-08-25 00:00:00,LTC/EUR,56.61,57.45,56.06,56.88,6708.77908024,381595.3540840512
1661299200,2022-08-24 00:00:00,LTC/EUR,57.28,57.83,55.85,56.65,6155.67315054,348718.883978091
1661212800,2022-08-23 00:00:00,LTC/EUR,57.56,57.90,54.43,57.27,5797.13511794,332001.9282044238
1661126400,2022-08-22 00:00:00,LTC/EUR,55.21,57.74,52.33,57.66,8378.36239708,483096.37581563275
1661040000,2022-08-21 00:00:00,LTC/EUR,53.94,55.71,53.65,55.43,8094.46284946,448676.0757455678
1660953600,2022-08-20 00:00:00,LTC/EUR,53.87,55.37,52.52,53.94,10450.26748448,563687.4281128512
1660867200,2022-08-19 00:00:00,LTC/EUR,59.50,59.62,53.02,53.79,14056.00652911,756072.5912008269
1660780800,2022-08-18 00:00:00,LTC/EUR,59.40,60.91,58.97,59.41,3899.54689786,231672.0812018626
1660694400,2022-08-17 00:00:00,LTC/EUR,60.31,63.47,58.68,59.38,8302.99346826,493031.7521452788
1660608000,2022-08-16 00:00:00,LTC/EUR,59.72,60.80,59.11,60.29,6825.94953363,411536.49738255265
1660521600,2022-08-15 00:00:00,LTC/EUR,61.50,63.70,58.81,59.91,9243.02815505,553749.8167690455
1660435200,2022-08-14 00:00:00,LTC/EUR,62.22,64.21,60.93,61.80,5119.48890034,316384.414041012
1660348800,2022-08-13 00:00:00,LTC/EUR,61.28,63.96,61.10,62.28,5560.20154916,346289.35248168476
1660262400,2022-08-12 00:00:00,LTC/EUR,59.97,61.44,59.00,61.34,4100.84402295,251545.77236775303
1660176000,2022-08-11 00:00:00,LTC/EUR,59.81,61.33,59.57,59.89,6798.79267442,407179.69327101385
1660089600,2022-08-10 00:00:00,LTC/EUR,57.95,60.30,56.45,59.77,8551.86818721,511145.16154954175
1660003200,2022-08-09 00:00:00,LTC/EUR,61.24,61.65,57.00,58.05,6850.89393277,397694.3927972985
1659916800,2022-08-08 00:00:00,LTC/EUR,60.05,62.87,59.80,61.36,6500.16806794,398850.3126487984
1659830400,2022-08-07 00:00:00,LTC/EUR,59.67,60.94,58.98,60.06,4077.31443703,244883.5050880218
1659744000,2022-08-06 00:00:00,LTC/EUR,61.32,61.32,59.51,59.80,5126.09536412,306540.502774376
1659657600,2022-08-05 00:00:00,LTC/EUR,58.41,61.37,58.40,61.28,10226.65189340,626689.228027552
1659571200,2022-08-04 00:00:00,LTC/EUR,56.74,59.64,56.74,58.46,6861.00038800,401094.08268248005
1659484800,2022-08-03 00:00:00,LTC/EUR,57.12,59.12,55.88,56.88,7885.99598971,448555.45189470483
1659398400,2022-08-02 00:00:00,LTC/EUR,57.82,58.49,55.24,57.28,5931.04618592,339730.32552949764
1659312000,2022-08-01 00:00:00,LTC/EUR,58.20,59.17,56.87,57.99,6911.23970383,400782.7904251017
1659225600,2022-07-31 00:00:00,LTC/EUR,59.14,61.53,58.42,58.54,5681.54764352,332597.7990516608
1659139200,2022-07-30 00:00:00,LTC/EUR,59.45,62.60,58.67,59.12,7732.92001489,457170.23128029675
1659052800,2022-07-29 00:00:00,LTC/EUR,62.36,63.15,58.90,59.44,7315.61547641,434840.1839178104
1658966400,2022-07-28 00:00:00,LTC/EUR,57.90,63.30,57.17,62.21,13974.20204896,869335.1094658016
1658880000,2022-07-27 00:00:00,LTC/EUR,53.25,57.90,52.28,57.85,9006.62374239,521033.18349726155
1658793600,2022-07-26 00:00:00,LTC/EUR,52.78,53.29,51.41,53.29,7186.66730181,382977.5005134549
1658707200,2022-07-25 00:00:00,LTC/EUR,57.33,57.60,52.96,52.96,7187.75866864,380663.6990911744
1658620800,2022-07-24 00:00:00,LTC/EUR,55.30,58.53,55.30,57.28,6964.44522767,398923.4226409376
1658534400,2022-07-23 00:00:00,LTC/EUR,54.74,56.06,53.47,55.37,6323.94609892,350156.89549720037
1658448000,2022-07-22 00:00:00,LTC/EUR,56.66,58.20,54.40,54.99,10468.10166020,575640.910294398
1658361600,2022-07-21 00:00:00,LTC/EUR,56.33,57.49,54.34,56.83,10168.01903956,577848.5220181948
1658275200,2022-07-20 00:00:00,LTC/EUR,56.68,60.47,55.42,56.21,13578.01840362,763220.4144674803
1658188800,2022-07-19 00:00:00,LTC/EUR,57.60,58.65,54.88,56.67,11228.77991415,636334.9577348805
1658102400,2022-07-18 00:00:00,LTC/EUR,55.01,58.26,54.76,58.00,6225.03150514,361051.82729812
1658016000,2022-07-17 00:00:00,LTC/EUR,54.67,56.45,54.03,55.04,5481.08787507,301679.0766438528
1657929600,2022-07-16 00:00:00,LTC/EUR,51.36,55.08,50.68,54.65,5545.86285893,303081.4052405245
