https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FORM,Volume USDT
1663459200,2022-09-18 00:00:00,FORM/USDT,0.002983,0.002983,0.002963,0.002963,20947.7758,62.3255774723
1663372800,2022-09-17 00:00:00,FORM/USDT,0.00289,0.003042,0.00289,0.002983,3887614.0618,11551.9118018748
1663286400,2022-09-16 00:00:00,FORM/USDT,0.002943,0.002966,0.002857,0.002866,4637781.5834,13494.6944038582
1663200000,2022-09-15 00:00:00,FORM/USDT,0.003105,0.003122,0.002926,0.002958,2428190.6477,7319.048259714
1663113600,2022-09-14 00:00:00,FORM/USDT,0.003088,0.003245,0.00292,0.003094,12120204.8217,37174.3677849264
1663027200,2022-09-13 00:00:00,FORM/USDT,0.003004,0.003138,0.002943,0.003089,6899659.9021,21015.0773639386
1662940800,2022-09-12 00:00:00,FORM/USDT,0.003069,0.003204,0.002994,0.003016,7629154.9852,23801.0376998689
1662854400,2022-09-11 00:00:00,FORM/USDT,0.003054,0.003156,0.002995,0.003069,3608566.7039,11097.7416003472
1662768000,2022-09-10 00:00:00,FORM/USDT,0.003122,0.003172,0.003038,0.003062,2223570.7368,6898.3201457262
1662681600,2022-09-09 00:00:00,FORM/USDT,0.003115,0.003423,0.003066,0.00313,16580701.3467,53750.6953147708
1662595200,2022-09-08 00:00:00,FORM/USDT,0.003087,0.003175,0.002947,0.003145,10323723.5416,31663.0192169042
1662508800,2022-09-07 00:00:00,FORM/USDT,0.003059,0.0035,0.003,0.003087,32420623.4557,103834.1129600066
1662422400,2022-09-06 00:00:00,FORM/USDT,0.002595,0.0033,0.002557,0.003059,28738028.1043,83827.703057214
1662336000,2022-09-05 00:00:00,FORM/USDT,0.002631,0.002659,0.002572,0.002597,2299080.0014,6007.4283327103
1662249600,2022-09-04 00:00:00,FORM/USDT,0.002705,0.002782,0.002518,0.002631,5367440.5773,14137.6426949779
1662163200,2022-09-03 00:00:00,FORM/USDT,0.00276,0.00282,0.00268,0.002705,1636992.9673,4467.9854027775
1662076800,2022-09-02 00:00:00,FORM/USDT,0.002713,0.002836,0.002698,0.00277,1991408.5915,5497.9567778785
1661990400,2022-09-01 00:00:00,FORM/USDT,0.002831,0.002858,0.002682,0.002714,2849414.2187,7870.3807297522
