https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AVAX,Volume USDT
1663462800,2022-09-18 01:00:00,AVAX/USDT,18.349,18.37,18.328,18.328,850.74381572,15608.99678136406
1663459200,2022-09-18 00:00:00,AVAX/USDT,18.482,18.488,18.333,18.345,5166.32528436,95004.78143926048
1663455600,2022-09-17 23:00:00,AVAX/USDT,18.527,18.536,18.383,18.476,7375.43155048,136125.85990154848
1663452000,2022-09-17 22:00:00,AVAX/USDT,18.414,18.526,18.375,18.526,4018.44250617,74143.16238563405
1663448400,2022-09-17 21:00:00,AVAX/USDT,18.428,18.445,18.356,18.409,5777.69803806,106366.44439504447
1663444800,2022-09-17 20:00:00,AVAX/USDT,18.409,18.429,18.374,18.428,4868.66782327,89628.13277869912
1663441200,2022-09-17 19:00:00,AVAX/USDT,18.414,18.436,18.343,18.407,5568.53476971,102348.66914728869
1663437600,2022-09-17 18:00:00,AVAX/USDT,18.419,18.466,18.379,18.41,15442.21202574,284219.45281424349
1663434000,2022-09-17 17:00:00,AVAX/USDT,18.568,18.597,18.387,18.426,17867.27583975,329880.02657131978
1663430400,2022-09-17 16:00:00,AVAX/USDT,18.355,18.685,18.341,18.569,37330.89210882,692536.82241468636
1663426800,2022-09-17 15:00:00,AVAX/USDT,18.343,18.397,18.311,18.355,6822.11934579,125220.36383477948
1663423200,2022-09-17 14:00:00,AVAX/USDT,18.196,18.466,18.196,18.34,11934.01729909,218713.31770660681
1663419600,2022-09-17 13:00:00,AVAX/USDT,18.184,18.234,18.155,18.193,5235.62079504,95270.27366554793
1663416000,2022-09-17 12:00:00,AVAX/USDT,18.145,18.193,18.088,18.18,8845.04041913,160340.01062551033
1663412400,2022-09-17 11:00:00,AVAX/USDT,18.23,18.255,18.11,18.14,4336.41470003,78799.05662613556
1663408800,2022-09-17 10:00:00,AVAX/USDT,18.272,18.288,18.122,18.234,6058.38973653,110320.94231370171
1663405200,2022-09-17 09:00:00,AVAX/USDT,18.275,18.296,18.237,18.272,4412.80765517,80617.5449833053
1663401600,2022-09-17 08:00:00,AVAX/USDT,18.225,18.301,18.219,18.276,4171.77169547,76178.42481195352
1663398000,2022-09-17 07:00:00,AVAX/USDT,18.158,18.227,18.122,18.227,5718.67953568,103819.88314023864
1663394400,2022-09-17 06:00:00,AVAX/USDT,18.14,18.196,18.101,18.161,3698.63681141,67154.77404756325
1663390800,2022-09-17 05:00:00,AVAX/USDT,18.307,18.315,18.079,18.14,6620.18678655,120341.98355466436
1663387200,2022-09-17 04:00:00,AVAX/USDT,18.239,18.433,18.239,18.311,8097.58595566,148672.88335550799
1663383600,2022-09-17 03:00:00,AVAX/USDT,18.324,18.35,18.226,18.231,5234.92793603,95709.53649898648
1663380000,2022-09-17 02:00:00,AVAX/USDT,18.38,18.421,18.3,18.325,8821.60811974,162094.31545152588
1663376400,2022-09-17 01:00:00,AVAX/USDT,18.26,18.399,18.25,18.381,7381.76981602,135172.08341252156
1663372800,2022-09-17 00:00:00,AVAX/USDT,18.053,18.52,18.046,18.256,30022.16907744,551408.2150868146
1663369200,2022-09-16 23:00:00,AVAX/USDT,18.048,18.064,17.998,18.052,4965.87429887,89591.03136527395
1663365600,2022-09-16 22:00:00,AVAX/USDT,18.027,18.252,18.009,18.043,9354.13023776,169571.12837330546
1663362000,2022-09-16 21:00:00,AVAX/USDT,18.019,18.071,17.976,18.025,3155.35386578,56878.09370128891
1663358400,2022-09-16 20:00:00,AVAX/USDT,17.89,18.02,17.883,18.019,5274.25486861,94674.53546016612
1663354800,2022-09-16 19:00:00,AVAX/USDT,17.801,17.939,17.797,17.895,12414.20866458,222143.98379821892
1663351200,2022-09-16 18:00:00,AVAX/USDT,17.719,17.889,17.622,17.791,7802.8789879,138615.30965160494
1663347600,2022-09-16 17:00:00,AVAX/USDT,17.784,17.838,17.557,17.713,22519.49041156,398150.72166459287
1663344000,2022-09-16 16:00:00,AVAX/USDT,17.984,17.984,17.573,17.787,10796.85321988,191775.29111204306
1663340400,2022-09-16 15:00:00,AVAX/USDT,17.979,18.078,17.898,17.989,10813.91464768,194340.7754521147
1663336800,2022-09-16 14:00:00,AVAX/USDT,17.686,18.144,17.646,17.979,24945.5071842,448972.43156154578
1663333200,2022-09-16 13:00:00,AVAX/USDT,17.969,17.998,17.61,17.687,63140.69833861,1128325.75123405018
1663329600,2022-09-16 12:00:00,AVAX/USDT,18.119,18.139,17.946,17.962,13495.40582146,243364.19645130736
1663326000,2022-09-16 11:00:00,AVAX/USDT,17.963,18.139,17.934,18.119,8893.9829644,160073.60292632279
1663322400,2022-09-16 10:00:00,AVAX/USDT,17.767,17.979,17.753,17.963,8928.73878171,159399.54301687015
1663318800,2022-09-16 09:00:00,AVAX/USDT,17.665,17.879,17.659,17.768,7391.7318608,131468.34050799788
1663315200,2022-09-16 08:00:00,AVAX/USDT,18.181,18.181,17.651,17.663,15961.0980878,286349.68453881048
1663311600,2022-09-16 07:00:00,AVAX/USDT,18.196,18.256,18.168,18.178,13202.77024593,240549.1797105961
1663308000,2022-09-16 06:00:00,AVAX/USDT,18.207,18.297,18.122,18.195,5256.76974102,95795.90286972727
1663304400,2022-09-16 05:00:00,AVAX/USDT,18.237,18.278,18.191,18.207,6196.83445166,112990.38305386374
1663300800,2022-09-16 04:00:00,AVAX/USDT,18.154,18.31,18.138,18.234,7729.30851851,141082.37541185206
1663297200,2022-09-16 03:00:00,AVAX/USDT,18.089,18.159,18.038,18.154,12519.40646791,226515.54429560363
1663293600,2022-09-16 02:00:00,AVAX/USDT,18.136,18.167,17.905,18.088,18535.61083375,333820.29152921835
1663290000,2022-09-16 01:00:00,AVAX/USDT,18.288,18.301,18.085,18.139,17221.60287841,313255.34929479472
1663286400,2022-09-16 00:00:00,AVAX/USDT,18.211,18.295,17.963,18.287,24694.72895236,447392.87285945335
1663282800,2022-09-15 23:00:00,AVAX/USDT,18.239,18.291,18.1,18.203,8011.42503752,145591.10006571097
1663279200,2022-09-15 22:00:00,AVAX/USDT,18.367,18.382,18.141,18.242,8916.15223832,162588.26855613328
1663275600,2022-09-15 21:00:00,AVAX/USDT,18.525,18.526,18.281,18.368,5384.36596175,99009.48040140997
1663272000,2022-09-15 20:00:00,AVAX/USDT,18.41,18.543,18.41,18.536,4445.8479414,82193.88576167627
