https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRY,Volume ETH
1606651200000,2020-11-29 12:00:00,ETH/TRY,5099.99,5099.99,5099.99,5099.99,222.9438698543,0.04371457
1606410000000,2020-11-26 17:00:00,ETH/TRY,4106.76,4106.76,4106.76,4106.76,13.6645457508,0.00332733
1606381200000,2020-11-26 09:00:00,ETH/TRY,4106.76,4106.76,4106.76,4106.76,116.10081566160001,0.02827066
1606377600000,2020-11-26 08:00:00,ETH/TRY,4160.1,4160.1,4160.1,4160.1,25.391669562,0.00610362
1606255200000,2020-11-24 22:00:00,ETH/TRY,5000.0,5000.0,5000.0,5000.0,50.0,0.01
1606240800000,2020-11-24 18:00:00,ETH/TRY,4854.0,4999.99,4854.0,4999.99,3025.9554980769,0.60519231
1606230000000,2020-11-24 15:00:00,ETH/TRY,4854.0,4854.0,4854.0,4854.0,101.96613348,0.02100662
1606212000000,2020-11-24 10:00:00,ETH/TRY,4889.96,4889.96,4889.96,4889.96,7.6108315432,0.00155642
1606208400000,2020-11-24 09:00:00,ETH/TRY,4889.97,4889.97,4889.97,4889.97,539.2009527984001,0.11026672000000001
1606186800000,2020-11-24 03:00:00,ETH/TRY,4800.0,4889.97,4800.0,4889.97,133.0103135808,0.027200639999999998
1606183200000,2020-11-24 02:00:00,ETH/TRY,4750.0,4800.0,4750.0,4800.0,119.99976,0.02499995
1606147200000,2020-11-23 16:00:00,ETH/TRY,4700.59,4700.59,4700.59,4700.59,178.44375057410002,0.03796199
1606140000000,2020-11-23 14:00:00,ETH/TRY,4599.0,4600.0,4599.0,4600.0,452.8067039999999,0.09843623999999998
1606125600000,2020-11-23 10:00:00,ETH/TRY,4500.0,4500.0,4500.0,4500.0,44.917605,0.00998169
1606122000000,2020-11-23 09:00:00,ETH/TRY,4500.0,4500.0,4500.0,4500.0,179.82000000000002,0.03996
1606118400000,2020-11-23 08:00:00,ETH/TRY,4400.0,4500.0,4400.0,4500.0,133.327395,0.02962831
1606114800000,2020-11-23 07:00:00,ETH/TRY,4400.0,4400.0,4400.0,4400.0,89.892,0.02043
1606071600000,2020-11-22 19:00:00,ETH/TRY,4281.41,4443.0,4281.41,4443.0,834.45395874,0.18781318
