https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CXO,Volume BTC
1651104000,2022-04-28 00:00:00,CXO/BTC,0.0000032,0.0000032,0.0000032,0.0000032,1765.2985,0.0056489552
1651100400,2022-04-27 23:00:00,CXO/BTC,0.00000314,0.0000032,0.00000312,0.00000312,845.3182,0.002648821648
1651096800,2022-04-27 22:00:00,CXO/BTC,0.0000034,0.0000034,0.000003,0.0000032,32250.3881,0.10112386682
1651093200,2022-04-27 21:00:00,CXO/BTC,0.00000316,0.00000357,0.00000315,0.0000034,217210.34473035,0.7383941660439672
1651089600,2022-04-27 20:00:00,CXO/BTC,0.00000312,0.00000316,0.00000311,0.00000311,22776.7993,0.071737551218
1651086000,2022-04-27 19:00:00,CXO/BTC,0.00000328,0.00000328,0.00000303,0.00000313,112857.55321583,0.359135767669938
1651082400,2022-04-27 18:00:00,CXO/BTC,0.00000342,0.00000342,0.00000327,0.00000328,25233.34192279,0.0852951805069418
1651078800,2022-04-27 17:00:00,CXO/BTC,0.00000339,0.00000346,0.00000328,0.00000333,20839.31624242,0.0701394318559425
1651075200,2022-04-27 16:00:00,CXO/BTC,0.00000334,0.00000334,0.00000334,0.00000334,50.8955,0.00016999097
1651071600,2022-04-27 15:00:00,CXO/BTC,0.0000033,0.0000033,0.00000328,0.00000328,18.5107,0.000060915066
1651068000,2022-04-27 14:00:00,CXO/BTC,0.00000342,0.00000342,0.00000331,0.00000331,84.2342,0.000281753456
1651064400,2022-04-27 13:00:00,CXO/BTC,0.00000328,0.00000328,0.00000328,0.00000328,817.9004,0.002682713312
1651060800,2022-04-27 12:00:00,CXO/BTC,0.00000357,0.0000036,0.00000327,0.00000343,77201.1399808,0.25791969520688
1651057200,2022-04-27 11:00:00,CXO/BTC,0.00000355,0.0000036,0.00000351,0.00000357,2965.21103111,0.010515304735996
1651053600,2022-04-27 10:00:00,CXO/BTC,0.00000358,0.0000036,0.00000354,0.0000036,8644.90863777,0.030840876656972
1651050000,2022-04-27 09:00:00,CXO/BTC,0.00000345,0.0000036,0.00000345,0.00000355,12711.46077944,0.044875405556984
1651046400,2022-04-27 08:00:00,CXO/BTC,0.00000337,0.00000344,0.00000337,0.00000344,2679.6684,0.009122932969
1651042800,2022-04-27 07:00:00,CXO/BTC,0.00000332,0.00000341,0.00000332,0.00000341,6286.792,0.021005751083
1651039200,2022-04-27 06:00:00,CXO/BTC,0.00000332,0.00000333,0.00000332,0.00000332,5974.686,0.019860681921
1651035600,2022-04-27 05:00:00,CXO/BTC,0.00000333,0.00000333,0.00000332,0.00000332,461.4465,0.001532154071
