https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MELOS,Volume USDT
1663459200,2022-09-18 00:00:00,MELOS/USDT,0.02067,0.02074,0.02049,0.02074,79179.3445,1630.5702936
1663372800,2022-09-17 00:00:00,MELOS/USDT,0.02077,0.02079,0.01977,0.02065,4879356.0216,99486.836801112
1663286400,2022-09-16 00:00:00,MELOS/USDT,0.01988,0.0236,0.0195,0.02075,15907668.9266,330034.812120779
1663200000,2022-09-15 00:00:00,MELOS/USDT,0.02107,0.02119,0.01922,0.01988,14183740.751,285227.743654294
1663113600,2022-09-14 00:00:00,MELOS/USDT,0.02118,0.0221,0.02001,0.02111,14235912.4032,298211.092278392
1663027200,2022-09-13 00:00:00,MELOS/USDT,0.0224,0.02252,0.021,0.02112,13421281.1156,289659.603569021
1662940800,2022-09-12 00:00:00,MELOS/USDT,0.02249,0.02349,0.0222,0.02238,12770473.7252,288117.887672711
1662854400,2022-09-11 00:00:00,MELOS/USDT,0.02337,0.02441,0.02222,0.02247,12020719.5286,278225.726051934
1662768000,2022-09-10 00:00:00,MELOS/USDT,0.02206,0.0275,0.02162,0.02337,16828806.3459,395382.51113789
1662681600,2022-09-09 00:00:00,MELOS/USDT,0.02248,0.024,0.02158,0.02201,13394476.7178,304431.338486814
1662595200,2022-09-08 00:00:00,MELOS/USDT,0.02186,0.0235,0.02184,0.02249,12969038.3198,292784.678638223
1662508800,2022-09-07 00:00:00,MELOS/USDT,0.02289,0.02289,0.02047,0.02188,15150895.15871906,328504.7132484246986
1662422400,2022-09-06 00:00:00,MELOS/USDT,0.02455,0.02514,0.02117,0.02288,11548312.4939,278533.149116483
1662336000,2022-09-05 00:00:00,MELOS/USDT,0.02565,0.02567,0.02402,0.02452,14301057.6354,353641.89919307
1662249600,2022-09-04 00:00:00,MELOS/USDT,0.02583,0.02609,0.0253,0.02568,19390268.7805,497133.45926505
1662163200,2022-09-03 00:00:00,MELOS/USDT,0.02595,0.0265,0.02553,0.02585,15665624.78528146,404963.8438169968534
1662076800,2022-09-02 00:00:00,MELOS/USDT,0.02694,0.02718,0.02579,0.02592,18645497.8712,489862.9899837245168
1661990400,2022-09-01 00:00:00,MELOS/USDT,0.02644,0.02718,0.02554,0.02686,16984522.70651854,445490.7902268656298
1661904000,2022-08-31 00:00:00,MELOS/USDT,0.02745,0.02781,0.02582,0.02643,15334771.1714,411362.522274857
1661817600,2022-08-30 00:00:00,MELOS/USDT,0.02695,0.0287,0.0264,0.02745,16041606.8627,438543.713109895
1661731200,2022-08-29 00:00:00,MELOS/USDT,0.02666,0.02769,0.0252,0.02692,15732057.3677,414559.736547783
1661644800,2022-08-28 00:00:00,MELOS/USDT,0.02638,0.02951,0.026,0.02669,17610815.9857,470899.87312751
1661558400,2022-08-27 00:00:00,MELOS/USDT,0.02713,0.02737,0.025,0.02639,17844834.2099,460409.914173344
1661472000,2022-08-26 00:00:00,MELOS/USDT,0.03032,0.03038,0.02676,0.02713,14820568.8498,420502.286326613
1661385600,2022-08-25 00:00:00,MELOS/USDT,0.03071,0.036,0.02868,0.0303,17944238.6502,546370.19908159
1661299200,2022-08-24 00:00:00,MELOS/USDT,0.02866,0.03583,0.02716,0.03071,22167582.1083,662406.175338713
1661212800,2022-08-23 00:00:00,MELOS/USDT,0.03682,0.03716,0.02662,0.02867,21442891.2238,691470.248156164
1661126400,2022-08-22 00:00:00,MELOS/USDT,0.04399,0.05675,0.03383,0.03679,28242961.3528,1140549.109339879
1661040000,2022-08-21 00:00:00,MELOS/USDT,0.02728,0.0444,0.02721,0.044,28492076.14258904,962455.8460207201512
1660953600,2022-08-20 00:00:00,MELOS/USDT,0.02506,0.03,0.025,0.0273,19280199.5355,505970.532945495
1660867200,2022-08-19 00:00:00,MELOS/USDT,0.02839,0.02863,0.025,0.02505,17416779.3159,464630.6967099
1660780800,2022-08-18 00:00:00,MELOS/USDT,0.02886,0.03096,0.02832,0.02839,16991134.5102,496117.974930304
1660694400,2022-08-17 00:00:00,MELOS/USDT,0.02884,0.03081,0.02789,0.02888,15649796.0229,455763.157688388
1660608000,2022-08-16 00:00:00,MELOS/USDT,0.03013,0.03035,0.02741,0.02887,13602631.3618,394426.35085736
1660521600,2022-08-15 00:00:00,MELOS/USDT,0.03146,0.03269,0.02998,0.03011,15344672.2684,478498.231944519
1660435200,2022-08-14 00:00:00,MELOS/USDT,0.03285,0.04383,0.03113,0.03145,23376805.601,793833.008394119
1660348800,2022-08-13 00:00:00,MELOS/USDT,0.03194,0.03605,0.03138,0.03282,17577300.0964,589153.04969241
1660262400,2022-08-12 00:00:00,MELOS/USDT,0.02934,0.0322,0.029,0.03194,15877285.5175,472825.288646671
1660176000,2022-08-11 00:00:00,MELOS/USDT,0.02948,0.03184,0.02912,0.02932,15445437.1245,460505.02321426
1660089600,2022-08-10 00:00:00,MELOS/USDT,0.02905,0.03,0.0268,0.02946,21317029.4412,609190.521993272
1660003200,2022-08-09 00:00:00,MELOS/USDT,0.03047,0.032,0.02854,0.02908,26560716.1719,812146.313829968
1659916800,2022-08-08 00:00:00,MELOS/USDT,0.03071,0.03141,0.0299,0.03049,27498709.4319,839917.002790451
1659830400,2022-08-07 00:00:00,MELOS/USDT,0.03033,0.03194,0.02988,0.03069,31211406.5929,951373.515528413
1659744000,2022-08-06 00:00:00,MELOS/USDT,0.03299,0.03313,0.02925,0.0303,25166870.2402,786223.275853492
1659657600,2022-08-05 00:00:00,MELOS/USDT,0.03212,0.03545,0.03,0.03301,28054568.7393,914725.941803227
1659571200,2022-08-04 00:00:00,MELOS/USDT,0.02854,0.037,0.02695,0.03207,36271938.59821232,1112491.0849863213088
1659484800,2022-08-03 00:00:00,MELOS/USDT,0.02767,0.0295,0.02693,0.02856,25079194.1671,706793.25922503
1659398400,2022-08-02 00:00:00,MELOS/USDT,0.02734,0.02926,0.0265,0.02764,32927509.1683,893501.138290796
1659312000,2022-08-01 00:00:00,MELOS/USDT,0.02858,0.02858,0.02707,0.02732,27574632.1228,765406.3344254
1659225600,2022-07-31 00:00:00,MELOS/USDT,0.02658,0.02928,0.02651,0.02856,25648017.5149,719531.253650879
1659139200,2022-07-30 00:00:00,MELOS/USDT,0.02803,0.02811,0.0263,0.0266,29375841.9852,810789.616401669
1659052800,2022-07-29 00:00:00,MELOS/USDT,0.02904,0.03028,0.02743,0.02806,24258943.1866,700141.996577756
1658966400,2022-07-28 00:00:00,MELOS/USDT,0.0289,0.03042,0.02844,0.02903,24095326.1911,700128.319084977
1658880000,2022-07-27 00:00:00,MELOS/USDT,0.02913,0.02936,0.02758,0.02893,28879580.6175,825199.613039895
1658793600,2022-07-26 00:00:00,MELOS/USDT,0.02777,0.03042,0.02645,0.02911,27020078.6756,768782.596551365
1658707200,2022-07-25 00:00:00,MELOS/USDT,0.03173,0.03179,0.02777,0.02778,27596875.0623,811497.895201011
1658620800,2022-07-24 00:00:00,MELOS/USDT,0.03099,0.032,0.03,0.03176,25119847.571,784865.254433561
1658534400,2022-07-23 00:00:00,MELOS/USDT,0.03143,0.033,0.0301,0.03096,27383799.0874,858344.534572388
1658448000,2022-07-22 00:00:00,MELOS/USDT,0.03111,0.034,0.03018,0.0314,25321327.5782,801029.392700083
