https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CELR,Volume USDT,tradecount
1663545600000,2022-09-19 00:00:00,CELR/USDT,0.01506000,0.01510000,0.01497000,0.01500000,2681672.00000000,40330.11247500,168
1663459200000,2022-09-18 00:00:00,CELR/USDT,0.01698000,0.01700000,0.01435000,0.01506000,139433613.10000000,2213626.47278100,12883
1663372800000,2022-09-17 00:00:00,CELR/USDT,0.01648000,0.01710000,0.01647000,0.01698000,62266617.20000000,1048554.84836700,5192
1663286400000,2022-09-16 00:00:00,CELR/USDT,0.01660000,0.01667000,0.01599000,0.01648000,83008749.50000000,1358232.97909000,8675
1663200000000,2022-09-15 00:00:00,CELR/USDT,0.01725000,0.01728000,0.01616000,0.01661000,144693577.70000000,2406390.81693500,13952
1663113600000,2022-09-14 00:00:00,CELR/USDT,0.01678000,0.01748000,0.01669000,0.01726000,100951409.60000000,1724716.91754100,11500
1663027200000,2022-09-13 00:00:00,CELR/USDT,0.01852000,0.01852000,0.01667000,0.01679000,203999757.90000000,3637308.74218000,18741
1662940800000,2022-09-12 00:00:00,CELR/USDT,0.01858000,0.01950000,0.01817000,0.01852000,226794032.60000000,4271309.52132500,22599
1662854400000,2022-09-11 00:00:00,CELR/USDT,0.01872000,0.01907000,0.01815000,0.01860000,111047991.80000000,2072449.35784100,9057
1662768000000,2022-09-10 00:00:00,CELR/USDT,0.01876000,0.01922000,0.01839000,0.01872000,142498498.50000000,2669908.78287600,11673
1662681600000,2022-09-09 00:00:00,CELR/USDT,0.01769000,0.01898000,0.01765000,0.01876000,158578786.30000000,2921839.04864100,12873
1662595200000,2022-09-08 00:00:00,CELR/USDT,0.01739000,0.01788000,0.01693000,0.01769000,131256947.30000000,2287434.81944400,11187
1662508800000,2022-09-07 00:00:00,CELR/USDT,0.01577000,0.01775000,0.01550000,0.01738000,131007805.40000000,2168214.54630100,10662
1662422400000,2022-09-06 00:00:00,CELR/USDT,0.01779000,0.01831000,0.01571000,0.01578000,180717522.70000000,3072346.37632500,17146
1662336000000,2022-09-05 00:00:00,CELR/USDT,0.01786000,0.01811000,0.01730000,0.01778000,76393590.70000000,1349941.05192000,6759
1662249600000,2022-09-04 00:00:00,CELR/USDT,0.01752000,0.01797000,0.01719000,0.01785000,63395860.20000000,1118539.99956000,4892
1662163200000,2022-09-03 00:00:00,CELR/USDT,0.01735000,0.01750000,0.01704000,0.01750000,39523296.20000000,684693.65988800,3439
1662076800000,2022-09-02 00:00:00,CELR/USDT,0.01752000,0.01797000,0.01705000,0.01734000,104914718.50000000,1838328.15119500,7106
1661990400000,2022-09-01 00:00:00,CELR/USDT,0.01732000,0.01754000,0.01661000,0.01751000,92388377.10000000,1583636.80618500,6264
1661904000000,2022-08-31 00:00:00,CELR/USDT,0.01725000,0.01813000,0.01722000,0.01733000,107725042.10000000,1914602.97312600,7639
1661817600000,2022-08-30 00:00:00,CELR/USDT,0.01805000,0.01845000,0.01672000,0.01722000,144875647.40000000,2570118.20581000,9515
1661731200000,2022-08-29 00:00:00,CELR/USDT,0.01717000,0.01811000,0.01686000,0.01805000,151451642.50000000,2648435.23053500,9604
