https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CHZ,Volume USDT
1663376400,2022-09-17 01:00:00,CHZ/USDT,0.21252,0.21307,0.21044,0.21056,133751.47707044,28369.6127501616917
1663372800,2022-09-17 00:00:00,CHZ/USDT,0.21024,0.21489,0.20836,0.21258,1629661.82655772,344304.2551336495415
1663369200,2022-09-16 23:00:00,CHZ/USDT,0.20846,0.21214,0.20846,0.2102,562847.11615584,118231.6632622179936
1663365600,2022-09-16 22:00:00,CHZ/USDT,0.2104,0.21317,0.20783,0.20835,1097354.2354432,231923.4248957016364
1663362000,2022-09-16 21:00:00,CHZ/USDT,0.20798,0.21198,0.20794,0.21025,910155.3296123,190890.5247262593214
1663358400,2022-09-16 20:00:00,CHZ/USDT,0.20352,0.20885,0.20352,0.20773,513180.13874504,106050.8975192390143
1663354800,2022-09-16 19:00:00,CHZ/USDT,0.20263,0.20376,0.20237,0.20348,251494.65178499,51046.0873457453241
1663351200,2022-09-16 18:00:00,CHZ/USDT,0.20544,0.20621,0.20255,0.20255,576216.17615275,117682.9810409116818
1663347600,2022-09-16 17:00:00,CHZ/USDT,0.20263,0.20888,0.20087,0.20575,1565482.04326196,320025.7709691773137
1663344000,2022-09-16 16:00:00,CHZ/USDT,0.2035,0.20663,0.20067,0.20231,1243344.16610582,253424.4365999130898
1663340400,2022-09-16 15:00:00,CHZ/USDT,0.20384,0.20472,0.20235,0.2035,429457.87022378,87514.6575434939635
1663336800,2022-09-16 14:00:00,CHZ/USDT,0.20137,0.20596,0.20098,0.20384,687320.44049725,140174.8010657071753
1663333200,2022-09-16 13:00:00,CHZ/USDT,0.20356,0.20415,0.19975,0.20146,479685.75848739,96981.2517046884827
1663329600,2022-09-16 12:00:00,CHZ/USDT,0.20723,0.20727,0.20252,0.20357,554089.0446879,113468.5879147564827
1663326000,2022-09-16 11:00:00,CHZ/USDT,0.20456,0.20801,0.2032,0.20682,924556.58483523,189970.8352912289693
1663322400,2022-09-16 10:00:00,CHZ/USDT,0.20064,0.20565,0.20008,0.20474,1453439.59905977,295505.8803541718106
1663318800,2022-09-16 09:00:00,CHZ/USDT,0.19767,0.20167,0.1974,0.20059,622482.16941728,124160.6446832864075
1663315200,2022-09-16 08:00:00,CHZ/USDT,0.19907,0.2004,0.19706,0.19751,725886.26518097,144644.249357243257
1663311600,2022-09-16 07:00:00,CHZ/USDT,0.20045,0.20232,0.1984,0.19916,517893.46678903,103871.3617939732396
