https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CHMB,Volume USDT
1663459200,2022-09-18 00:00:00,CHMB/USDT,0.000409,0.000447,0.000398,0.000417,93319781.0868,39267.7333291836
1663372800,2022-09-17 00:00:00,CHMB/USDT,0.000359,0.000455,0.000357,0.000407,679845504.8406,263260.1300481331
1663286400,2022-09-16 00:00:00,CHMB/USDT,0.000381,0.00047,0.000353,0.000359,730484576.1773,292583.1692286468
1663200000,2022-09-15 00:00:00,CHMB/USDT,0.000389,0.000402,0.000344,0.000381,560884882.8837,206993.6419793918
1663113600,2022-09-14 00:00:00,CHMB/USDT,0.000418,0.000426,0.00038,0.000389,633752795.5954,250426.9140719759
1663027200,2022-09-13 00:00:00,CHMB/USDT,0.000427,0.000463,0.0004,0.000419,729685945.4192,309251.0769795289
1662940800,2022-09-12 00:00:00,CHMB/USDT,0.000572,0.0006,0.000419,0.000424,845105026.1673,424574.874276211
1662854400,2022-09-11 00:00:00,CHMB/USDT,0.000437,0.000734,0.000432,0.000571,2126587417.9203,1179213.6386974812
1662768000,2022-09-10 00:00:00,CHMB/USDT,0.000409,0.00122,0.000408,0.000437,1254223836.9716,680409.694098057
1662681600,2022-09-09 00:00:00,CHMB/USDT,0.000402,0.000426,0.000402,0.000409,382602586.3888,157400.8685936296
1662595200,2022-09-08 00:00:00,CHMB/USDT,0.000463,0.000468,0.000401,0.000402,352852580.0231,152151.0164838759
1662508800,2022-09-07 00:00:00,CHMB/USDT,0.000407,0.000648,0.000402,0.000465,509039703.9519,229617.2843659021
1662422400,2022-09-06 00:00:00,CHMB/USDT,0.000469,0.000469,0.0004,0.000407,430126230.2892,186374.5598604311
1662336000,2022-09-05 00:00:00,CHMB/USDT,0.000456,0.00048,0.000431,0.000469,393020739.2205,176877.3702882829
1662249600,2022-09-04 00:00:00,CHMB/USDT,0.000457,0.000488,0.000442,0.00046,364508954.51,168038.598242732
1662163200,2022-09-03 00:00:00,CHMB/USDT,0.000447,0.000478,0.00044,0.00046,367524575.1874,165977.2814433593
1662076800,2022-09-02 00:00:00,CHMB/USDT,0.000474,0.000478,0.00043,0.000446,385594560.9936,172423.0013598783
1661990400,2022-09-01 00:00:00,CHMB/USDT,0.000516,0.000523,0.000447,0.000476,418051043.3935,198404.6393016091
1661904000,2022-08-31 00:00:00,CHMB/USDT,0.000535,0.00056,0.000488,0.000516,353039447.9027,186044.6340223711
1661817600,2022-08-30 00:00:00,CHMB/USDT,0.000459,0.00069,0.000455,0.000533,696617072.98274688,392825.85337747445312
1661731200,2022-08-29 00:00:00,CHMB/USDT,0.000443,0.000469,0.000405,0.00046,343272852.7142,150492.3746667821
1661644800,2022-08-28 00:00:00,CHMB/USDT,0.000461,0.000475,0.000442,0.000446,405917939.1544,185943.8217225085
1661558400,2022-08-27 00:00:00,CHMB/USDT,0.000502,0.000505,0.000434,0.000463,440891047.2709,203769.6844862337
1661472000,2022-08-26 00:00:00,CHMB/USDT,0.000551,0.000552,0.0005,0.000504,352739870.2163,185613.3085696852
1661385600,2022-08-25 00:00:00,CHMB/USDT,0.000534,0.000576,0.000531,0.000553,350807408.3056,192009.0028572078
1661299200,2022-08-24 00:00:00,CHMB/USDT,0.000554,0.00056,0.000525,0.000534,366199107.9805,197235.813511416
1661212800,2022-08-23 00:00:00,CHMB/USDT,0.000588,0.000592,0.000541,0.000554,357871076.4943,202539.9121296156
1661126400,2022-08-22 00:00:00,CHMB/USDT,0.000613,0.000618,0.000574,0.000589,335144359.5441,198823.2872294213
1661040000,2022-08-21 00:00:00,CHMB/USDT,0.000596,0.000634,0.000577,0.000612,334992409.9945,199997.7363908834
1660953600,2022-08-20 00:00:00,CHMB/USDT,0.000615,0.000615,0.000585,0.000596,305267018.8786,183110.3640083742
1660867200,2022-08-19 00:00:00,CHMB/USDT,0.000701,0.000701,0.000592,0.000617,283396207.435,178940.5432924038
1660780800,2022-08-18 00:00:00,CHMB/USDT,0.00073,0.00076,0.00069,0.0007,265797788.209,191767.2795148419
1660694400,2022-08-17 00:00:00,CHMB/USDT,0.000767,0.000781,0.000725,0.000733,309494107.5526,231469.6668942195
1660608000,2022-08-16 00:00:00,CHMB/USDT,0.000839,0.000932,0.000747,0.000765,1222881767.132,1019048.8039237373
1660521600,2022-08-15 00:00:00,CHMB/USDT,0.000858,0.000885,0.00083,0.000839,640329398.2008,546771.2050212397
