https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUSDTBEAR,Volume USDT
1655769600000.0,2022-06-21 00:00:00,CUSDTBEAR/USDT,11430.0,11440.0,11245.0,11330.0,0.0,0.0
1655766000000.0,2022-06-20 23:00:00,CUSDTBEAR/USDT,11315.0,11435.0,11315.0,11430.0,0.0,0.0
1655762400000.0,2022-06-20 22:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11245.0,11315.0,0.021678775961113568,245.29535
1655758800000.0,2022-06-20 21:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655755200000.0,2022-06-20 20:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655751600000.0,2022-06-20 19:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655748000000.0,2022-06-20 18:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655744400000.0,2022-06-20 17:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655740800000.0,2022-06-20 16:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655737200000.0,2022-06-20 15:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655733600000.0,2022-06-20 14:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655730000000.0,2022-06-20 13:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655726400000.0,2022-06-20 12:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655722800000.0,2022-06-20 11:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655719200000.0,2022-06-20 10:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655715600000.0,2022-06-20 09:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655712000000.0,2022-06-20 08:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655708400000.0,2022-06-20 07:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655704800000.0,2022-06-20 06:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655701200000.0,2022-06-20 05:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655697600000.0,2022-06-20 04:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655694000000.0,2022-06-20 03:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655690400000.0,2022-06-20 02:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
1655686800000.0,2022-06-20 01:00:00,CUSDTBEAR/USDT,11595.0,11595.0,11595.0,11595.0,0.0,0.0
