https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume REN,Volume USDT
1663459200,2022-09-18 00:00:00,REN/USDT,0.1161,0.1161,0.1147,0.1153,1490.93783047,171.868421873457
1663372800,2022-09-17 00:00:00,REN/USDT,0.1133,0.116,0.1125,0.116,270960.49109294,30877.061264565587
1663286400,2022-09-16 00:00:00,REN/USDT,0.1113,0.1185,0.1095,0.1135,415516.33396292,47224.636445602599
1663200000,2022-09-15 00:00:00,REN/USDT,0.1206,0.121,0.1106,0.111,794087.79356655,91972.917975643734
1663113600,2022-09-14 00:00:00,REN/USDT,0.1194,0.123,0.1161,0.121,497104.264217,59476.612087962567
1663027200,2022-09-13 00:00:00,REN/USDT,0.1332,0.1333,0.1189,0.1196,660419.21040276,83466.030785889253
1662940800,2022-09-12 00:00:00,REN/USDT,0.1308,0.1412,0.1281,0.1331,700706.36444273,94217.288906469862
1662854400,2022-09-11 00:00:00,REN/USDT,0.1317,0.136,0.1281,0.1311,350860.54260395,46428.288284990471
1662768000,2022-09-10 00:00:00,REN/USDT,0.1339,0.1359,0.1292,0.1315,533088.67931432,70674.258340080017
1662681600,2022-09-09 00:00:00,REN/USDT,0.1221,0.1353,0.1221,0.1338,614137.67756726,79917.378881059473
1662595200,2022-09-08 00:00:00,REN/USDT,0.1209,0.1232,0.1171,0.1219,196979.08628707,23734.379741102844
1662508800,2022-09-07 00:00:00,REN/USDT,0.1143,0.123,0.1116,0.1208,517872.41348721,60124.901733269489
1662422400,2022-09-06 00:00:00,REN/USDT,0.1293,0.1317,0.1143,0.1145,320611.39298177,39220.495486357729
1662336000,2022-09-05 00:00:00,REN/USDT,0.1232,0.1304,0.12,0.1289,483609.30349914,60343.415738864868
1662249600,2022-09-04 00:00:00,REN/USDT,0.1213,0.1232,0.1188,0.1232,105515.31917186,12838.545514134282
1662163200,2022-09-03 00:00:00,REN/USDT,0.121,0.1224,0.1194,0.1213,125107.9686832,15172.215310867447
1662076800,2022-09-02 00:00:00,REN/USDT,0.1235,0.127,0.1188,0.1208,149400.83258692,18301.095056541936
1661990400,2022-09-01 00:00:00,REN/USDT,0.1196,0.1262,0.1162,0.1236,822693.95927414,98355.200858248316
1661904000,2022-08-31 00:00:00,REN/USDT,0.1179,0.1245,0.1179,0.1196,286733.96524422,34758.939797931724
1661817600,2022-08-30 00:00:00,REN/USDT,0.1222,0.1244,0.1144,0.1172,583053.71071557,69337.389268432529
1661731200,2022-08-29 00:00:00,REN/USDT,0.1116,0.1226,0.1096,0.1223,147649.34014753,17286.576454415788
