https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTX,Volume BTC
1663459200,2022-09-18 00:00:00,LTX/BTC,0.00002466,0.00002473,0.00002461,0.00002461,1.5531,0.000038293782
1663372800,2022-09-17 00:00:00,LTX/BTC,0.00002487,0.00002487,0.00002394,0.00002449,18833.6112,0.458280800489
1663286400,2022-09-16 00:00:00,LTX/BTC,0.0000278,0.0000278,0.00002491,0.00002512,26186.586,0.693871165268
1663200000,2022-09-15 00:00:00,LTX/BTC,0.00002889,0.00002923,0.0000278,0.00002785,13140.7023,0.37514490136
1663113600,2022-09-14 00:00:00,LTX/BTC,0.00002887,0.00002974,0.00002849,0.00002912,5327.3178,0.153041637857
1663027200,2022-09-13 00:00:00,LTX/BTC,0.000028,0.00003124,0.000028,0.0000289,34737.4981,1.034951762737
1662940800,2022-09-12 00:00:00,LTX/BTC,0.00002824,0.00002845,0.00002732,0.00002808,1860.6185,0.051607227015
1662854400,2022-09-11 00:00:00,LTX/BTC,0.00002818,0.00002885,0.00002818,0.00002824,1162.6069,0.033147202226
1662768000,2022-09-10 00:00:00,LTX/BTC,0.00002711,0.00002846,0.00002711,0.00002799,12350.5184,0.34388272164
1662681600,2022-09-09 00:00:00,LTX/BTC,0.00002777,0.00002791,0.00002603,0.0000272,4353.879,0.117266314643
1662595200,2022-09-08 00:00:00,LTX/BTC,0.00002837,0.00002837,0.00002763,0.0000279,10697.1219,0.297288108923
1662508800,2022-09-07 00:00:00,LTX/BTC,0.00002786,0.00002852,0.0000271,0.00002852,8446.9683,0.235883700057
1662422400,2022-09-06 00:00:00,LTX/BTC,0.00002617,0.00002876,0.00002596,0.00002785,23484.7344,0.648278489758
1662336000,2022-09-05 00:00:00,LTX/BTC,0.00002522,0.00002646,0.00002517,0.0000263,5874.2995,0.151924768685
1662249600,2022-09-04 00:00:00,LTX/BTC,0.00002455,0.00002521,0.00002447,0.00002511,3686.4592,0.091252055338
1662163200,2022-09-03 00:00:00,LTX/BTC,0.00002305,0.0000246,0.00002305,0.0000245,11835.2608,0.286821993054
1662076800,2022-09-02 00:00:00,LTX/BTC,0.0000222,0.00002345,0.00002218,0.00002316,33567.5466,0.765119423047
1661990400,2022-09-01 00:00:00,LTX/BTC,0.00002278,0.00002278,0.00002189,0.00002223,30050.4717,0.669638064073
1661904000,2022-08-31 00:00:00,LTX/BTC,0.00002251,0.00002448,0.00002235,0.00002299,24643.9695,0.579177698274
1661817600,2022-08-30 00:00:00,LTX/BTC,0.00002118,0.00002264,0.00002118,0.00002264,1755.3905,0.038242361035
1661731200,2022-08-29 00:00:00,LTX/BTC,0.00002234,0.00002234,0.00002111,0.00002134,5223.4365,0.111874333288
1661644800,2022-08-28 00:00:00,LTX/BTC,0.00002251,0.00002258,0.00002185,0.00002238,24355.5007,0.539459044305
1661558400,2022-08-27 00:00:00,LTX/BTC,0.00002182,0.00002259,0.00002163,0.00002235,2231.2381,0.049738282957
1661472000,2022-08-26 00:00:00,LTX/BTC,0.00002465,0.00002465,0.00002119,0.00002173,30676.3605,0.692159917474
1661385600,2022-08-25 00:00:00,LTX/BTC,0.00002405,0.0000269,0.00002387,0.00002449,7626.6699,0.18789285442
1661299200,2022-08-24 00:00:00,LTX/BTC,0.00002285,0.00002425,0.0000225,0.00002404,7297.7507,0.171799861498
1661212800,2022-08-23 00:00:00,LTX/BTC,0.00002238,0.0000229,0.00002173,0.00002266,2929.03,0.064913015407
1661126400,2022-08-22 00:00:00,LTX/BTC,0.00002345,0.00002382,0.00002221,0.00002238,7081.7283,0.16236752857
1661040000,2022-08-21 00:00:00,LTX/BTC,0.00002317,0.00002398,0.00002304,0.00002343,5074.4026,0.119634533555
1660953600,2022-08-20 00:00:00,LTX/BTC,0.00002578,0.00002605,0.00002276,0.00002327,12558.189,0.309707477796
1660867200,2022-08-19 00:00:00,LTX/BTC,0.00002668,0.00002811,0.00002574,0.00002592,6315.7697,0.168325326384
1660780800,2022-08-18 00:00:00,LTX/BTC,0.00002776,0.00002801,0.00002616,0.00002658,26762.8161,0.726349382
1660694400,2022-08-17 00:00:00,LTX/BTC,0.00002824,0.00002876,0.00002754,0.00002782,11606.2534,0.327489116462
1660608000,2022-08-16 00:00:00,LTX/BTC,0.00002909,0.00002909,0.00002817,0.00002841,3449.0354,0.098307495718
1660521600,2022-08-15 00:00:00,LTX/BTC,0.00002987,0.00003047,0.00002902,0.00002915,36704.855,1.094216705194
1660435200,2022-08-14 00:00:00,LTX/BTC,0.00003133,0.0000316,0.00002968,0.00002968,32610.291,0.996849854754
1660348800,2022-08-13 00:00:00,LTX/BTC,0.00003102,0.00003165,0.00003057,0.00003126,8378.1491,0.261537147384
1660262400,2022-08-12 00:00:00,LTX/BTC,0.00003144,0.0000319,0.0000307,0.00003123,7032.9802,0.219312861121
1660176000,2022-08-11 00:00:00,LTX/BTC,0.00003136,0.00003305,0.0000279,0.00003136,24883.8809,0.771161001458
1660089600,2022-08-10 00:00:00,LTX/BTC,0.00003019,0.00003182,0.00002974,0.00003147,11313.5699,0.348443224172
1660003200,2022-08-09 00:00:00,LTX/BTC,0.00003097,0.00003123,0.00002719,0.00003024,15597.8328,0.467113023982
1659916800,2022-08-08 00:00:00,LTX/BTC,0.00003111,0.00003152,0.0000302,0.00003098,11699.8417,0.358609222822
1659830400,2022-08-07 00:00:00,LTX/BTC,0.00003058,0.00003357,0.00002837,0.00003111,64750.2755,2.045796231136
1659744000,2022-08-06 00:00:00,LTX/BTC,0.00002971,0.00003273,0.00002951,0.00003037,13766.3189,0.416054461043
1659657600,2022-08-05 00:00:00,LTX/BTC,0.00002824,0.00002996,0.00002781,0.00002965,6549.956,0.187820437859
