https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ETP
1660694400000,2022-08-17 00:00:00,ETP/BTC,1.89e-06,2.1e-06,1.77e-06,1.98e-06,0.042354594115554596,21391.20914927
1660608000000,2022-08-16 00:00:00,ETP/BTC,1.92e-06,2.02e-06,1.83e-06,1.88e-06,0.058357176130322,31041.05113315
1660521600000,2022-08-15 00:00:00,ETP/BTC,2.1e-06,2.1e-06,1.86e-06,1.98e-06,0.0279680137446006,14125.25946697
1660435200000,2022-08-14 00:00:00,ETP/BTC,1.58e-06,2.12e-06,1.58e-06,2.11e-06,0.0944777033331021,44776.16271711
1660348800000,2022-08-13 00:00:00,ETP/BTC,1.62e-06,1.66e-06,1.59e-06,1.59e-06,0.0048512116486899,3051.07650861
1660262400000,2022-08-12 00:00:00,ETP/BTC,1.7e-06,1.71e-06,1.62e-06,1.62e-06,0.0155893279963248,9623.04197304
1660176000000,2022-08-11 00:00:00,ETP/BTC,1.71e-06,1.71e-06,1.71e-06,1.71e-06,8.79550914429e-05,51.43572599
1660089600000,2022-08-10 00:00:00,ETP/BTC,1.75e-06,1.75e-06,1.58e-06,1.71e-06,0.0671006941546104,39240.17202024
1660003200000,2022-08-09 00:00:00,ETP/BTC,1.72e-06,1.75e-06,1.71e-06,1.75e-06,0.0276616165514675,15806.63802941
1659916800000,2022-08-08 00:00:00,ETP/BTC,1.78e-06,1.78e-06,1.73e-06,1.74e-06,0.038033007182682606,21858.05010499
1659830400000,2022-08-07 00:00:00,ETP/BTC,1.82e-06,1.84e-06,1.65e-06,1.78e-06,0.043290269193385196,24320.37595134
1659744000000,2022-08-06 00:00:00,ETP/BTC,1.84e-06,1.84e-06,1.8e-06,1.83e-06,0.0599524592166957,32760.90667579
1659657600000,2022-08-05 00:00:00,ETP/BTC,1.86e-06,1.86e-06,1.82e-06,1.83e-06,0.0205296429048483,11218.38410101
1659571200000,2022-08-04 00:00:00,ETP/BTC,1.85e-06,1.9e-06,1.82e-06,1.9e-06,0.027951227435835002,14711.17233465
1659484800000,2022-08-03 00:00:00,ETP/BTC,1.85e-06,1.85e-06,1.82e-06,1.84e-06,0.00338241952642,1838.27148175
1659398400000,2022-08-02 00:00:00,ETP/BTC,1.83e-06,1.87e-06,1.82e-06,1.86e-06,0.0120303053318082,6467.90609237
1659312000000,2022-08-01 00:00:00,ETP/BTC,1.84e-06,1.93e-06,1.78e-06,1.8e-06,0.066566935240776,36981.63068932
1659225600000,2022-07-31 00:00:00,ETP/BTC,1.82e-06,1.89e-06,1.77e-06,1.86e-06,0.0076701232737906,4123.72219021
1659139200000,2022-07-30 00:00:00,ETP/BTC,1.87e-06,1.87e-06,1.67e-06,1.79e-06,0.1267960531323478,70835.78387282
1659052800000,2022-07-29 00:00:00,ETP/BTC,1.91e-06,1.91e-06,1.84e-06,1.87e-06,0.0413360282086796,22104.82791908
1658966400000,2022-07-28 00:00:00,ETP/BTC,1.95e-06,2.02e-06,1.89e-06,1.89e-06,0.0705098441619054,37306.79585286
1658880000000,2022-07-27 00:00:00,ETP/BTC,1.9e-06,1.97e-06,1.9e-06,1.93e-06,0.041925433015859305,21723.02228801
