https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RFUEL,Volume USDT
1663372800,2022-09-17 00:00:00,RFUEL/USDT,0.007062,0.007277,0.007005,0.007115,696402.5496,4961.8723127836
1663286400,2022-09-16 00:00:00,RFUEL/USDT,0.007205,0.007231,0.006993,0.006997,463768.418,3291.5784255857
1663200000,2022-09-15 00:00:00,RFUEL/USDT,0.007475,0.007898,0.007204,0.007204,1173440.7367,8649.8401376785
1663113600,2022-09-14 00:00:00,RFUEL/USDT,0.007552,0.007701,0.007412,0.007473,1103666.0763,8331.8775222922
1663027200,2022-09-13 00:00:00,RFUEL/USDT,0.008166,0.008274,0.007525,0.007527,516707.7469,4092.0047452189
1662940800,2022-09-12 00:00:00,RFUEL/USDT,0.008265,0.008448,0.008166,0.008166,369115.1541,3082.6537027651
1662854400,2022-09-11 00:00:00,RFUEL/USDT,0.00833,0.008698,0.008266,0.008266,389339.7986,3262.8458878294
1662768000,2022-09-10 00:00:00,RFUEL/USDT,0.008072,0.008486,0.008053,0.008389,1485818.4856,12335.594014569
1662681600,2022-09-09 00:00:00,RFUEL/USDT,0.00784,0.008498,0.007775,0.0081,1693894.3182,13519.8492340141
1662595200,2022-09-08 00:00:00,RFUEL/USDT,0.007962,0.008293,0.007701,0.007845,2832737.464,22794.6799255752
1662508800,2022-09-07 00:00:00,RFUEL/USDT,0.007566,0.0086,0.007378,0.007973,6726749.2067,54026.0802983488
1662422400,2022-09-06 00:00:00,RFUEL/USDT,0.008067,0.008651,0.0074,0.007538,3557146.5812,28529.4842129251
1662336000,2022-09-05 00:00:00,RFUEL/USDT,0.007973,0.008257,0.007807,0.008162,1054046.4098,8474.5443007348
1662249600,2022-09-04 00:00:00,RFUEL/USDT,0.007718,0.008547,0.007718,0.008048,1208925.0008,9642.3585519711
1662163200,2022-09-03 00:00:00,RFUEL/USDT,0.00778,0.007888,0.007571,0.007718,676017.5453,5201.1130727893
1662076800,2022-09-02 00:00:00,RFUEL/USDT,0.007597,0.00796,0.007526,0.00778,839872.3289,6535.4146534075
1661990400,2022-09-01 00:00:00,RFUEL/USDT,0.007638,0.007909,0.007525,0.0077,663856.352,5117.2540908702
1661904000,2022-08-31 00:00:00,RFUEL/USDT,0.007501,0.007998,0.007501,0.007571,612662.6434,4768.2043066183
1661817600,2022-08-30 00:00:00,RFUEL/USDT,0.007773,0.008182,0.007433,0.007497,672170.0211,5256.5994520002
1661731200,2022-08-29 00:00:00,RFUEL/USDT,0.00757,0.007912,0.007468,0.007717,1349155.5325,10359.2633492825
1661644800,2022-08-28 00:00:00,RFUEL/USDT,0.007554,0.00795,0.007486,0.007574,1596430.1896,12349.0214263515
1661558400,2022-08-27 00:00:00,RFUEL/USDT,0.007723,0.007837,0.007471,0.007471,1084472.1069,8289.4505475943
1661472000,2022-08-26 00:00:00,RFUEL/USDT,0.008677,0.00869,0.007646,0.007825,1948228.2365,15885.7426924229
1661385600,2022-08-25 00:00:00,RFUEL/USDT,0.008418,0.008872,0.008418,0.008763,1188333.4253,10111.2103822612
1661299200,2022-08-24 00:00:00,RFUEL/USDT,0.00869,0.008987,0.0084,0.008418,2644207.5917,22703.6359199649
1661212800,2022-08-23 00:00:00,RFUEL/USDT,0.008549,0.009302,0.008549,0.008687,5384878.4485,47523.1830798514
1661126400,2022-08-22 00:00:00,RFUEL/USDT,0.008869,0.009204,0.0084,0.008485,2555699.5534,21993.7499310156
1661040000,2022-08-21 00:00:00,RFUEL/USDT,0.008485,0.00896,0.008374,0.00885,2902011.8448,25148.6504400127
1660953600,2022-08-20 00:00:00,RFUEL/USDT,0.008437,0.009051,0.008191,0.008485,3280171.0296,28174.3644806154
1660867200,2022-08-19 00:00:00,RFUEL/USDT,0.00979,0.00979,0.00833,0.00842,2969619.9916,26850.0704620291
1660780800,2022-08-18 00:00:00,RFUEL/USDT,0.009847,0.010167,0.009701,0.00979,1572179.3061,15557.9595404813
1660694400,2022-08-17 00:00:00,RFUEL/USDT,0.010277,0.010477,0.009847,0.009847,542001.4783,5470.7496092841
1660608000,2022-08-16 00:00:00,RFUEL/USDT,0.01043,0.012773,0.010146,0.010277,3225967.7522,35842.5126044218
1660521600,2022-08-15 00:00:00,RFUEL/USDT,0.010814,0.01107,0.010435,0.010447,1726673.0466,18658.9337433059
1660435200,2022-08-14 00:00:00,RFUEL/USDT,0.010597,0.011518,0.010539,0.010814,3592977.5833,39584.7484162611
1660348800,2022-08-13 00:00:00,RFUEL/USDT,0.010425,0.0116,0.010416,0.010661,2573162.0829,28287.9505816968
1660262400,2022-08-12 00:00:00,RFUEL/USDT,0.010469,0.010713,0.010146,0.010494,1310633.251,13643.2596150958
1660176000,2022-08-11 00:00:00,RFUEL/USDT,0.010167,0.01113,0.010147,0.010371,2738613.6584,29253.8752117144
1660089600,2022-08-10 00:00:00,RFUEL/USDT,0.009793,0.01051,0.009658,0.010467,1972516.8613,19889.4309658227
1660003200,2022-08-09 00:00:00,RFUEL/USDT,0.010135,0.010369,0.009637,0.00985,1862370.2836,18520.769286531
1659916800,2022-08-08 00:00:00,RFUEL/USDT,0.009793,0.011006,0.009666,0.01015,4754651.5227,48474.7127650041
1659830400,2022-08-07 00:00:00,RFUEL/USDT,0.009696,0.0099,0.009558,0.009793,1480750.5707,14447.0704234102
1659744000,2022-08-06 00:00:00,RFUEL/USDT,0.009857,0.010369,0.009601,0.009696,2236457.6385,22175.4928880974
1659657600,2022-08-05 00:00:00,RFUEL/USDT,0.009458,0.012398,0.009436,0.009831,15050925.60415309,160126.81363125831281
1659571200,2022-08-04 00:00:00,RFUEL/USDT,0.009418,0.010063,0.009418,0.009514,5192670.8366,50740.163674388
1659484800,2022-08-03 00:00:00,RFUEL/USDT,0.009193,0.01044,0.008936,0.009418,2726164.2629,26155.4607526503
1659398400,2022-08-02 00:00:00,RFUEL/USDT,0.009127,0.010215,0.008894,0.009193,6797642.3073,63717.3383176818
1659312000,2022-08-01 00:00:00,RFUEL/USDT,0.009011,0.00968,0.008899,0.009212,2982248.2246,27543.6187212629
1659225600,2022-07-31 00:00:00,RFUEL/USDT,0.009223,0.009482,0.008974,0.009012,2662780.3235,24487.5534025404
1659139200,2022-07-30 00:00:00,RFUEL/USDT,0.009417,0.011338,0.009054,0.009171,7829539.78666241,77453.1859656755917
1659052800,2022-07-29 00:00:00,RFUEL/USDT,0.009702,0.010056,0.009278,0.009417,6422875.6317,62352.052222368
1658966400,2022-07-28 00:00:00,RFUEL/USDT,0.008783,0.009999,0.008773,0.009703,3278294.7988,31504.2755479429
1658880000,2022-07-27 00:00:00,RFUEL/USDT,0.008389,0.008936,0.008289,0.00878,1237110.7542,10647.8255530505
1658793600,2022-07-26 00:00:00,RFUEL/USDT,0.008674,0.008741,0.008237,0.008405,1059059.3317,8906.5962054179
1658707200,2022-07-25 00:00:00,RFUEL/USDT,0.009408,0.009408,0.008683,0.00869,723051.6351,6447.3612394344
1658620800,2022-07-24 00:00:00,RFUEL/USDT,0.009009,0.009484,0.009009,0.009484,690096.5547,6382.799377541
1658534400,2022-07-23 00:00:00,RFUEL/USDT,0.00915,0.009225,0.008986,0.009009,781260.3189,7069.0100731524
1658448000,2022-07-22 00:00:00,RFUEL/USDT,0.009012,0.009344,0.008891,0.009135,1328806.6468,12074.3036922355
1658361600,2022-07-21 00:00:00,RFUEL/USDT,0.009288,0.00931,0.008873,0.009256,1571362.8153,14273.4081364351
1658275200,2022-07-20 00:00:00,RFUEL/USDT,0.009444,0.009877,0.009141,0.009296,925130.76394038,8685.42457910109242
1658188800,2022-07-19 00:00:00,RFUEL/USDT,0.009278,0.009998,0.009208,0.009444,2487096.29685732,23835.67637585937036
1658102400,2022-07-18 00:00:00,RFUEL/USDT,0.008551,0.009626,0.008523,0.009626,1823946.78891816,16790.3902938177965
1658016000,2022-07-17 00:00:00,RFUEL/USDT,0.008549,0.008805,0.008532,0.008551,54892.95724272,474.77819812258064
1657929600,2022-07-16 00:00:00,RFUEL/USDT,0.008699,0.008804,0.008255,0.008549,1269956.70825053,10822.42252496590196
1657843200,2022-07-15 00:00:00,RFUEL/USDT,0.008764,0.008977,0.008611,0.008611,788472.50849643,6864.13147958412682
1657756800,2022-07-14 00:00:00,RFUEL/USDT,0.008672,0.0105,0.008672,0.00878,9199631.14387792,87899.99826340039419
1657670400,2022-07-13 00:00:00,RFUEL/USDT,0.008115,0.011509,0.007995,0.008935,9023998.53895543,83777.31198225118021
1657584000,2022-07-12 00:00:00,RFUEL/USDT,0.008486,0.008489,0.008115,0.008115,660377.4348115,5434.62873312651703
1657497600,2022-07-11 00:00:00,RFUEL/USDT,0.009011,0.009013,0.008486,0.008487,426987.2088,3725.8246782813
1657411200,2022-07-10 00:00:00,RFUEL/USDT,0.009141,0.009418,0.00901,0.009012,246574.89395646,2245.83405291820298
1657324800,2022-07-09 00:00:00,RFUEL/USDT,0.009751,0.009751,0.009141,0.009141,806748.54191193,7543.57224672332168
1657238400,2022-07-08 00:00:00,RFUEL/USDT,0.009603,0.01037,0.0091,0.009505,3332502.41735321,32061.10931216019279
1657152000,2022-07-07 00:00:00,RFUEL/USDT,0.009849,0.010525,0.009012,0.009598,5294704.37195526,50783.26886524747768
1657065600,2022-07-06 00:00:00,RFUEL/USDT,0.008635,0.010683,0.008299,0.010068,7573054.52798743,70499.19925999336692
1656979200,2022-07-05 00:00:00,RFUEL/USDT,0.008519,0.008623,0.007997,0.008599,2278400.61351645,18843.54679151381302
1656892800,2022-07-04 00:00:00,RFUEL/USDT,0.007787,0.008673,0.007774,0.008299,1202388.59736622,9966.67991428072668
1656806400,2022-07-03 00:00:00,RFUEL/USDT,0.007701,0.007992,0.007648,0.007779,1341280.47629511,10558.49509496725929
1656720000,2022-07-02 00:00:00,RFUEL/USDT,0.007908,0.00793,0.007647,0.007709,1148571.91095241,8921.44252829032643
1656633600,2022-07-01 00:00:00,RFUEL/USDT,0.007989,0.008469,0.007906,0.007908,2110448.69826712,17220.28403086846538
1656547200,2022-06-30 00:00:00,RFUEL/USDT,0.008294,0.008294,0.007772,0.007895,1487769.25000261,11787.91379791205657
1656460800,2022-06-29 00:00:00,RFUEL/USDT,0.008769,0.008769,0.008131,0.008157,1337897.28107375,11280.63326006849922
1656374400,2022-06-28 00:00:00,RFUEL/USDT,0.009007,0.009304,0.008513,0.008742,3318975.47290468,29398.07153474870938
1656288000,2022-06-27 00:00:00,RFUEL/USDT,0.008873,0.012773,0.008492,0.009007,10733895.81079842,106366.09321339808985
1656201600,2022-06-26 00:00:00,RFUEL/USDT,0.009164,0.00923,0.008873,0.008873,1062708.17224789,9567.22947644209815
1656115200,2022-06-25 00:00:00,RFUEL/USDT,0.008687,0.009167,0.008568,0.009167,3206806.48572406,28223.00502801999267
1656028800,2022-06-24 00:00:00,RFUEL/USDT,0.008497,0.009204,0.008409,0.008862,2381590.58382389,20752.7428402801642
1655942400,2022-06-23 00:00:00,RFUEL/USDT,0.008213,0.008673,0.008162,0.008499,1905570.99061386,16004.89663713620264
1655856000,2022-06-22 00:00:00,RFUEL/USDT,0.008478,0.008801,0.007868,0.00816,4472124.71677526,37662.62803880171801
1655769600,2022-06-21 00:00:00,RFUEL/USDT,0.008956,0.009766,0.008251,0.008474,8075583.62417019,72907.93014656264745
1655683200,2022-06-20 00:00:00,RFUEL/USDT,0.009016,0.009417,0.008552,0.008956,1730703.81764038,15630.099830819446
1655596800,2022-06-19 00:00:00,RFUEL/USDT,0.007875,0.009499,0.007571,0.009013,6148409.28968622,51509.21428836729487
1655510400,2022-06-18 00:00:00,RFUEL/USDT,0.008968,0.0096,0.007367,0.007882,4166163.1757473,34607.19289424045977
1655424000,2022-06-17 00:00:00,RFUEL/USDT,0.008937,0.009354,0.008526,0.009115,2671838.02795324,23798.0158545763788
1655337600,2022-06-16 00:00:00,RFUEL/USDT,0.01012,0.01088,0.008902,0.008903,13840980.4941569,133573.75357635321192
1655251200,2022-06-15 00:00:00,RFUEL/USDT,0.012973,0.014343,0.009117,0.010118,36635626.60345188,400558.31536043222483
1655164800,2022-06-14 00:00:00,RFUEL/USDT,0.007799,0.024955,0.007313,0.01307,76099739.09598388,1012321.49789390288075
1655078400,2022-06-13 00:00:00,RFUEL/USDT,0.008596,0.013,0.006697,0.0078,12942277.18934309,113097.64853173906545
1654992000,2022-06-12 00:00:00,RFUEL/USDT,0.009177,0.009185,0.008595,0.008599,2495510.03609008,22028.95816952597695
1654905600,2022-06-11 00:00:00,RFUEL/USDT,0.009925,0.010155,0.008731,0.009183,4060637.84144964,38427.68671511901528
1654819200,2022-06-10 00:00:00,RFUEL/USDT,0.010869,0.011014,0.00989,0.009929,3494710.068588,36312.70254445715394
1654732800,2022-06-09 00:00:00,RFUEL/USDT,0.010001,0.013153,0.01,0.010566,18403021.8764856,202581.60632678365614
1654646400,2022-06-08 00:00:00,RFUEL/USDT,0.009947,0.011191,0.009753,0.010001,8251756.77899681,84850.61474376789288
1654560000,2022-06-07 00:00:00,RFUEL/USDT,0.010203,0.01023,0.009646,0.009947,3755021.64438368,37386.10482472004165
1654473600,2022-06-06 00:00:00,RFUEL/USDT,0.009959,0.010516,0.009947,0.010199,3121612.12868979,31746.42971335057216
1654387200,2022-06-05 00:00:00,RFUEL/USDT,0.010067,0.010131,0.009928,0.009935,2068479.62595336,20736.28178604744932
1654300800,2022-06-04 00:00:00,RFUEL/USDT,0.00999,0.010079,0.009976,0.010068,2440400.0172,24481.0929976364
1654214400,2022-06-03 00:00:00,RFUEL/USDT,0.01011,0.01013,0.009886,0.009994,2873595.79681984,28833.5169015352792
1654128000,2022-06-02 00:00:00,RFUEL/USDT,0.010136,0.010158,0.010014,0.010133,1298078.69302426,13155.26237238724196
1654041600,2022-06-01 00:00:00,RFUEL/USDT,0.010832,0.011252,0.010012,0.010138,6147502.81037833,64983.74198561686977
1653955200,2022-05-31 00:00:00,RFUEL/USDT,0.010275,0.011052,0.010263,0.010834,4764659.09706958,50049.70491533062276
1653868800,2022-05-30 00:00:00,RFUEL/USDT,0.009848,0.010635,0.009767,0.010273,5430304.81478448,54876.58503171376201
1653782400,2022-05-29 00:00:00,RFUEL/USDT,0.009904,0.00992,0.00977,0.009774,5112449.63313225,50476.46923560042
1653696000,2022-05-28 00:00:00,RFUEL/USDT,0.009889,0.010111,0.009767,0.009904,5513284.45278502,54583.49928898799028
1653609600,2022-05-27 00:00:00,RFUEL/USDT,0.010012,0.010027,0.009887,0.009888,6609164.79030418,65636.21175216337679
1653523200,2022-05-26 00:00:00,RFUEL/USDT,0.01041,0.010434,0.009887,0.010012,6501837.67280845,65964.20412772935705
1653436800,2022-05-25 00:00:00,RFUEL/USDT,0.010618,0.010709,0.010328,0.010328,5534919.72444886,58163.52801408490916
1653350400,2022-05-24 00:00:00,RFUEL/USDT,0.010795,0.01092,0.01053,0.010619,6678295.86459029,71728.8524576770584
1653264000,2022-05-23 00:00:00,RFUEL/USDT,0.011025,0.011472,0.010786,0.010796,7874009.64819916,87574.44597243071646
1653177600,2022-05-22 00:00:00,RFUEL/USDT,0.010966,0.011301,0.010851,0.011026,7073058.22386094,78081.55857081977521
1653091200,2022-05-21 00:00:00,RFUEL/USDT,0.010773,0.011052,0.010721,0.01097,8412199.96300854,91400.35921561940348
1653004800,2022-05-20 00:00:00,RFUEL/USDT,0.010787,0.011074,0.010643,0.010775,8846420.74357169,95552.12305002745251
1652918400,2022-05-19 00:00:00,RFUEL/USDT,0.010706,0.011182,0.010391,0.010896,8274371.77493041,88275.5522674169652
1652832000,2022-05-18 00:00:00,RFUEL/USDT,0.011032,0.01119,0.010653,0.010712,9056206.26852338,98628.35505038025611
1652745600,2022-05-17 00:00:00,RFUEL/USDT,0.010695,0.012622,0.010444,0.011035,9416701.61088822,102723.52726915122033
1652659200,2022-05-16 00:00:00,RFUEL/USDT,0.01108,0.011169,0.010575,0.010677,10142344.10785655,109163.7233151552748
1652572800,2022-05-15 00:00:00,RFUEL/USDT,0.010789,0.011493,0.010692,0.011171,9104080.10727362,99606.95203499093791
1652486400,2022-05-14 00:00:00,RFUEL/USDT,0.011626,0.01185,0.01044,0.010759,11575908.24365277,128572.67416329585325
1652400000,2022-05-13 00:00:00,RFUEL/USDT,0.010788,0.012205,0.010788,0.011645,9687906.94058249,112540.54866050265783
1652313600,2022-05-12 00:00:00,RFUEL/USDT,0.012523,0.01299,0.010786,0.010788,11728969.92643393,134540.24334975388095
1652227200,2022-05-11 00:00:00,RFUEL/USDT,0.015474,0.015705,0.012366,0.012558,10353329.85463307,149439.3182290717794
1652140800,2022-05-10 00:00:00,RFUEL/USDT,0.015518,0.015944,0.015474,0.015478,5862151.46374496,91392.14884253354224
1652054400,2022-05-09 00:00:00,RFUEL/USDT,0.017015,0.017032,0.015513,0.015514,5819613.6465583,94980.861821062486
1651968000,2022-05-08 00:00:00,RFUEL/USDT,0.017511,0.017511,0.017013,0.017017,2522417.7066,43195.6256085235
1651881600,2022-05-07 00:00:00,RFUEL/USDT,0.018154,0.018158,0.017511,0.017512,5019433.41067663,89940.26679462397971
1651795200,2022-05-06 00:00:00,RFUEL/USDT,0.018732,0.018853,0.017751,0.018157,5846880.80223737,107078.23722961558764
1651708800,2022-05-05 00:00:00,RFUEL/USDT,0.019478,0.019811,0.018706,0.018729,4811527.67808505,92870.00387849505905
1651622400,2022-05-04 00:00:00,RFUEL/USDT,0.0188,0.019818,0.0188,0.019477,5561877.56809829,106124.58337932453314
1651536000,2022-05-03 00:00:00,RFUEL/USDT,0.019084,0.019178,0.0188,0.018803,5253634.68412464,99700.87357945522208
1651449600,2022-05-02 00:00:00,RFUEL/USDT,0.019395,0.019419,0.019046,0.019085,4985763.03954147,95871.16656422245212
