https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LOC,Volume USDT
1663441200,2022-09-17 19:00:00,LOC/USDT,0.81313,0.81313,0.81313,0.81313,28.9305,23.524257465
1663437600,2022-09-17 18:00:00,LOC/USDT,0.81313,0.81313,0.81313,0.81313,0,0
1663434000,2022-09-17 17:00:00,LOC/USDT,0.81313,0.81313,0.81313,0.81313,0.1302,0.105869526
1663430400,2022-09-17 16:00:00,LOC/USDT,0.81734,0.82347,0.81734,0.82347,425,347.82824543
1663426800,2022-09-17 15:00:00,LOC/USDT,0.81731,0.81734,0.81731,0.81734,13.4465,10.990073353
1663423200,2022-09-17 14:00:00,LOC/USDT,0.80709,0.80709,0.80709,0.80709,1.2998,1.049055582
1663419600,2022-09-17 13:00:00,LOC/USDT,0.80712,0.80712,0.80712,0.80712,0,0
1663416000,2022-09-17 12:00:00,LOC/USDT,0.80712,0.80712,0.80712,0.80712,0,0
1663412400,2022-09-17 11:00:00,LOC/USDT,0.81126,0.81126,0.80712,0.80712,183.6532,148.950618966
1663408800,2022-09-17 10:00:00,LOC/USDT,0.81928,0.81928,0.81928,0.81928,0,0
1663405200,2022-09-17 09:00:00,LOC/USDT,0.81928,0.81928,0.81928,0.81928,0,0
1663401600,2022-09-17 08:00:00,LOC/USDT,0.81928,0.81928,0.81928,0.81928,15.5291,12.722681048
1663398000,2022-09-17 07:00:00,LOC/USDT,0.81126,0.81126,0.81126,0.81126,0,0
1663394400,2022-09-17 06:00:00,LOC/USDT,0.81126,0.81126,0.81126,0.81126,17.3654,14.087854404
1663390800,2022-09-17 05:00:00,LOC/USDT,0.81927,0.81927,0.81927,0.81927,0,0
1663387200,2022-09-17 04:00:00,LOC/USDT,0.81927,0.81927,0.81927,0.81927,0,0
1663383600,2022-09-17 03:00:00,LOC/USDT,0.81927,0.81927,0.81927,0.81927,0,0
1663380000,2022-09-17 02:00:00,LOC/USDT,0.81735,0.81927,0.81735,0.81927,611.294,499.9999287
1663376400,2022-09-17 01:00:00,LOC/USDT,0.80709,0.80709,0.80709,0.80709,0,0
1663372800,2022-09-17 00:00:00,LOC/USDT,0.80709,0.80709,0.80709,0.80709,0,0
