https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume ZRX
1663545600000,2022-09-19 00:00:00,ZRX/ETH,0.0001995,0.0002005,0.00019858,0.0002005,0.12480903405395,622.4889479
1663459200000,2022-09-18 00:00:00,ZRX/ETH,0.00019871,0.00020478,0.00019818,0.00019988,0.8926254683169184,4465.80682568
1663372800000,2022-09-17 00:00:00,ZRX/ETH,0.00019776,0.0002027,0.0001965,0.00019838,0.6590619582463645,3322.21977138
1663286400000,2022-09-16 00:00:00,ZRX/ETH,0.00019117,0.00019847,0.00019,0.00019756,1.0703468744036375,5417.83192146
1663200000000,2022-09-15 00:00:00,ZRX/ETH,0.00017949,0.00019138,0.00017659,0.00019028,1.802387321819982,9472.28989815
1663113600000,2022-09-14 00:00:00,ZRX/ETH,0.00018356,0.00018768,0.00017859,0.00017921,0.7831901394315637,4370.23681397
1663027200000,2022-09-13 00:00:00,ZRX/ETH,0.0001864,0.00019246,0.00018196,0.00018384,4.441717473410141,24160.77824962
1662940800000,2022-09-12 00:00:00,ZRX/ETH,0.00017736,0.0001901,0.00017621,0.00018668,1.3004658496024728,6966.28374546
1662854400000,2022-09-11 00:00:00,ZRX/ETH,0.00017577,0.00018072,0.00017335,0.00017761,0.4819153093762211,2713.33432451
1662768000000,2022-09-10 00:00:00,ZRX/ETH,0.00018251,0.00018458,0.00017518,0.00017566,1.7508231901319449,9967.11368628
1662681600000,2022-09-09 00:00:00,ZRX/ETH,0.00018681,0.00018681,0.00017909,0.00018244,2.6102600089589414,14307.49840473
1662595200000,2022-09-08 00:00:00,ZRX/ETH,0.00017383,0.00018666,0.00017353,0.00018664,1.3632146906709737,7303.97926849
1662508800000,2022-09-07 00:00:00,ZRX/ETH,0.00017464,0.00017978,0.00017278,0.00017415,1.68459149019609,9673.2213046
1662422400000,2022-09-06 00:00:00,ZRX/ETH,0.00018462,0.00018543,0.000173,0.00017475,2.191860705807255,12542.83665698
1662336000000,2022-09-05 00:00:00,ZRX/ETH,0.00018955,0.0001922,0.0001835,0.00018478,1.9540040138676134,10574.759248119999
