https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume URUS,Volume USDT
1663459200,2022-09-18 00:00:00,URUS/USDT,17.133,17.272,17.071,17.169,328.3097,5638.1998583
1663372800,2022-09-17 00:00:00,URUS/USDT,17.261,17.583,16.968,17.135,11220.1952,194456.1887806
1663286400,2022-09-16 00:00:00,URUS/USDT,17.321,17.578,16.867,17.261,11089.4763,189683.5100795
1663200000,2022-09-15 00:00:00,URUS/USDT,17.327,18.508,17.255,17.323,11710.2,205394.3341615
1663113600,2022-09-14 00:00:00,URUS/USDT,17.492,17.9,17.072,17.327,11344.6618,196966.0417157
1663027200,2022-09-13 00:00:00,URUS/USDT,18.293,18.55,17.132,17.494,11172.9155,200295.641035
1662940800,2022-09-12 00:00:00,URUS/USDT,19.251,19.5,18.21,18.291,10830.0734,204594.0319282
1662854400,2022-09-11 00:00:00,URUS/USDT,19.675,19.896,19.219,19.252,9932.7299,194207.6334592
1662768000,2022-09-10 00:00:00,URUS/USDT,19.221,19.846,19.149,19.681,10255.5856,199630.2013989
1662681600,2022-09-09 00:00:00,URUS/USDT,18.36,19.368,18.282,19.223,10565.2055,200298.5924106
1662595200,2022-09-08 00:00:00,URUS/USDT,18.63,19.006,17.918,18.366,11148.3409,206396.7160831
1662508800,2022-09-07 00:00:00,URUS/USDT,17.848,18.669,17,18.627,11996.9808,211271.901112
1662422400,2022-09-06 00:00:00,URUS/USDT,18.421,18.778,17.5,17.85,11121.909,204430.0148772
1662336000,2022-09-05 00:00:00,URUS/USDT,18.221,18.586,18.025,18.427,11131.7979,203084.892299
1662249600,2022-09-04 00:00:00,URUS/USDT,18.194,18.718,18.142,18.223,11503.045,210175.0846108
1662163200,2022-09-03 00:00:00,URUS/USDT,18.229,18.392,18.131,18.19,10407.3662,189619.8882344
1662076800,2022-09-02 00:00:00,URUS/USDT,18.254,18.924,18.112,18.232,11972.9782,219453.7022382
1661990400,2022-09-01 00:00:00,URUS/USDT,18.339,18.408,17.781,18.252,11298.3392,205309.9664956
1661904000,2022-08-31 00:00:00,URUS/USDT,18.55,18.976,18.149,18.333,10597.3558,196765.1571382
1661817600,2022-08-30 00:00:00,URUS/USDT,18.697,19.058,17.718,18.548,11715.6265,218576.543268
1661731200,2022-08-29 00:00:00,URUS/USDT,18.437,18.903,18.119,18.695,11494.1152,212985.4326575
1661644800,2022-08-28 00:00:00,URUS/USDT,18.354,18.982,18.11,18.439,10663.6045,197660.7982634
1661558400,2022-08-27 00:00:00,URUS/USDT,18.554,19.025,18.197,18.36,10828.8346,202076.313569
1661472000,2022-08-26 00:00:00,URUS/USDT,20.877,21.072,18.373,18.552,9823.49708117,198121.75956750697
1661385600,2022-08-25 00:00:00,URUS/USDT,20.392,23.199,20.165,20.871,10256.2976,211472.5744356
1661299200,2022-08-24 00:00:00,URUS/USDT,20.532,20.728,20.195,20.388,10041.8079,205739.127879
1661212800,2022-08-23 00:00:00,URUS/USDT,20.267,20.71,20.096,20.538,10185.3392,208319.7844233
1661126400,2022-08-22 00:00:00,URUS/USDT,20.525,20.728,19.977,20.273,9702.4711,197278.6865996
1661040000,2022-08-21 00:00:00,URUS/USDT,20.17,21.358,19.888,20.531,10611.1241,217169.0994103
1660953600,2022-08-20 00:00:00,URUS/USDT,20.452,20.805,19.97,20.172,10637.1375,217633.5820258
1660867200,2022-08-19 00:00:00,URUS/USDT,22.295,22.295,20.063,20.458,7587.1243,160276.3772591
1660780800,2022-08-18 00:00:00,URUS/USDT,22.787,24.16,22.066,22.299,4311.9527,96964.7092799
1660694400,2022-08-17 00:00:00,URUS/USDT,23.717,23.92,22.062,22.785,7787.4266,180847.5247766
1660608000,2022-08-16 00:00:00,URUS/USDT,24.792,24.84,23.495,23.723,7761.2373,188178.3260561
1660521600,2022-08-15 00:00:00,URUS/USDT,25.551,25.817,24.323,24.786,8199.043,206029.8581289
1660435200,2022-08-14 00:00:00,URUS/USDT,26.2,26.397,25.424,25.547,7628.4485,197794.9939183
1660348800,2022-08-13 00:00:00,URUS/USDT,25.572,28.31,25.051,26.199,8343.5914,218544.3787563
1660262400,2022-08-12 00:00:00,URUS/USDT,26.468,26.89,25.019,25.566,7587.6045,196137.4189604
1660176000,2022-08-11 00:00:00,URUS/USDT,26.071,27.31,25.477,26.472,7712.1984,205000.5107859
1660089600,2022-08-10 00:00:00,URUS/USDT,24.694,27.001,24.17,26.073,8296.1708,208710.0140464
1660003200,2022-08-09 00:00:00,URUS/USDT,24.832,25.891,24.296,24.696,9307.5001,233022.2471286
1659916800,2022-08-08 00:00:00,URUS/USDT,24.702,26.533,24.208,24.831,9089.3437,228424.9360505
1659830400,2022-08-07 00:00:00,URUS/USDT,23.14,25,22.173,24.706,10401.0813,241058.7018149
1659744000,2022-08-06 00:00:00,URUS/USDT,22.521,38.8,21.982,23.134,14052.5145,330072.3540284
1659657600,2022-08-05 00:00:00,URUS/USDT,21.11,22.598,20.956,22.524,10267.4365,221993.2219918
1659571200,2022-08-04 00:00:00,URUS/USDT,20.849,21.999,20.481,21.108,10998.2463,231054.6336822
1659484800,2022-08-03 00:00:00,URUS/USDT,20.694,21.999,20.044,20.846,9574.6804,199433.4007756
1659398400,2022-08-02 00:00:00,URUS/USDT,20.416,21.271,19.825,20.69,10776.7517,220689.8632977
1659312000,2022-08-01 00:00:00,URUS/USDT,21.197,21.291,20.107,20.415,10603.5217,221737.03041
1659225600,2022-07-31 00:00:00,URUS/USDT,21.552,22.812,20.801,21.201,10039.2552,216808.3881496
1659139200,2022-07-30 00:00:00,URUS/USDT,21.623,22.7,21.068,21.546,10324.6473,222391.7522932
1659052800,2022-07-29 00:00:00,URUS/USDT,20.68,22.774,20.316,21.629,11318.6229,239694.7249416
1658966400,2022-07-28 00:00:00,URUS/USDT,19.439,21.065,19.286,20.686,11811.2931,236403.4867899
1658880000,2022-07-27 00:00:00,URUS/USDT,17.805,19.552,17.75,19.437,12578.0034,230831.3089413
1658793600,2022-07-26 00:00:00,URUS/USDT,18.186,18.211,17.475,17.803,13036.5507,232292.6063887
1658707200,2022-07-25 00:00:00,URUS/USDT,19.467,19.502,18.112,18.184,13452.0412,255099.8582859
1658620800,2022-07-24 00:00:00,URUS/USDT,18.795,19.908,18.791,19.465,12756.6451,245054.3485019
1658534400,2022-07-23 00:00:00,URUS/USDT,19.297,19.793,18.295,18.796,13071.9953,249166.5482375
1658448000,2022-07-22 00:00:00,URUS/USDT,19.739,20.6,18.602,19.299,11872.8986,234057.4436279
1658361600,2022-07-21 00:00:00,URUS/USDT,19.67,20.3,17.911,19.736,12910.842,247170.6348996
1658275200,2022-07-20 00:00:00,URUS/USDT,20.26,20.8,19.28,19.674,7330.36378881,147730.45027182488
1658188800,2022-07-19 00:00:00,URUS/USDT,19.622,21.065,18.835,20.254,10545.13609574,210020.52687517307
1658102400,2022-07-18 00:00:00,URUS/USDT,18.11,20.626,18.1,19.622,11591.98623732,221331.19898989159
