https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RGT,Volume EUR
1655856000,2022-06-22 00:00:00,RGT/EUR,4.33965,4.33965,4.33965,4.33965,0.00000000,0.0
1655852400,2022-06-21 23:00:00,RGT/EUR,4.33965,4.33965,4.33965,4.33965,6.25067209,27.1257291353685
1655848800,2022-06-21 22:00:00,RGT/EUR,4.21010,4.21010,4.21010,4.21010,0.00000000,0.0
1655845200,2022-06-21 21:00:00,RGT/EUR,4.21010,4.21010,4.21010,4.21010,0.00000000,0.0
1655841600,2022-06-21 20:00:00,RGT/EUR,4.21010,4.21010,4.21010,4.21010,25.38478000,106.87246227799999
1655838000,2022-06-21 19:00:00,RGT/EUR,4.21010,4.21010,4.21010,4.21010,0.00000000,0.0
1655834400,2022-06-21 18:00:00,RGT/EUR,4.21010,4.21010,4.21010,4.21010,0.00000000,0.0
1655830800,2022-06-21 17:00:00,RGT/EUR,4.21010,4.21010,4.21010,4.21010,0.00000000,0.0
1655827200,2022-06-21 16:00:00,RGT/EUR,4.21010,4.21010,4.21010,4.21010,0.00000000,0.0
1655823600,2022-06-21 15:00:00,RGT/EUR,4.21010,4.21010,4.21010,4.21010,0.00000000,0.0
1655820000,2022-06-21 14:00:00,RGT/EUR,4.21010,4.21010,4.21010,4.21010,0.00000000,0.0
1655816400,2022-06-21 13:00:00,RGT/EUR,4.21010,4.21010,4.21010,4.21010,4.75492574,20.018712857974
1655812800,2022-06-21 12:00:00,RGT/EUR,4.21010,4.21010,4.21010,4.21010,0.00000000,0.0
1655809200,2022-06-21 11:00:00,RGT/EUR,4.21010,4.21010,4.21010,4.21010,0.00000000,0.0
1655805600,2022-06-21 10:00:00,RGT/EUR,4.21010,4.21010,4.21010,4.21010,0.00000000,0.0
1655802000,2022-06-21 09:00:00,RGT/EUR,4.21010,4.21010,4.21010,4.21010,0.00000000,0.0
1655798400,2022-06-21 08:00:00,RGT/EUR,4.21010,4.21010,4.21010,4.21010,20.00000000,84.202
1655794800,2022-06-21 07:00:00,RGT/EUR,4.21029,4.21029,4.21029,4.21029,0.00000000,0.0
1655791200,2022-06-21 06:00:00,RGT/EUR,4.21029,4.21029,4.21029,4.21029,0.00000000,0.0
1655787600,2022-06-21 05:00:00,RGT/EUR,4.21040,4.21040,4.21029,4.21029,9.43915552,39.741582094300796
1655784000,2022-06-21 04:00:00,RGT/EUR,4.21029,4.21029,4.21029,4.21029,0.00000000,0.0
1655780400,2022-06-21 03:00:00,RGT/EUR,4.21029,4.21029,4.21029,4.21029,0.00000000,0.0
1655776800,2022-06-21 02:00:00,RGT/EUR,4.21029,4.21029,4.21029,4.21029,0.00000000,0.0
1655773200,2022-06-21 01:00:00,RGT/EUR,4.21029,4.21029,4.21029,4.21029,0.00000000,0.0
1655769600,2022-06-21 00:00:00,RGT/EUR,4.21029,4.21029,4.21029,4.21029,0.00000000,0.0
1655766000,2022-06-20 23:00:00,RGT/EUR,4.21029,4.21029,4.21029,4.21029,0.00000000,0.0
1655762400,2022-06-20 22:00:00,RGT/EUR,4.21029,4.21029,4.21029,4.21029,0.00000000,0.0
1655758800,2022-06-20 21:00:00,RGT/EUR,4.21029,4.21029,4.21029,4.21029,0.00000000,0.0
1655755200,2022-06-20 20:00:00,RGT/EUR,4.21029,4.21029,4.21029,4.21029,2.98918801,12.585348386622899
1655751600,2022-06-20 19:00:00,RGT/EUR,4.21031,4.21031,4.21031,4.21031,5.96342483,25.1078671959973
1655748000,2022-06-20 18:00:00,RGT/EUR,4.99611,4.99611,4.99611,4.99611,0.00000000,0.0
1655744400,2022-06-20 17:00:00,RGT/EUR,4.99611,4.99611,4.99611,4.99611,2.00929943,10.0386809752173
1655740800,2022-06-20 16:00:00,RGT/EUR,5.00001,5.00001,5.00001,5.00001,0.00000000,0.0
1655737200,2022-06-20 15:00:00,RGT/EUR,5.00001,5.00001,5.00001,5.00001,0.00000000,0.0
1655733600,2022-06-20 14:00:00,RGT/EUR,5.00001,5.00001,5.00001,5.00001,0.00000000,0.0
1655730000,2022-06-20 13:00:00,RGT/EUR,5.00001,5.00001,5.00001,5.00001,0.00000000,0.0
1655726400,2022-06-20 12:00:00,RGT/EUR,5.00001,5.00001,5.00001,5.00001,0.00000000,0.0
1655722800,2022-06-20 11:00:00,RGT/EUR,5.00001,5.00001,5.00001,5.00001,0.00000000,0.0
1655719200,2022-06-20 10:00:00,RGT/EUR,5.00001,5.00001,5.00001,5.00001,0.00000000,0.0
1655715600,2022-06-20 09:00:00,RGT/EUR,5.00001,5.00001,5.00001,5.00001,0.00000000,0.0
1655712000,2022-06-20 08:00:00,RGT/EUR,5.00001,5.00001,5.00001,5.00001,0.00000000,0.0
1655708400,2022-06-20 07:00:00,RGT/EUR,5.00001,5.00001,5.00001,5.00001,0.00000000,0.0
1655704800,2022-06-20 06:00:00,RGT/EUR,5.00001,5.00001,5.00001,5.00001,0.00000000,0.0
