https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume CCD
1663459200000,2022-09-18 00:00:00,CCD/BTC,6.2e-07,6.3e-07,6.2e-07,6.3e-07,0.7340935276905931,1165227.8217311
1663372800000,2022-09-17 00:00:00,CCD/BTC,6.2e-07,6.2e-07,6.1e-07,6.2e-07,0.3545865391519278,571913.77282569
1663286400000,2022-09-16 00:00:00,CCD/BTC,6.2e-07,6.3e-07,6.1e-07,6.2e-07,0.914827841932727,1475528.77731085
1663200000000,2022-09-15 00:00:00,CCD/BTC,6.4e-07,6.7e-07,6.3e-07,6.3e-07,1.1157746090162048,1771070.80796223
1663113600000,2022-09-14 00:00:00,CCD/BTC,6.3e-07,6.5e-07,6.2e-07,6.3e-07,0.4183312564634049,664017.86740223
1663027200000,2022-09-13 00:00:00,CCD/BTC,6e-07,6.5e-07,5.9e-07,6.3e-07,1.6194642677854894,2570578.2028341102
1662940800000,2022-09-12 00:00:00,CCD/BTC,5.8e-07,6.2e-07,5.7e-07,6e-07,3.6852972810716578,6142162.13511943
1662854400000,2022-09-11 00:00:00,CCD/BTC,6e-07,6e-07,5.8e-07,5.8e-07,0.37580327725232976,647936.68491781
1662768000000,2022-09-10 00:00:00,CCD/BTC,6e-07,6.1e-07,5.9e-07,5.9e-07,0.1757466281329293,297875.64090327
1662681600000,2022-09-09 00:00:00,CCD/BTC,6.5e-07,6.5e-07,6e-07,6e-07,6.377805741959928,10629676.23659988
1662595200000,2022-09-08 00:00:00,CCD/BTC,6.6e-07,6.7e-07,6.5e-07,6.6e-07,2.9806451076973293,4516128.95105656
1662508800000,2022-09-07 00:00:00,CCD/BTC,6.8e-07,6.9e-07,6.6e-07,6.6e-07,2.9300174903349836,4439420.43990149
1662422400000,2022-09-06 00:00:00,CCD/BTC,7.1e-07,7.2e-07,6.7e-07,6.8e-07,4.386977596409889,6451437.6417792495
1662336000000,2022-09-05 00:00:00,CCD/BTC,7.2e-07,7.4e-07,7.2e-07,7.2e-07,2.2111069593012913,3070981.88791846
1662249600000,2022-09-04 00:00:00,CCD/BTC,7.3e-07,7.3e-07,7.2e-07,7.2e-07,0.6539032033032312,908198.89347671
1662163200000,2022-09-03 00:00:00,CCD/BTC,7.3e-07,7.3e-07,7.3e-07,7.3e-07,0.5725457309082571,784309.22042227
1662076800000,2022-09-02 00:00:00,CCD/BTC,7.2e-07,7.2e-07,7.1e-07,7.2e-07,1.38278043789228,1920528.3859615
1661990400000,2022-09-01 00:00:00,CCD/BTC,7.5e-07,7.8e-07,7.2e-07,7.2e-07,4.309085886683572,5984841.50928274
1661904000000,2022-08-31 00:00:00,CCD/BTC,7.2e-07,7.5e-07,7.1e-07,7.4e-07,2.7500305132162355,3716257.45029221
1661817600000,2022-08-30 00:00:00,CCD/BTC,6.6e-07,7.2e-07,6.6e-07,7.2e-07,2.0688023275416936,2873336.56603013
1661731200000,2022-08-29 00:00:00,CCD/BTC,6.8e-07,6.8e-07,6.5e-07,6.6e-07,0.3466955654224656,525296.31124616
1661644800000,2022-08-28 00:00:00,CCD/BTC,6.8e-07,6.8e-07,6.7e-07,6.8e-07,0.28983283829330037,426224.76219603
1661558400000,2022-08-27 00:00:00,CCD/BTC,6.6e-07,6.9e-07,6.6e-07,6.8e-07,1.063439318546958,1563881.35080435
1661472000000,2022-08-26 00:00:00,CCD/BTC,5.9e-07,6.7e-07,5.9e-07,6.6e-07,2.1757234314553253,3296550.65372019
