https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WEST,Volume USDT
1663459200,2022-09-18 00:00:00,WEST/USDT,0.04291,0.04293,0.04257,0.04278,18825.5218,805.708276005
1663372800,2022-09-17 00:00:00,WEST/USDT,0.04385,0.04448,0.04169,0.0429,719325.6214,31356.041375321
1663286400,2022-09-16 00:00:00,WEST/USDT,0.04375,0.04446,0.04146,0.04386,832996.6216,35804.765683364
1663200000,2022-09-15 00:00:00,WEST/USDT,0.03817,0.05205,0.038,0.04373,2810751.9794,121747.636329792
1663113600,2022-09-14 00:00:00,WEST/USDT,0.03907,0.04136,0.0377,0.03818,589756.4445,22874.492242459
1663027200,2022-09-13 00:00:00,WEST/USDT,0.0428,0.04506,0.03875,0.03907,792658.8669,32799.693259409
1662940800,2022-09-12 00:00:00,WEST/USDT,0.04632,0.04831,0.04171,0.04303,858726.5145,38156.546588646
1662854400,2022-09-11 00:00:00,WEST/USDT,0.04631,0.051,0.0447,0.04633,1192740.7441,56460.584877669
1662768000,2022-09-10 00:00:00,WEST/USDT,0.04561,0.0593,0.04398,0.0463,2651428.3006,131296.420590123
1662681600,2022-09-09 00:00:00,WEST/USDT,0.04483,0.04722,0.0435,0.0456,1270879.9018,57947.244171485
1662595200,2022-09-08 00:00:00,WEST/USDT,0.04661,0.04747,0.04326,0.04479,943109.9293,42591.48644889
1662508800,2022-09-07 00:00:00,WEST/USDT,0.04501,0.0508,0.04161,0.04661,2087624.6624,96336.905709054
1662422400,2022-09-06 00:00:00,WEST/USDT,0.04824,0.04856,0.04459,0.04502,1347442.0918,63448.963671573
1662336000,2022-09-05 00:00:00,WEST/USDT,0.06,0.06,0.04624,0.04789,4604623.2893,232984.199850314
1662249600,2022-09-04 00:00:00,WEST/USDT,0.06268,0.06361,0.05863,0.05995,440606.9628,26395.893024734
1662163200,2022-09-03 00:00:00,WEST/USDT,0.06293,0.06585,0.06211,0.06302,296427.0088,18622.612211698
1662076800,2022-09-02 00:00:00,WEST/USDT,0.06648,0.06741,0.0611,0.06295,699039.4049,45640.269852874
1661990400,2022-09-01 00:00:00,WEST/USDT,0.06697,0.06731,0.06448,0.06646,325870.1359,21466.136300974
1661904000,2022-08-31 00:00:00,WEST/USDT,0.06902,0.07101,0.06541,0.06701,526189.7366,36592.439719255
1661817600,2022-08-30 00:00:00,WEST/USDT,0.07033,0.07052,0.0675,0.06905,743876.0141,51736.558344524
1661731200,2022-08-29 00:00:00,WEST/USDT,0.0688,0.07182,0.06703,0.07026,354934.7186,24538.522202537
1661644800,2022-08-28 00:00:00,WEST/USDT,0.06934,0.07249,0.0664,0.06883,800761.1992,55149.818063718
1661558400,2022-08-27 00:00:00,WEST/USDT,0.06761,0.07566,0.06643,0.06932,315868.0102,21613.07784792
1661472000,2022-08-26 00:00:00,WEST/USDT,0.0698,0.073,0.06313,0.06764,729918.9826,50134.565516795
1661385600,2022-08-25 00:00:00,WEST/USDT,0.06984,0.072,0.06812,0.06968,404429.2884,28252.061793535
1661299200,2022-08-24 00:00:00,WEST/USDT,0.07095,0.07154,0.06935,0.06984,608268.4843,42942.671464752
1661212800,2022-08-23 00:00:00,WEST/USDT,0.06898,0.07125,0.06775,0.07095,396186.2434,27621.718106134
1661126400,2022-08-22 00:00:00,WEST/USDT,0.06865,0.07123,0.06675,0.069,657707.3977,44872.485456571
1661040000,2022-08-21 00:00:00,WEST/USDT,0.0695,0.06966,0.06677,0.06868,588585.4492,40334.334637897
