https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SHIB,Volume USDT
1663459200,2022-09-18 00:00:00,SHIB/USDT,0.00001194,0.00001194,0.00001184,0.00001189,6605157707.86659994,78457.2376451217427309
1663372800,2022-09-17 00:00:00,SHIB/USDT,0.00001156,0.00001201,0.00001156,0.00001194,395287377261.6649054,4651197.5287407131392676
1663286400,2022-09-16 00:00:00,SHIB/USDT,0.00001171,0.00001181,0.00001128,0.00001156,494051654876.85088384,5709170.1945679210087694
1663200000,2022-09-15 00:00:00,SHIB/USDT,0.00001219,0.00001225,0.00001151,0.00001171,613370245638.62599454,7306190.1194475061094016
1663113600,2022-09-14 00:00:00,SHIB/USDT,0.00001209,0.00001243,0.00001193,0.0000122,550794414614.35503999,6708684.5060087360092561
1663027200,2022-09-13 00:00:00,SHIB/USDT,0.00001287,0.00001306,0.0000119,0.00001209,902555588601.15293114,11185373.3857652716528538
1662940800,2022-09-12 00:00:00,SHIB/USDT,0.000013,0.00001324,0.00001249,0.00001286,750042888168.53615036,9703147.6844965267590316
1662854400,2022-09-11 00:00:00,SHIB/USDT,0.00001327,0.0000135,0.00001252,0.000013,859570092450.56034466,11188155.6096494394269262
1662768000,2022-09-10 00:00:00,SHIB/USDT,0.00001292,0.00001356,0.00001272,0.00001326,1064392146961.94322851,13990619.8106966502426528
1662681600,2022-09-09 00:00:00,SHIB/USDT,0.00001221,0.00001393,0.0000122,0.00001291,2048655807852.86223985,26688599.7603146456453559
1662595200,2022-09-08 00:00:00,SHIB/USDT,0.00001224,0.0000125,0.00001198,0.00001221,699435506450.22113536,8523749.8674179512715922
1662508800,2022-09-07 00:00:00,SHIB/USDT,0.00001201,0.0000124,0.00001175,0.00001224,652398817203.28588151,7912459.4053978546533554
1662422400,2022-09-06 00:00:00,SHIB/USDT,0.00001263,0.00001292,0.00001172,0.00001201,888658318644.58143346,10939908.8258794588032149
1662336000,2022-09-05 00:00:00,SHIB/USDT,0.00001283,0.00001296,0.00001223,0.00001264,448589817661.14434882,5595283.18023076140951
1662249600,2022-09-04 00:00:00,SHIB/USDT,0.00001232,0.00001339,0.00001226,0.00001284,874545718784.23699253,11261665.5298024144694098
