https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTCBEAR,Volume USDT
1663545600000.0,2022-09-19 00:00:00,LTCBEAR/USDT,0.00022165,0.000222,0.0002177,0.0002188,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,LTCBEAR/USDT,0.00017465,0.00022335,0.00017365,0.00022165,2661979.246559892,590.0277
1663372800000.0,2022-09-17 00:00:00,LTCBEAR/USDT,0.0001971,0.0001971,0.00017065,0.00017465,68851.98969367307,12.025
1663286400000.0,2022-09-16 00:00:00,LTCBEAR/USDT,0.0001939,0.0002078,0.00018755,0.0001971,1000.0,0.1971
1663200000000.0,2022-09-15 00:00:00,LTCBEAR/USDT,0.000163,0.0001952,0.0001574,0.0001939,753957.7101598762,146.1924
1663113600000.0,2022-09-14 00:00:00,LTCBEAR/USDT,0.000174,0.00017755,0.00015495,0.000163,1306667.1779141105,212.98675
1663027200000.0,2022-09-13 00:00:00,LTCBEAR/USDT,0.0001696,0.0001768,0.000122,0.000174,835802829.8850574,145429.6924
1662940800000.0,2022-09-12 00:00:00,LTCBEAR/USDT,0.0001617,0.0001772,0.0001494,0.0001696,434485.25943396223,73.6887
1662854400000.0,2022-09-11 00:00:00,LTCBEAR/USDT,0.0001534,0.0001667,0.0001471,0.0001616,0.0,0.0
1662768000000.0,2022-09-10 00:00:00,LTCBEAR/USDT,0.0001739,0.000176,0.000144,0.0001534,181944.9152542373,27.91035
1662681600000.0,2022-09-09 00:00:00,LTCBEAR/USDT,0.0002118,0.0002147,0.0001686,0.0001739,4372779.470960322,760.42635
1662595200000.0,2022-09-08 00:00:00,LTCBEAR/USDT,0.0002195,0.00023045,0.0002049,0.0002118,2730869.4523135033,578.39815
1662508800000.0,2022-09-07 00:00:00,LTCBEAR/USDT,0.0002701,0.0002831,0.0002083,0.0002195,2101.5945330296126,0.4613
1662422400000.0,2022-09-06 00:00:00,LTCBEAR/USDT,0.00020865,0.0002708,0.0001836,0.0002701,23559099.777860053,6363.31285
1662336000000.0,2022-09-05 00:00:00,LTCBEAR/USDT,0.0002036,0.0002164,0.0001966,0.00020865,247588.54541097532,51.65935
