https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HAI,Volume USDT
1663459200,2022-09-18 00:00:00,HAI/USDT,0.01658,0.01663,0.01656,0.01659,312031.1554,5178.180056927
1663372800,2022-09-17 00:00:00,HAI/USDT,0.01628,0.01666,0.01616,0.01658,8556082.6617,140611.037661095
1663286400,2022-09-16 00:00:00,HAI/USDT,0.01596,0.01628,0.01586,0.0162,6009701.5456,96985.564140876
1663200000,2022-09-15 00:00:00,HAI/USDT,0.01572,0.01621,0.01563,0.01596,5729824.466,92027.27136843
1663113600,2022-09-14 00:00:00,HAI/USDT,0.01638,0.01642,0.0152,0.01581,6906648.8522,110790.626843475
1663027200,2022-09-13 00:00:00,HAI/USDT,0.01681,0.01688,0.01626,0.01638,6797441.203,112983.097786596
1662940800,2022-09-12 00:00:00,HAI/USDT,0.01664,0.01687,0.01633,0.01681,5947904.8402,99417.477024202
1662854400,2022-09-11 00:00:00,HAI/USDT,0.01639,0.01676,0.0163,0.01658,5894148.4255,96775.100824743
1662768000,2022-09-10 00:00:00,HAI/USDT,0.01629,0.0168,0.01615,0.01638,5285593.9787,85907.357188844
1662681600,2022-09-09 00:00:00,HAI/USDT,0.01612,0.024,0.0159,0.01628,10846623.26610604,184778.6751492344015
1662595200,2022-09-08 00:00:00,HAI/USDT,0.01593,0.01649,0.01581,0.01612,5819127.5248,94043.890511622
1662508800,2022-09-07 00:00:00,HAI/USDT,0.01588,0.01639,0.01521,0.0158,6421369.6024,100018.35288881
1662422400,2022-09-06 00:00:00,HAI/USDT,0.01652,0.01682,0.01541,0.01587,5649893.1829,92321.923338189
1662336000,2022-09-05 00:00:00,HAI/USDT,0.01721,0.01727,0.01634,0.01652,6361523.2656,107557.46127047
1662249600,2022-09-04 00:00:00,HAI/USDT,0.01722,0.01729,0.01714,0.01721,6262597.8091,107906.755087477
1662163200,2022-09-03 00:00:00,HAI/USDT,0.01722,0.0173,0.01714,0.01722,6154553.0777,106041.431535057
1662076800,2022-09-02 00:00:00,HAI/USDT,0.01724,0.01731,0.01713,0.01722,5940030.4939,102293.424484153
1661990400,2022-09-01 00:00:00,HAI/USDT,0.01739,0.01749,0.01691,0.01724,5909393.0625,102076.556983936
1661904000,2022-08-31 00:00:00,HAI/USDT,0.01755,0.01765,0.0173,0.0174,2277934.9309,39680.265379199
1661817600,2022-08-30 00:00:00,HAI/USDT,0.01786,0.01791,0.01715,0.01755,6158084.8509477,108478.4623452721456
1661731200,2022-08-29 00:00:00,HAI/USDT,0.01795,0.01804,0.01767,0.01783,6737976.14561662,120721.015553940824
