https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GHST,Volume USDT
1663459200,2022-09-18 00:00:00,GHST/USDT,1.2066,1.2084,1.2034,1.2034,241.3188,290.7903406
1663372800,2022-09-17 00:00:00,GHST/USDT,1.2031,1.2154,1.1909,1.2047,5699.2939,6857.18857043
1663286400,2022-09-16 00:00:00,GHST/USDT,1.1899,1.2172,1.1883,1.2014,3858.162,4633.23292481
1663200000,2022-09-15 00:00:00,GHST/USDT,1.2034,1.2144,1.1884,1.189,2538.3147,3038.54554103
1663113600,2022-09-14 00:00:00,GHST/USDT,1.2021,1.2139,1.1918,1.2034,3366.2722,4043.08985696
1663027200,2022-09-13 00:00:00,GHST/USDT,1.2163,1.2243,1.201,1.2021,4024.0273,4876.58941417
1662940800,2022-09-12 00:00:00,GHST/USDT,1.2316,1.236,1.1863,1.2163,6738.9368,8217.03949695
1662854400,2022-09-11 00:00:00,GHST/USDT,1.2274,1.2345,1.2088,1.2309,7742.108,9496.74946811
1662768000,2022-09-10 00:00:00,GHST/USDT,1.2321,1.2429,1.2233,1.2333,4941.2336,6072.29386396
1662681600,2022-09-09 00:00:00,GHST/USDT,1.2355,1.2604,1.2291,1.2384,10222.696,12726.26959149
1662595200,2022-09-08 00:00:00,GHST/USDT,1.2384,1.2428,1.2209,1.2383,2321.7086,2861.47094416
1662508800,2022-09-07 00:00:00,GHST/USDT,1.2301,1.2454,1.2204,1.2382,1891.82,2330.11201358
1662422400,2022-09-06 00:00:00,GHST/USDT,1.2497,1.2588,1.2203,1.2289,5047.5865,6238.36836881
1662336000,2022-09-05 00:00:00,GHST/USDT,1.2499,1.2571,1.2415,1.2495,1284.3143,1600.55239305
1662249600,2022-09-04 00:00:00,GHST/USDT,1.2544,1.2579,1.2469,1.251,867.0107,1086.36665983
1662163200,2022-09-03 00:00:00,GHST/USDT,1.2599,1.2648,1.2442,1.2572,2350.4257,2952.09700642
1662076800,2022-09-02 00:00:00,GHST/USDT,1.261,1.2748,1.2511,1.255,3129.6228,3939.77272863
1661990400,2022-09-01 00:00:00,GHST/USDT,1.254,1.2621,1.2468,1.262,2555.4503,3206.21612883
1661904000,2022-08-31 00:00:00,GHST/USDT,1.2564,1.2709,1.2479,1.2535,2891.2132,3635.64461924
1661817600,2022-08-30 00:00:00,GHST/USDT,1.2744,1.2807,1.2008,1.2572,7427.9339,9232.7675379
1661731200,2022-08-29 00:00:00,GHST/USDT,1.26,1.282,1.255,1.2746,2031.2231,2579.54964918
1661644800,2022-08-28 00:00:00,GHST/USDT,1.2756,1.2865,1.2587,1.26,1744.4797,2213.36098333
1661558400,2022-08-27 00:00:00,GHST/USDT,1.2676,1.3001,1.2592,1.2676,2261.5062,2891.91376312
1661472000,2022-08-26 00:00:00,GHST/USDT,1.3003,1.3016,1.267,1.2676,3450.8342,4452.49659356
1661385600,2022-08-25 00:00:00,GHST/USDT,1.3037,1.3232,1.2698,1.3003,7407.9109,9618.07110276
1661299200,2022-08-24 00:00:00,GHST/USDT,1.3108,1.318,1.3028,1.3036,3113.569,4077.66941284
1661212800,2022-08-23 00:00:00,GHST/USDT,1.322,1.3272,1.2417,1.3108,5698.1782,7439.92026195
1661126400,2022-08-22 00:00:00,GHST/USDT,1.3169,1.322,1.3005,1.322,6978.45771302,9153.783123104898
1661040000,2022-08-21 00:00:00,GHST/USDT,1.3184,1.3328,1.3083,1.3156,3758.6417,4951.68418988
1660953600,2022-08-20 00:00:00,GHST/USDT,1.3354,1.3368,1.3022,1.3184,8247.0036,10858.71200033
1660867200,2022-08-19 00:00:00,GHST/USDT,1.3024,1.4186,1.272,1.3286,40511.2187,54585.66496988
1660780800,2022-08-18 00:00:00,GHST/USDT,1.3061,1.3144,1.2859,1.3032,4912.2278,6395.22434086
1660694400,2022-08-17 00:00:00,GHST/USDT,1.3188,1.3331,1.3005,1.3016,8846.4979,11653.80319395
1660608000,2022-08-16 00:00:00,GHST/USDT,1.3238,1.3274,1.3137,1.3155,4080.7752,5395.18072979
1660521600,2022-08-15 00:00:00,GHST/USDT,1.3278,1.3354,1.3168,1.3171,7528.0742,9964.91311008
1660435200,2022-08-14 00:00:00,GHST/USDT,1.3356,1.3415,1.3206,1.3305,6523.2233,8693.38840724
1660348800,2022-08-13 00:00:00,GHST/USDT,1.339,1.3437,1.3269,1.3356,5498.3596,7337.55361392
1660262400,2022-08-12 00:00:00,GHST/USDT,1.3272,1.3404,1.3232,1.339,4623.1613,6145.0606801
1660176000,2022-08-11 00:00:00,GHST/USDT,1.3449,1.3635,1.3248,1.3313,6167.4611,8306.86812833
1660089600,2022-08-10 00:00:00,GHST/USDT,1.3364,1.3617,1.3227,1.3471,12136.5906,16301.34382255
1660003200,2022-08-09 00:00:00,GHST/USDT,1.3334,1.3564,1.3179,1.3412,12050.5753,16084.44489766
1659916800,2022-08-08 00:00:00,GHST/USDT,1.3313,1.3397,1.3256,1.3387,4913.3804,6563.83097051
1659830400,2022-08-07 00:00:00,GHST/USDT,1.3331,1.3405,1.3155,1.3313,6334.4463,8437.22803448
1659744000,2022-08-06 00:00:00,GHST/USDT,1.3419,1.3447,1.3226,1.3332,4197.0171,5606.89396603
1659657600,2022-08-05 00:00:00,GHST/USDT,1.33,1.3493,1.3225,1.344,4399.9818,5881.3385936
1659571200,2022-08-04 00:00:00,GHST/USDT,1.3369,1.3477,1.3204,1.3301,5414.6415,7207.49505354
1659484800,2022-08-03 00:00:00,GHST/USDT,1.3394,1.377,1.3227,1.3301,9076.383,12124.69929562
1659398400,2022-08-02 00:00:00,GHST/USDT,1.342,1.3898,1.3107,1.3396,32868.9025,44589.33431925
1659312000,2022-08-01 00:00:00,GHST/USDT,1.3334,1.3639,1.3115,1.342,10438.5124,13963.42523897
1659225600,2022-07-31 00:00:00,GHST/USDT,1.3207,1.3669,1.3206,1.3396,4524.9686,6071.93084594
1659139200,2022-07-30 00:00:00,GHST/USDT,1.3315,1.3424,1.3127,1.3208,10283.4343,13667.3211181
1659052800,2022-07-29 00:00:00,GHST/USDT,1.337,1.374,1.32,1.3315,10974.2033,14711.2841929
1658966400,2022-07-28 00:00:00,GHST/USDT,1.3435,1.3661,1.3207,1.3299,10196.1486,13642.70772171
1658880000,2022-07-27 00:00:00,GHST/USDT,1.3247,1.3614,1.3094,1.3435,2869.7923,3810.59349819
1658793600,2022-07-26 00:00:00,GHST/USDT,1.3024,1.3249,1.2976,1.3223,9193.6537,12080.67383988
1658707200,2022-07-25 00:00:00,GHST/USDT,1.3288,1.3326,1.296,1.2962,7177.5267,9443.45705503
1658620800,2022-07-24 00:00:00,GHST/USDT,1.3334,1.3713,1.3256,1.3287,3356.0673,4503.60264996
1658534400,2022-07-23 00:00:00,GHST/USDT,1.3172,1.3476,1.3154,1.3276,4800.1466,6363.95060529
