https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KMD,Volume USDT
1663372800,2022-09-17 00:00:00,KMD/USDT,0.2793,0.2799,0.2773,0.2789,3185.3323,887.15079905
1663286400,2022-09-16 00:00:00,KMD/USDT,0.2677,0.2877,0.2625,0.2798,216986.9462,59771.19609684
1663200000,2022-09-15 00:00:00,KMD/USDT,0.2808,0.2933,0.259,0.2686,326937.1307,89392.23065583
1663113600,2022-09-14 00:00:00,KMD/USDT,0.2577,0.296,0.2576,0.2806,495633.3095,135775.52926747
1663027200,2022-09-13 00:00:00,KMD/USDT,0.2808,0.3087,0.2578,0.2578,262775.5823,74425.29395459
1662940800,2022-09-12 00:00:00,KMD/USDT,0.2752,0.2893,0.2717,0.2798,127993.4962,35733.6997753
1662854400,2022-09-11 00:00:00,KMD/USDT,0.2732,0.2804,0.2697,0.2759,104597.9659,28756.59036162
1662768000,2022-09-10 00:00:00,KMD/USDT,0.2747,0.2826,0.269,0.2745,135040.615,36892.2970987
1662681600,2022-09-09 00:00:00,KMD/USDT,0.2609,0.2757,0.2605,0.2757,91758.1952,24819.4983269
1662595200,2022-09-08 00:00:00,KMD/USDT,0.2608,0.268,0.2563,0.2606,90284.8285,23690.30715706
1662508800,2022-09-07 00:00:00,KMD/USDT,0.2551,0.2764,0.2486,0.2609,204797.3497,52872.33502599
1662422400,2022-09-06 00:00:00,KMD/USDT,0.2624,0.29,0.2546,0.2546,373903.541,102911.73919434
1662336000,2022-09-05 00:00:00,KMD/USDT,0.2633,0.27,0.2543,0.2628,118930.5026,31137.91326899
1662249600,2022-09-04 00:00:00,KMD/USDT,0.2575,0.2678,0.2571,0.2622,109320.7479,28671.1518458
1662163200,2022-09-03 00:00:00,KMD/USDT,0.2628,0.266,0.2544,0.2575,77907.8549,20134.31780724
1662076800,2022-09-02 00:00:00,KMD/USDT,0.2586,0.2745,0.2537,0.2639,254084.339,67091.5412208
1661990400,2022-09-01 00:00:00,KMD/USDT,0.2571,0.2587,0.25,0.2585,44097.9648,11193.6347487
1661904000,2022-08-31 00:00:00,KMD/USDT,0.2584,0.2684,0.2545,0.2574,104684.3758,27295.23727801
1661817600,2022-08-30 00:00:00,KMD/USDT,0.2757,0.2781,0.2511,0.2573,156756.2801,41382.78866621
1661731200,2022-08-29 00:00:00,KMD/USDT,0.2569,0.3196,0.2505,0.2763,366888.0851,100666.83186885
1661644800,2022-08-28 00:00:00,KMD/USDT,0.2764,0.2839,0.254,0.256,167580.782,45230.16926958
1661558400,2022-08-27 00:00:00,KMD/USDT,0.3663,0.384,0.2706,0.2764,859137.638,274450.39352367
1661472000,2022-08-26 00:00:00,KMD/USDT,0.2631,0.4269,0.26,0.3647,2302540.1381611,807462.9874439985
1661385600,2022-08-25 00:00:00,KMD/USDT,0.2561,0.303,0.2561,0.2625,935184.77990947,261757.7674037463
1661299200,2022-08-24 00:00:00,KMD/USDT,0.2575,0.2771,0.2507,0.2565,174598.6327,46461.467136
1661212800,2022-08-23 00:00:00,KMD/USDT,0.2561,0.2592,0.2488,0.2581,168838.574,42574.42087466
1661126400,2022-08-22 00:00:00,KMD/USDT,0.2656,0.2656,0.2469,0.2554,104072.3768,26440.63186994
1661040000,2022-08-21 00:00:00,KMD/USDT,0.2642,0.2759,0.259,0.2666,122157.5273,32656.89907611
1660953600,2022-08-20 00:00:00,KMD/USDT,0.2496,0.2744,0.2496,0.2649,246391.8213,65233.20575124
1660867200,2022-08-19 00:00:00,KMD/USDT,0.2786,0.279,0.2496,0.2497,154429.4085,40472.19528629
1660780800,2022-08-18 00:00:00,KMD/USDT,0.2923,0.2954,0.2786,0.2786,86327.5868,25056.79025174
1660694400,2022-08-17 00:00:00,KMD/USDT,0.3101,0.3178,0.289,0.2924,230820.8269,69582.6148238
1660608000,2022-08-16 00:00:00,KMD/USDT,0.3103,0.3188,0.3053,0.3103,113647.7432,35299.74200489
1660521600,2022-08-15 00:00:00,KMD/USDT,0.31,0.3222,0.3027,0.312,256647.134,79992.21710424
1660435200,2022-08-14 00:00:00,KMD/USDT,0.3236,0.3291,0.3057,0.31,323861.1203,102512.40328887
1660348800,2022-08-13 00:00:00,KMD/USDT,0.3195,0.3503,0.3133,0.3217,371045.9866,121916.75986409
1660262400,2022-08-12 00:00:00,KMD/USDT,0.3158,0.3214,0.3131,0.3202,129593.0881,41120.95449561
1660176000,2022-08-11 00:00:00,KMD/USDT,0.3203,0.3278,0.3123,0.3164,139913.3708,44646.3765937
1660089600,2022-08-10 00:00:00,KMD/USDT,0.3156,0.3321,0.299,0.3207,339723.9346,107518.70509034
1660003200,2022-08-09 00:00:00,KMD/USDT,0.3222,0.3275,0.3053,0.3161,207171.4649,65458.85941526
1659916800,2022-08-08 00:00:00,KMD/USDT,0.3157,0.3348,0.3127,0.3238,345378.5938,111471.88747515
1659830400,2022-08-07 00:00:00,KMD/USDT,0.3208,0.3267,0.3093,0.3156,135503.8117,42785.48533587
1659744000,2022-08-06 00:00:00,KMD/USDT,0.3076,0.3399,0.3053,0.3211,409150.1941,131480.27901681
1659657600,2022-08-05 00:00:00,KMD/USDT,0.2955,0.3109,0.2955,0.3065,153958.0758,47136.89993736
1659571200,2022-08-04 00:00:00,KMD/USDT,0.303,0.3172,0.2933,0.2959,143954.8638,43514.55161776
1659484800,2022-08-03 00:00:00,KMD/USDT,0.3088,0.3195,0.2959,0.3016,157045.8418,48507.9834858
1659398400,2022-08-02 00:00:00,KMD/USDT,0.3098,0.3127,0.2938,0.3087,276998.281,83450.66924078
1659312000,2022-08-01 00:00:00,KMD/USDT,0.3042,0.3451,0.3012,0.311,405920.462,130374.00262409
1659225600,2022-07-31 00:00:00,KMD/USDT,0.2965,0.33,0.2963,0.3045,283333.2267,87441.26273568
1659139200,2022-07-30 00:00:00,KMD/USDT,0.3031,0.3327,0.2923,0.296,555106.25065501,175155.396457463551
1659052800,2022-07-29 00:00:00,KMD/USDT,0.2906,0.3151,0.2876,0.3031,266573.0529,80023.66928347
1658966400,2022-07-28 00:00:00,KMD/USDT,0.2836,0.2959,0.2771,0.29,169013.712,48232.39713024
1658880000,2022-07-27 00:00:00,KMD/USDT,0.2805,0.2859,0.2696,0.2839,334539.9553,93019.10786145
1658793600,2022-07-26 00:00:00,KMD/USDT,0.2657,0.34,0.2621,0.2805,943334.6814,276773.68779098
1658707200,2022-07-25 00:00:00,KMD/USDT,0.2784,0.282,0.2643,0.2643,213679.7898,58847.13537446
1658620800,2022-07-24 00:00:00,KMD/USDT,0.3019,0.304,0.2666,0.2804,165414.4081,47323.65185063
1658534400,2022-07-23 00:00:00,KMD/USDT,0.28,0.307,0.2625,0.301,333635.0156,97385.77430483
1658448000,2022-07-22 00:00:00,KMD/USDT,0.2954,0.307,0.2782,0.2818,134813.127,39872.75392053
1658361600,2022-07-21 00:00:00,KMD/USDT,0.2745,0.309,0.2613,0.2952,436402.17163481,127501.377436920974
1658275200,2022-07-20 00:00:00,KMD/USDT,0.292,0.3016,0.2734,0.2754,191888.34820852,55273.379211616469
1658188800,2022-07-19 00:00:00,KMD/USDT,0.2938,0.3092,0.2794,0.292,711220.9683268,209361.500860267628
1658102400,2022-07-18 00:00:00,KMD/USDT,0.271,0.3644,0.2674,0.2946,1387303.5594834,430935.648142674484
1658016000,2022-07-17 00:00:00,KMD/USDT,0.2856,0.2974,0.2613,0.2709,320585.87116241,89471.725393370989
1657929600,2022-07-16 00:00:00,KMD/USDT,0.276,0.3148,0.2692,0.2865,1054723.38095197,307994.00506758357
1657843200,2022-07-15 00:00:00,KMD/USDT,0.2992,0.3274,0.2717,0.2761,1043160.52110501,307734.172509409346
1657756800,2022-07-14 00:00:00,KMD/USDT,0.3616,0.4442,0.2874,0.2989,3856824.79871031,1301137.573106461313
1657670400,2022-07-13 00:00:00,KMD/USDT,0.2263,0.597,0.22,0.3619,8211942.23455043,3375286.801035371501
1657584000,2022-07-12 00:00:00,KMD/USDT,0.2002,0.3188,0.1959,0.2257,568307.96312734,139741.367975385625
1657497600,2022-07-11 00:00:00,KMD/USDT,0.2127,0.2177,0.2001,0.2001,84947.6792902,17870.353066845979
1657411200,2022-07-10 00:00:00,KMD/USDT,0.225,0.2253,0.2082,0.2131,93384.29072501,20198.473053737427
1657324800,2022-07-09 00:00:00,KMD/USDT,0.2286,0.2399,0.2246,0.2246,108061.13651224,25061.60118426264
1657238400,2022-07-08 00:00:00,KMD/USDT,0.2239,0.2511,0.2168,0.2302,341393.36429735,79250.566231077743
1657152000,2022-07-07 00:00:00,KMD/USDT,0.2203,0.24,0.2166,0.2237,259968.56626245,58407.680325116374
1657065600,2022-07-06 00:00:00,KMD/USDT,0.2133,0.2431,0.2101,0.2201,284457.89257662,64324.706344415835
1656979200,2022-07-05 00:00:00,KMD/USDT,0.23,0.2355,0.2102,0.2129,150163.75679155,32878.72287358653
1656892800,2022-07-04 00:00:00,KMD/USDT,0.2315,0.2591,0.2108,0.2319,626429.30175378,146007.743237453549
1656806400,2022-07-03 00:00:00,KMD/USDT,0.1862,0.33,0.1843,0.2322,2875564.64904171,720153.481377785635
1656720000,2022-07-02 00:00:00,KMD/USDT,0.1851,0.2023,0.1765,0.1871,150750.97090796,28137.115796275096
1656633600,2022-07-01 00:00:00,KMD/USDT,0.1777,0.2276,0.1721,0.1839,351116.57238366,68908.328501320598
1656547200,2022-06-30 00:00:00,KMD/USDT,0.1823,0.1864,0.1682,0.1777,106933.16994705,18905.259933006216
1656460800,2022-06-29 00:00:00,KMD/USDT,0.1839,0.1863,0.179,0.1815,42002.1478393,7652.346885988465
1656374400,2022-06-28 00:00:00,KMD/USDT,0.1925,0.1977,0.184,0.184,54637.061302,10331.343960762978
1656288000,2022-06-27 00:00:00,KMD/USDT,0.1938,0.2032,0.1874,0.1947,62631.61464801,12159.050824170801
