https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TRY,Volume BTC
1608544800000,2020-12-21 10:00:00,BTC/TRY,183000,183000,183000,183000,23.241,0.000127
1608300000000,2020-12-18 14:00:00,BTC/TRY,173320.17,173320.17,173320.17,173320.17,20.45178006,0.000118
1608249600000,2020-12-18 00:00:00,BTC/TRY,159002.48,188998.0,159002.48,188998.0,650.0075915399999,0.0034392299999999997
1608141600000,2020-12-16 18:00:00,BTC/TRY,158000,158000,158000,158000,0.03318,2.1e-07
1608134400000,2020-12-16 16:00:00,BTC/TRY,150000,150000,150000,150000,20.799,0.00013866
1608123600000,2020-12-16 13:00:00,BTC/TRY,158000,158000,158000,158000,83.582,0.000529
1607497200000,2020-12-09 07:00:00,BTC/TRY,151738.21,151738.21,148845.0,148845,377.83261335,0.00253843
1607475600000,2020-12-09 01:00:00,BTC/TRY,176921.02,178000.0,176921.02,178000,283.54688,0.00159296
1607425200000,2020-12-08 11:00:00,BTC/TRY,153000,153000,152050,152050,343.28328500000003,0.0022577
1607353200000,2020-12-07 15:00:00,BTC/TRY,151110.0,151110.0,151110.0,151110.0,97.46594999999999,0.000645
1607338800000,2020-12-07 11:00:00,BTC/TRY,156595.17,156595.17,156595.17,156595.17,18.0836102316,0.00011548
1607288400000,2020-12-06 21:00:00,BTC/TRY,153200.0,153200.0,153200.0,153200.0,74.9148,0.000489
1607284800000,2020-12-06 20:00:00,BTC/TRY,188844.0,190000.0,188844.0,190000.0,1437.35,0.007565
1607281200000,2020-12-06 19:00:00,BTC/TRY,188800.0,188800.0,188800.0,188800.0,0.016992,9e-08
1607277600000,2020-12-06 18:00:00,BTC/TRY,188800.0,188800.0,188800.0,188800.0,63.457567999999995,0.00033611
1607252400000,2020-12-06 11:00:00,BTC/TRY,188800.0,188800.0,188800.0,188800.0,77.3136,0.0004095
1607241600000,2020-12-06 08:00:00,BTC/TRY,185539.51,185539.51,185539.51,185539.51,20.286890023399998,0.00010934
1607191200000,2020-12-05 18:00:00,BTC/TRY,149010,149010,149010,149010,284.5554564,0.00190964
1607184000000,2020-12-05 16:00:00,BTC/TRY,149008,149008,149008,149008,0.03874208,2.6e-07
1607176800000,2020-12-05 14:00:00,BTC/TRY,149008,149008,149008,149008,77.58697552,0.00052069
1607115600000,2020-12-04 21:00:00,BTC/TRY,160855.0,160855.0,160855.0,160855.0,112.5985,0.0007
1607094000000,2020-12-04 15:00:00,BTC/TRY,193999.0,194000.0,193999.0,194000.0,189.19462,0.00097523
1607083200000,2020-12-04 12:00:00,BTC/TRY,158000.0,158000.0,158000.0,158000.0,15.89322,0.00010059
1607079600000,2020-12-04 11:00:00,BTC/TRY,159010.11,159010.11,157344.38,157344.38,863.655434601,0.00548895
1607076000000,2020-12-04 10:00:00,BTC/TRY,161621.21,161621.21,160000.0,160000.0,1579.6976,0.00987311
1607072400000,2020-12-04 09:00:00,BTC/TRY,190072.8,193934.0,161459.0,161561.27,1181.109820462,0.0073106
1607011200000,2020-12-03 16:00:00,BTC/TRY,162378.66,193933.99,162378.66,193933.99,7675.7579950276995,0.03957923
1607007600000,2020-12-03 15:00:00,BTC/TRY,161159.13,161159.13,161159.13,161159.13,117.2706641271,0.00072767
1606838400000,2020-12-01 16:00:00,BTC/TRY,160482.34,163000,160482.34,163000,50.85437,0.00031199
1606748400000,2020-11-30 15:00:00,BTC/TRY,161000,164000,161000,164000,283.54944,0.00172896
1606744800000,2020-11-30 14:00:00,BTC/TRY,136000,161000,136000,161000,103.98667999999999,0.0006458799999999999
