https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNB,Volume BTC
1663459200,2022-09-18 00:00:00,BNB/BTC,0.0138815,0.0139126,0.0138569,0.0138569,10.8328,0.15048622251
1663372800,2022-09-17 00:00:00,BNB/BTC,0.0138813,0.0139761,0.0138293,0.0138775,717.8554,9.98127847305
1663286400,2022-09-16 00:00:00,BNB/BTC,0.013756,0.0140678,0.0137075,0.0138881,1090.8784,15.18443567702
1663200000,2022-09-15 00:00:00,BNB/BTC,0.0138112,0.0138583,0.01357,0.013754,957.6315,13.13964196012
1663113600,2022-09-14 00:00:00,BNB/BTC,0.0137506,0.0139689,0.0136428,0.0138147,1003.1064,13.852831116
1663027200,2022-09-13 00:00:00,BNB/BTC,0.0131088,0.0138875,0.0130138,0.0137507,1277.5506,17.1266659946
1662940800,2022-09-12 00:00:00,BNB/BTC,0.0135282,0.0135587,0.0130499,0.01312,1069.7307,14.24696724596
1662854400,2022-09-11 00:00:00,BNB/BTC,0.0136989,0.0137793,0.0134778,0.0135368,922.747,12.56771502049
1662768000,2022-09-10 00:00:00,BNB/BTC,0.013725,0.0138671,0.0135932,0.013694,792.8458,10.89703769203
1662681600,2022-09-09 00:00:00,BNB/BTC,0.0145291,0.0145541,0.0136364,0.0137225,1568.4952,21.94875515278
1662595200,2022-09-08 00:00:00,BNB/BTC,0.0144603,0.0146435,0.0144026,0.0145149,1141.7969,16.57932173853
1662508800,2022-09-07 00:00:00,BNB/BTC,0.0139594,0.0144783,0.0139281,0.0144676,1837.9426,26.22974976608
1662422400,2022-09-06 00:00:00,BNB/BTC,0.0139826,0.0143862,0.01385,0.0139331,1922.2998,27.12260713587
1662336000,2022-09-05 00:00:00,BNB/BTC,0.0139639,0.0140601,0.0138524,0.0139794,818.042,11.40411390208
1662249600,2022-09-04 00:00:00,BNB/BTC,0.0140072,0.0141532,0.0139326,0.0139608,911.0136,12.79163764117
1662163200,2022-09-03 00:00:00,BNB/BTC,0.0138988,0.0140561,0.0138687,0.0140086,983.09,13.70821860221
1662076800,2022-09-02 00:00:00,BNB/BTC,0.0138189,0.0139827,0.0137586,0.0138967,1562.2751,21.64566485681
1661990400,2022-09-01 00:00:00,BNB/BTC,0.0139266,0.0139317,0.0137106,0.0138301,1510.8882,20.90003458192
1661904000,2022-08-31 00:00:00,BNB/BTC,0.0142142,0.0142592,0.0138916,0.0139224,1150.9888,16.20308388802
1661817600,2022-08-30 00:00:00,BNB/BTC,0.0140842,0.0142875,0.0140641,0.0142231,994.352,14.10149478528
1661731200,2022-08-29 00:00:00,BNB/BTC,0.0141177,0.0141388,0.0137473,0.0140974,872.6251,12.19805073546
1661644800,2022-08-28 00:00:00,BNB/BTC,0.0138608,0.0141349,0.013835,0.0141262,749.1547,10.4941386605
1661558400,2022-08-27 00:00:00,BNB/BTC,0.0138075,0.0140739,0.0137322,0.0138582,1000.2529,13.93066310557
1661472000,2022-08-26 00:00:00,BNB/BTC,0.0139731,0.0139965,0.0136936,0.0137982,1337.856,18.48253011661
1661385600,2022-08-25 00:00:00,BNB/BTC,0.0138669,0.0141184,0.0137739,0.0139665,1385.9136,19.36601914487
1661299200,2022-08-24 00:00:00,BNB/BTC,0.0139149,0.0139965,0.0136906,0.0138595,1428.6822,19.71762745848
1661212800,2022-08-23 00:00:00,BNB/BTC,0.0140231,0.0141119,0.013834,0.013882,871.4239,12.14709312558
1661126400,2022-08-22 00:00:00,BNB/BTC,0.0140386,0.0142199,0.0137503,0.0140235,2108.4936,29.52354660087
1661040000,2022-08-21 00:00:00,BNB/BTC,0.0134182,0.014053,0.0133925,0.0140164,1908.6122,26.39198716865
1660953600,2022-08-20 00:00:00,BNB/BTC,0.0134022,0.01362,0.0132533,0.0134238,1190.7755,16.03695083636
1660867200,2022-08-19 00:00:00,BNB/BTC,0.0128452,0.0134329,0.012616,0.0134223,2939.0834,38.46545178499
1660780800,2022-08-18 00:00:00,BNB/BTC,0.0131446,0.0131877,0.0127579,0.0128522,1109.542,14.47043416824
1660694400,2022-08-17 00:00:00,BNB/BTC,0.0132422,0.0134519,0.0130581,0.0131434,1438.9191,19.01183301941
1660608000,2022-08-16 00:00:00,BNB/BTC,0.0132586,0.013331,0.0131344,0.0132436,758.2794,10.02543787481
