https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MASK,Volume USDT
1663459200,2022-09-18 00:00:00,MASK/USDT,1.3258,1.3258,1.3056,1.3058,2996.51056157,3934.411765859506
1663455600,2022-09-17 23:00:00,MASK/USDT,1.3245,1.3278,1.3227,1.3245,1892.3463,2508.21864875
1663452000,2022-09-17 22:00:00,MASK/USDT,1.3161,1.3223,1.3161,1.3223,1595.83742279,2101.832493839028
1663448400,2022-09-17 21:00:00,MASK/USDT,1.3194,1.3194,1.3143,1.3146,2373.78970759,3121.439012954246
1663444800,2022-09-17 20:00:00,MASK/USDT,1.3137,1.3176,1.3137,1.3176,248.6572,327.51234534
1663441200,2022-09-17 19:00:00,MASK/USDT,1.3166,1.318,1.3106,1.3158,28.47638212,37.41644407674
1663437600,2022-09-17 18:00:00,MASK/USDT,1.3178,1.3178,1.3178,1.3178,0.819,1.0792782
1663434000,2022-09-17 17:00:00,MASK/USDT,1.3183,1.3223,1.3183,1.3188,778.3834,1028.17062709
1663430400,2022-09-17 16:00:00,MASK/USDT,1.3147,1.3223,1.3126,1.3171,276.41446897,364.034193860387
1663426800,2022-09-17 15:00:00,MASK/USDT,1.3113,1.3144,1.3074,1.3114,433.14610618,568.988031150156
1663423200,2022-09-17 14:00:00,MASK/USDT,1.3025,1.3099,1.3025,1.3099,1907.82056333,2491.146404573456
1663419600,2022-09-17 13:00:00,MASK/USDT,1.2974,1.3028,1.2959,1.3028,395.25892891,514.254778838744
1663416000,2022-09-17 12:00:00,MASK/USDT,1.2928,1.3,1.2926,1.3,6.77023913,8.786738273646
1663412400,2022-09-17 11:00:00,MASK/USDT,1.2973,1.2989,1.2964,1.2974,349.13345457,452.741370633661
1663408800,2022-09-17 10:00:00,MASK/USDT,1.3014,1.3014,1.29,1.2944,1501.3256,1950.74716542
1663405200,2022-09-17 09:00:00,MASK/USDT,1.3048,1.3081,1.3009,1.3016,201.96675417,263.486057932017
1663401600,2022-09-17 08:00:00,MASK/USDT,1.2962,1.3048,1.2962,1.3044,184.6233,239.72043203
1663398000,2022-09-17 07:00:00,MASK/USDT,1.2915,1.2969,1.2906,1.2969,5914.87850079,7646.07020265527
1663394400,2022-09-17 06:00:00,MASK/USDT,1.2913,1.2922,1.2898,1.2904,3.18461992,4.111388953971
1663390800,2022-09-17 05:00:00,MASK/USDT,1.2946,1.2946,1.2858,1.2889,1454.12952114,1880.711583807564
1663387200,2022-09-17 04:00:00,MASK/USDT,1.2964,1.3043,1.2964,1.2997,1345.47910058,1754.201107101912
1663383600,2022-09-17 03:00:00,MASK/USDT,1.2947,1.2973,1.2947,1.2955,2.4734,3.2047724
1663380000,2022-09-17 02:00:00,MASK/USDT,1.2978,1.2978,1.2937,1.2946,187.5445,242.82453331
1663376400,2022-09-17 01:00:00,MASK/USDT,1.2977,1.3025,1.2,1.2974,22985.22825546,29513.633620268516
1663372800,2022-09-17 00:00:00,MASK/USDT,1.2951,1.3156,1.2951,1.2965,2068.50589016,2694.862251697336
1663369200,2022-09-16 23:00:00,MASK/USDT,1.2879,1.2908,1.2836,1.2908,268.47808025,346.307256069128
1663365600,2022-09-16 22:00:00,MASK/USDT,1.2923,1.2932,1.2861,1.2861,423.23270375,547.116473169125
1663362000,2022-09-16 21:00:00,MASK/USDT,1.2992,1.2992,1.2921,1.2921,404.64011393,524.599620601178
1663358400,2022-09-16 20:00:00,MASK/USDT,1.284,1.3007,1.2836,1.2966,1515.9068,1968.51260657
1663354800,2022-09-16 19:00:00,MASK/USDT,1.284,1.284,1.2791,1.2802,1439.17251339,1841.59615731276
1663351200,2022-09-16 18:00:00,MASK/USDT,1.2773,1.2869,1.2667,1.2792,1556.5329,1988.47369839
1663347600,2022-09-16 17:00:00,MASK/USDT,1.2773,1.2798,1.2615,1.2776,2389.51084271,3033.884482083158
1663344000,2022-09-16 16:00:00,MASK/USDT,1.2784,1.2841,1.2563,1.2742,1231.94397303,1555.580374967421
1663340400,2022-09-16 15:00:00,MASK/USDT,1.2783,1.2865,1.276,1.2797,446.36477896,569.983133479312
1663336800,2022-09-16 14:00:00,MASK/USDT,1.2636,1.29,1.2597,1.2825,923.94435405,1177.121753725061
1663333200,2022-09-16 13:00:00,MASK/USDT,1.2798,1.2813,1.2582,1.2582,295.45909588,375.094472594326
1663329600,2022-09-16 12:00:00,MASK/USDT,1.2916,1.2916,1.2729,1.2754,545.4971597,700.269667757672
1663326000,2022-09-16 11:00:00,MASK/USDT,1.2784,1.2925,1.2741,1.2905,1377.1931,1770.60176835
1663322400,2022-09-16 10:00:00,MASK/USDT,1.2634,1.2816,1.2614,1.2782,736.75485847,941.699970569167
1663318800,2022-09-16 09:00:00,MASK/USDT,1.2457,1.2673,1.2457,1.2673,503.09443028,631.92447871347
1663315200,2022-09-16 08:00:00,MASK/USDT,1.2673,1.2693,1.2473,1.2504,726.05155277,911.576212629501
1663311600,2022-09-16 07:00:00,MASK/USDT,1.2695,1.2727,1.2693,1.2727,138.83283611,176.233260139427
1663308000,2022-09-16 06:00:00,MASK/USDT,1.2768,1.2799,1.2681,1.276,2300.15144185,2922.834739536838
1663304400,2022-09-16 05:00:00,MASK/USDT,1.2817,1.2846,1.2792,1.2792,23.3106,29.87575509
1663300800,2022-09-16 04:00:00,MASK/USDT,1.2858,1.2879,1.2802,1.2809,80.98033577,103.814019436479
1663297200,2022-09-16 03:00:00,MASK/USDT,1.2709,1.2842,1.2709,1.281,384.7844,492.09112152
1663293600,2022-09-16 02:00:00,MASK/USDT,1.2795,1.2829,1.254,1.2695,1518.21583903,1923.753980864165
1663290000,2022-09-16 01:00:00,MASK/USDT,1.2876,1.2876,1.277,1.28,482.16718142,617.204929312582
1663286400,2022-09-16 00:00:00,MASK/USDT,1.2784,1.2869,1.2635,1.2849,2914.47272276,3715.218861013068
1663282800,2022-09-15 23:00:00,MASK/USDT,1.2772,1.2798,1.2718,1.2798,2513.58283125,3216.787933173441
1663279200,2022-09-15 22:00:00,MASK/USDT,1.2842,1.2867,1.2651,1.276,200.32093492,255.756105522554
1663275600,2022-09-15 21:00:00,MASK/USDT,1.2964,1.2964,1.2845,1.2845,126.97993267,163.798123703388
1663272000,2022-09-15 20:00:00,MASK/USDT,1.2972,1.2978,1.2927,1.295,870.5529,1125.45036391
1663268400,2022-09-15 19:00:00,MASK/USDT,1.2859,1.2911,1.2852,1.2911,5.3558,6.88951259
1663264800,2022-09-15 18:00:00,MASK/USDT,1.2879,1.2949,1.2865,1.2872,119.556,154.19454474
1663261200,2022-09-15 17:00:00,MASK/USDT,1.2924,1.2969,1.2864,1.2901,1522.76405803,1971.559439854503
1663257600,2022-09-15 16:00:00,MASK/USDT,1.2829,1.2912,1.2794,1.2875,207.09044293,266.332045129649
1663254000,2022-09-15 15:00:00,MASK/USDT,1.2782,1.2858,1.2655,1.282,3786.08697168,4842.067762454782
1663250400,2022-09-15 14:00:00,MASK/USDT,1.3003,1.3036,1.2673,1.2747,4025.25277376,5134.919790934655
