https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume UST
1653436800,2022-05-25 00:00:00,ETH/UST,28468.08,29069.04,28440.27,28841.66,2.30749955,66453.1019669652
1653350400,2022-05-24 00:00:00,ETH/UST,28440.27,31567.95,27842.8,28612.43,226.33147103,6748572.5466134016
1653264000,2022-05-23 00:00:00,ETH/UST,31773.08,33073.74,26609.19,28440.27,303.41834373,9200192.1124364858
1653177600,2022-05-22 00:00:00,ETH/UST,34515.51,35696.24,26503.95,31896.69,296.94250646,9176435.9654338198
1653091200,2022-05-21 00:00:00,ETH/UST,30378.89,41111.09,30185.9,34515.52,205.58299671,7340934.992893203
1653004800,2022-05-20 00:00:00,ETH/UST,27065.67,33380.18,26009.39,30378.89,335.93775302,9927475.4112754649
1652918400,2022-05-19 00:00:00,ETH/UST,20598.56,27397.75,20474.34,27081.26,848.14539911,20654318.4809979772
1652832000,2022-05-18 00:00:00,ETH/UST,23558.48,23961.4,15148.92,20652.27,932.99899893,18180273.012882763
1652745600,2022-05-17 00:00:00,ETH/UST,20236.13,25376.86,16120.72,23796.75,934.32055627,19881363.1530633595
1652659200,2022-05-16 00:00:00,ETH/UST,14380.37,38498.95,12320.64,20024.54,1840.40991171,42150654.3222203649
1652572800,2022-05-15 00:00:00,ETH/UST,13601.5,15762.88,8508.62,14413.2,1143.74312835,13602753.6197296329
1652486400,2022-05-14 00:00:00,ETH/UST,25245.74,28088.28,10176.56,13601.49,680.06415352,9862429.9863900565
1652400000,2022-05-13 00:00:00,ETH/UST,6442.97,54681.55,6415.2,25130.42,800.00334249,18194337.5584554957
1652313600,2022-05-12 00:00:00,ETH/UST,3310.79,8211.46,2779.51,6444.26,7270.76402826,29796326.2380958929
1652227200,2022-05-11 00:00:00,ETH/UST,2935.7,10753.37,2803.89,3313.74,11796.74862552,57639841.6666572021
1652140800,2022-05-10 00:00:00,ETH/UST,2946.76,3590.95,2544.27,2931.86,11022.86777027,32349545.8130344118
