https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CWEB,Volume USDT
1663459200,2022-09-18 00:00:00,CWEB/USDT,0.02577,0.02577,0.02575,0.02577,102197.1298,2633.617005924
1663372800,2022-09-17 00:00:00,CWEB/USDT,0.02596,0.02622,0.0256,0.02577,4131402.6972,107142.07905699
1663286400,2022-09-16 00:00:00,CWEB/USDT,0.02512,0.02616,0.02496,0.02593,4990083.9658,127410.222936063
1663200000,2022-09-15 00:00:00,CWEB/USDT,0.02605,0.03078,0.02485,0.02512,14339649.4832,393509.916229331
1663113600,2022-09-14 00:00:00,CWEB/USDT,0.02467,0.02721,0.02463,0.02602,8046114.0765,206279.29489696
1663027200,2022-09-13 00:00:00,CWEB/USDT,0.02404,0.0275,0.02339,0.02467,10631954.6823,259303.658954674
1662940800,2022-09-12 00:00:00,CWEB/USDT,0.02401,0.02455,0.02393,0.02404,7631694.0215,184313.580039383
1662854400,2022-09-11 00:00:00,CWEB/USDT,0.02415,0.02423,0.02375,0.024,7204243.6172,172869.631018004
1662768000,2022-09-10 00:00:00,CWEB/USDT,0.02429,0.02439,0.0237,0.02415,7529710.945,182017.598117266
1662681600,2022-09-09 00:00:00,CWEB/USDT,0.0244,0.02449,0.02393,0.02428,7723360.8168,186919.70994748
1662595200,2022-09-08 00:00:00,CWEB/USDT,0.02505,0.02517,0.02354,0.02439,9360946.8205,225889.123476468
1662508800,2022-09-07 00:00:00,CWEB/USDT,0.02502,0.0251,0.0235,0.02505,8544223.8849,210716.1085420888802
1662422400,2022-09-06 00:00:00,CWEB/USDT,0.0256,0.02562,0.02492,0.02501,6756084.1358,170321.674950858
1662336000,2022-09-05 00:00:00,CWEB/USDT,0.02567,0.02571,0.02492,0.02555,7832405.99273081,199332.5469448800441
1662249600,2022-09-04 00:00:00,CWEB/USDT,0.0267,0.02703,0.02562,0.02568,8727860.258,230607.496969278
1662163200,2022-09-03 00:00:00,CWEB/USDT,0.02577,0.02671,0.02548,0.0267,6111585.82586919,159975.6562082609612
1662076800,2022-09-02 00:00:00,CWEB/USDT,0.02724,0.02798,0.02506,0.0258,10020028.2023,263215.761791897
1661990400,2022-09-01 00:00:00,CWEB/USDT,0.03059,0.03331,0.0261,0.02721,12861904.2241,355078.20281293
1661904000,2022-08-31 00:00:00,CWEB/USDT,0.0228,0.03115,0.02214,0.03062,11364428.84447845,292266.0601161883636
1661817600,2022-08-30 00:00:00,CWEB/USDT,0.02303,0.02341,0.02274,0.02279,8637014.53479217,199957.2977648271865
1661731200,2022-08-29 00:00:00,CWEB/USDT,0.02302,0.02306,0.02111,0.02303,9593941.28621675,215949.9660246444745
1661644800,2022-08-28 00:00:00,CWEB/USDT,0.02319,0.02394,0.02272,0.02303,8726720.07727215,201702.6355637829473
1661558400,2022-08-27 00:00:00,CWEB/USDT,0.0232,0.02365,0.02296,0.02317,8217127.54406203,191651.0612087093127
1661472000,2022-08-26 00:00:00,CWEB/USDT,0.02339,0.0239,0.02284,0.02324,9715568.0566595,225378.9207482554394
1661385600,2022-08-25 00:00:00,CWEB/USDT,0.02348,0.02363,0.02308,0.02339,8655912.45470281,202021.1015236817613
1661299200,2022-08-24 00:00:00,CWEB/USDT,0.02379,0.02395,0.0234,0.02348,8070390.28404116,191363.9664846068449
1661212800,2022-08-23 00:00:00,CWEB/USDT,0.02353,0.02403,0.02286,0.02379,8352027.36293131,195597.280729191613
1661126400,2022-08-22 00:00:00,CWEB/USDT,0.02335,0.0241,0.02323,0.02354,7828300.87802929,184143.0141397851983
1661040000,2022-08-21 00:00:00,CWEB/USDT,0.02243,0.0235,0.0221,0.02334,17241574.14552114,394094.2244953337333
1660953600,2022-08-20 00:00:00,CWEB/USDT,0.02588,0.02612,0.0224,0.02244,14548484.68518457,351379.9021519379853
1660867200,2022-08-19 00:00:00,CWEB/USDT,0.02303,0.0286,0.02243,0.0259,19811711.28613528,480491.168680295225
1660780800,2022-08-18 00:00:00,CWEB/USDT,0.02198,0.0233,0.02182,0.02304,13249786.87854668,294764.668764261108
1660694400,2022-08-17 00:00:00,CWEB/USDT,0.02558,0.02877,0.02103,0.02198,22420900.01650951,540605.8822513974318
1660608000,2022-08-16 00:00:00,CWEB/USDT,0.02049,0.02893,0.02,0.02548,15723725.63251012,367230.6658408263673
1660521600,2022-08-15 00:00:00,CWEB/USDT,0.01979,0.0205,0.01979,0.02048,9254587.54862631,186043.5425575470845
1660435200,2022-08-14 00:00:00,CWEB/USDT,0.02051,0.02058,0.0197,0.01979,15364452.73431475,308978.5023086588658
1660348800,2022-08-13 00:00:00,CWEB/USDT,0.02012,0.02079,0.02012,0.02051,13843018.24036539,281068.518382291345
1660262400,2022-08-12 00:00:00,CWEB/USDT,0.0192,0.02017,0.0192,0.02011,6428358.54511498,127539.676161690421
1660176000,2022-08-11 00:00:00,CWEB/USDT,0.02024,0.0225,0.01875,0.01923,18951121.37651028,387145.7397820667692
1660089600,2022-08-10 00:00:00,CWEB/USDT,0.02011,0.02036,0.02011,0.02024,8681705.94472657,175550.3375929260512
1660003200,2022-08-09 00:00:00,CWEB/USDT,0.01896,0.02027,0.01896,0.02014,10806630.09522577,215099.4160458017638
1659916800,2022-08-08 00:00:00,CWEB/USDT,0.0199,0.02045,0.01816,0.01897,17402717.70801438,343346.4553522807793
