https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA3S,Volume USDT
1652400000,2022-05-13 00:00:00,LUNA3S/USDT,8.702354,8.702354,5.938149,5.938149,5225.22591013,37117.74800255882673
1652396400,2022-05-12 23:00:00,LUNA3S/USDT,8.743511,10.389737,8.743511,10.297495,7803.65732433,78821.48239739612218
1652392800,2022-05-12 22:00:00,LUNA3S/USDT,10.142354,10.142354,10.142354,10.142354,0,0
1652389200,2022-05-12 21:00:00,LUNA3S/USDT,10.142354,10.142354,10.142354,10.142354,0,0
1652385600,2022-05-12 20:00:00,LUNA3S/USDT,10.142354,10.142354,10.142354,10.142354,133.2986,1351.9615889044
1652382000,2022-05-12 19:00:00,LUNA3S/USDT,8.749422,10.263727,8.749422,10.142354,23164.80995634,225056.94203938324262
1652378400,2022-05-12 18:00:00,LUNA3S/USDT,9.429283,9.429283,9.429283,9.429283,0,0
1652374800,2022-05-12 17:00:00,LUNA3S/USDT,9.429283,9.429283,9.429283,9.429283,0,0
1652371200,2022-05-12 16:00:00,LUNA3S/USDT,9.429283,9.429283,9.429283,9.429283,0,0
1652367600,2022-05-12 15:00:00,LUNA3S/USDT,9.429283,9.429283,9.429283,9.429283,0,0
1652364000,2022-05-12 14:00:00,LUNA3S/USDT,9.429283,9.429283,9.429283,9.429283,0,0
1652360400,2022-05-12 13:00:00,LUNA3S/USDT,8.471584,9.429283,8.471584,9.429283,2994.2535,26489.1372872497
1652356800,2022-05-12 12:00:00,LUNA3S/USDT,8.427776,8.427776,8.42141,8.42141,16.4699,138.7742584823
1652353200,2022-05-12 11:00:00,LUNA3S/USDT,9.268417,9.886999,8.429882,8.429882,10728.16592591,101918.46619212246461
1652349600,2022-05-12 10:00:00,LUNA3S/USDT,9.837662,9.886999,8.514752,9.268417,24419.2955237,225329.23425794487372
1652346000,2022-05-12 09:00:00,LUNA3S/USDT,9.914862,9.99,9.692069,9.886998,9576.02793278,94284.02111657678539
1652342400,2022-05-12 08:00:00,LUNA3S/USDT,9.289152,9.99,9.224113,9.916823,10736.80629942,103597.49387100078354
1652338800,2022-05-12 07:00:00,LUNA3S/USDT,8.160008,9.470544,8.099911,9.289152,22175.3471287,197445.88430196576861
1652335200,2022-05-12 06:00:00,LUNA3S/USDT,7.366835,8.199999,7.331635,8.19,17617.89915781,138317.31065714885813
1652331600,2022-05-12 05:00:00,LUNA3S/USDT,7,7.74111,6.903073,7.385025,9671.65254605,71465.12060104096903
1652328000,2022-05-12 04:00:00,LUNA3S/USDT,6.943196,7,6.712473,7,2928.85222819,20193.63411656994796
1652324400,2022-05-12 03:00:00,LUNA3S/USDT,7.139999,7.417872,6.5,6.969999,17041.63715367,117743.24984964911337
1652320800,2022-05-12 02:00:00,LUNA3S/USDT,4.759999,7.186213,4.152037,7.139999,40968.32988089,245108.18436647612833
1652317200,2022-05-12 01:00:00,LUNA3S/USDT,4.492711,4.815946,4.105808,4.759999,36553.48477645,161721.25017896947154
1652313600,2022-05-12 00:00:00,LUNA3S/USDT,7.474092,7.486779,2.755893,4.470002,114177.70662934,645488.81174226681011
1652310000,2022-05-11 23:00:00,LUNA3S/USDT,8.790715,8.89,7.072671,7.474092,159615.04759459,1359434.25092371249032
1652306400,2022-05-11 22:00:00,LUNA3S/USDT,8.306782,8.998914,7.325557,8.78997,115980.48666818,973349.67611501742425
1652302800,2022-05-11 21:00:00,LUNA3S/USDT,8.67048,8.865239,8.184148,8.356695,156015.3032314,1357173.81943688439031
1652299200,2022-05-11 20:00:00,LUNA3S/USDT,8.772946,8.840144,8.512397,8.655087,128335.96716481,1119352.90363750916286
1652295600,2022-05-11 19:00:00,LUNA3S/USDT,8.472707,8.89288,8.472707,8.772311,169432.81365739,1475109.16928979679851
1652292000,2022-05-11 18:00:00,LUNA3S/USDT,8.465389,8.715919,8.1,8.472706,115076.66629465,978937.42301497187854
1652288400,2022-05-11 17:00:00,LUNA3S/USDT,8.238032,8.711315,8.099912,8.465389,190746.27257128,1601855.01375778549899
1652284800,2022-05-11 16:00:00,LUNA3S/USDT,7.571345,8.551803,7.442182,8.26889,184868.19664168,1523328.6833335532573
1652281200,2022-05-11 15:00:00,LUNA3S/USDT,6.513762,8.435828,6.513762,7.595092,224768.40742495,1729937.38594080306444
1652277600,2022-05-11 14:00:00,LUNA3S/USDT,6.941798,7,5.853,6.49977,107187.95991027,707523.45394164042494
1652274000,2022-05-11 13:00:00,LUNA3S/USDT,7.583251,7.583252,6.89,6.941798,64166.61826565,465458.03867963576485
1652270400,2022-05-11 12:00:00,LUNA3S/USDT,9.544458,9.75,7.510287,7.583251,213393.86191785,1876557.4132142129612
