https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NGC,Volume USDT
1663459200,2022-09-18 00:00:00,NGC/USDT,0.051,0.0512,0.0505,0.0512,31813.9718,1610.86085312
1663372800,2022-09-17 00:00:00,NGC/USDT,0.0528,0.057,0.0476,0.0512,2724432.6292,142070.02571642
1663286400,2022-09-16 00:00:00,NGC/USDT,0.0592,0.0749,0.0489,0.0529,4988840.2275,313278.45634374
1663200000,2022-09-15 00:00:00,NGC/USDT,0.0459,0.065,0.0439,0.0591,3114445.521,173647.84791067
1663113600,2022-09-14 00:00:00,NGC/USDT,0.0523,0.0599,0.0412,0.0461,3362995.7529,167801.98269368
1663027200,2022-09-13 00:00:00,NGC/USDT,0.0722,0.0759,0.0411,0.0527,6522777.5628,362279.50489393
1662940800,2022-09-12 00:00:00,NGC/USDT,0.0752,0.0804,0.0702,0.0724,1861810.3966,138183.50241872
1662854400,2022-09-11 00:00:00,NGC/USDT,0.0781,0.0913,0.0724,0.0754,3026159.3674,246474.33060721
1662768000,2022-09-10 00:00:00,NGC/USDT,0.0904,0.095,0.0751,0.0781,3757195.6137,306872.86371501
1662681600,2022-09-09 00:00:00,NGC/USDT,0.1194,0.1194,0.0805,0.0891,2424404.3355,221077.71750785
1662595200,2022-09-08 00:00:00,NGC/USDT,0.0895,0.13,0.0859,0.1194,1544044.2423,162658.62121656
1662508800,2022-09-07 00:00:00,NGC/USDT,0.0914,0.0921,0.0868,0.0895,237357.1547,21093.03512169
1662422400,2022-09-06 00:00:00,NGC/USDT,0.0908,0.0958,0.0883,0.0911,269160.284,24720.46494711
1662336000,2022-09-05 00:00:00,NGC/USDT,0.0879,0.0925,0.0869,0.0908,164857.5768,14736.67556773
1662249600,2022-09-04 00:00:00,NGC/USDT,0.088,0.0907,0.0879,0.0879,82508.2682,7343.34083856
1662163200,2022-09-03 00:00:00,NGC/USDT,0.0886,0.0891,0.088,0.088,76335.6073,6752.99743087
1662076800,2022-09-02 00:00:00,NGC/USDT,0.0883,0.0891,0.0868,0.0882,75622.9389,6659.10284963
1661990400,2022-09-01 00:00:00,NGC/USDT,0.0917,0.093,0.0879,0.0883,217287.3329,19838.29327986
1661904000,2022-08-31 00:00:00,NGC/USDT,0.091,0.0919,0.09,0.0914,116599.434,10617.96866632
1661817600,2022-08-30 00:00:00,NGC/USDT,0.0978,0.1012,0.0851,0.0909,587040.7943,55255.92749011
1661731200,2022-08-29 00:00:00,NGC/USDT,0.1067,0.1067,0.0901,0.0979,395328.646,38515.04921448
1661644800,2022-08-28 00:00:00,NGC/USDT,0.1111,0.1111,0.1067,0.1067,47897.4094,5223.12103095
1661558400,2022-08-27 00:00:00,NGC/USDT,0.1197,0.1197,0.1089,0.1111,216417.7917,24469.01711901
1661472000,2022-08-26 00:00:00,NGC/USDT,0.121,0.1217,0.1167,0.1197,402717.8272,48001.98235901
1661385600,2022-08-25 00:00:00,NGC/USDT,0.1268,0.1275,0.1209,0.1214,1801060.4758,223212.43030776
1661299200,2022-08-24 00:00:00,NGC/USDT,0.126,0.1296,0.1205,0.1268,1990317.3576,250307.22305297
1661212800,2022-08-23 00:00:00,NGC/USDT,0.154,0.1556,0.1204,0.1258,3457992.9765,472272.49908765
