https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HNT,Volume USDT
1663459200,2022-09-18 00:00:00,HNT/USDT,4.519,4.589,4.48,4.589,1568.0685,7079.0571121
1663372800,2022-09-17 00:00:00,HNT/USDT,4.2,4.66,4.158,4.534,44495.7738,197187.1381614
1663286400,2022-09-16 00:00:00,HNT/USDT,4.072,4.252,3.958,4.193,42564.0331,174956.2781282
1663200000,2022-09-15 00:00:00,HNT/USDT,4.229,4.258,3.922,4.073,68825.1994,282434.9902149
1663113600,2022-09-14 00:00:00,HNT/USDT,4.426,4.654,4.125,4.229,66399.6993917,291960.0455994044
1663027200,2022-09-13 00:00:00,HNT/USDT,5.117,5.448,4.426,4.426,106459.64362737,524250.70921124266
1662940800,2022-09-12 00:00:00,HNT/USDT,5.205,5.55,4.66,5.119,110240.5548,574072.8138435
1662854400,2022-09-11 00:00:00,HNT/USDT,5.644,5.66,5.05,5.198,89277.5184,473878.4010004
1662768000,2022-09-10 00:00:00,HNT/USDT,4.683,6.08,4.66,5.644,290081.91350348,1613749.43565771388
1662681600,2022-09-09 00:00:00,HNT/USDT,4.789,5.01,4.558,4.683,118989.1068,570342.0957297
1662595200,2022-09-08 00:00:00,HNT/USDT,5.319,5.557,4.716,4.787,214364.6732,1091160.6314361
1662508800,2022-09-07 00:00:00,HNT/USDT,3.41,5.69,3.401,5.292,384231.1223,1791401.3417672
1662422400,2022-09-06 00:00:00,HNT/USDT,3.967,4.064,3.256,3.412,85773.6978,310302.2302762
1662336000,2022-09-05 00:00:00,HNT/USDT,4.342,4.372,3.837,3.943,53552.1236,213570.0994295
1662249600,2022-09-04 00:00:00,HNT/USDT,4.195,4.458,4.1,4.355,47919.3925,203582.7653846
1662163200,2022-09-03 00:00:00,HNT/USDT,4.525,4.774,4.132,4.168,34938.1858,155016.524265
1662076800,2022-09-02 00:00:00,HNT/USDT,4.83,4.965,4.422,4.51,32163.557,151790.4006577
1661990400,2022-09-01 00:00:00,HNT/USDT,5.261,5.322,4.584,4.831,39264.8522,192708.5896192
1661904000,2022-08-31 00:00:00,HNT/USDT,5.538,5.685,5.218,5.261,15402.63217988,84426.03317389365
1661817600,2022-08-30 00:00:00,HNT/USDT,6.19,6.221,5.456,5.516,46254.81258157,268663.58635105337
1661731200,2022-08-29 00:00:00,HNT/USDT,7.203,7.283,5.9,6.208,58570.25885757,368242.10356672171
1661644800,2022-08-28 00:00:00,HNT/USDT,7.15,7.258,7.123,7.203,56985.19057595,410056.5996864138
1661558400,2022-08-27 00:00:00,HNT/USDT,7.403,7.432,7.032,7.146,118199.37767739,848607.48999683987
