https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MANA3L,Volume USDT
1663459200,2022-09-18 00:00:00,MANA3L/USDT,0.000636,0.000636,0.000619,0.000625,966271.0965,603.3715706763
1663455600,2022-09-17 23:00:00,MANA3L/USDT,0.000634,0.000637,0.000628,0.000636,767010.9717,485.5943698303
1663452000,2022-09-17 22:00:00,MANA3L/USDT,0.000621,0.000635,0.000621,0.000635,1674562.4353,1051.0818383167
1663448400,2022-09-17 21:00:00,MANA3L/USDT,0.000629,0.00064,0.000621,0.000623,5991391.7147,3775.2613053943
1663444800,2022-09-17 20:00:00,MANA3L/USDT,0.000614,0.000637,0.000614,0.000625,3643729.0274,2262.446530328
1663441200,2022-09-17 19:00:00,MANA3L/USDT,0.000624,0.000624,0.000612,0.000612,1668868.9539,1031.3180385167
1663437600,2022-09-17 18:00:00,MANA3L/USDT,0.000623,0.000626,0.00062,0.00062,1681115.9175,1047.7214921899
1663434000,2022-09-17 17:00:00,MANA3L/USDT,0.000624,0.00063,0.000623,0.000627,2468225.7866,1540.6726516409
1663430400,2022-09-17 16:00:00,MANA3L/USDT,0.000621,0.000626,0.000618,0.000623,2152483.705,1340.9039115984
1663426800,2022-09-17 15:00:00,MANA3L/USDT,0.00062,0.000621,0.000616,0.000621,212354.1136,131.3379449975
1663423200,2022-09-17 14:00:00,MANA3L/USDT,0.00061,0.000621,0.00061,0.000619,1472143.1969,904.6993295739
1663419600,2022-09-17 13:00:00,MANA3L/USDT,0.000596,0.000611,0.000596,0.00061,989772.9802,595.0235219022
1663416000,2022-09-17 12:00:00,MANA3L/USDT,0.000588,0.000598,0.000588,0.000598,371862.1574,220.3966937633
1663412400,2022-09-17 11:00:00,MANA3L/USDT,0.000593,0.000595,0.000586,0.000586,1666771.4822,987.2022451215
1663408800,2022-09-17 10:00:00,MANA3L/USDT,0.000597,0.000597,0.000589,0.000589,616808.8942,364.6070776102
1663405200,2022-09-17 09:00:00,MANA3L/USDT,0.0006,0.000602,0.000598,0.000602,435727.2116,261.4419925118
1663401600,2022-09-17 08:00:00,MANA3L/USDT,0.000602,0.000607,0.0006,0.000606,1100910.7614,663.7161392737
1663398000,2022-09-17 07:00:00,MANA3L/USDT,0.000602,0.000602,0.000595,0.0006,219263.3553,131.7105981409
1663394400,2022-09-17 06:00:00,MANA3L/USDT,0.000602,0.000602,0.000597,0.000597,706422.1877,422.7928730856
1663390800,2022-09-17 05:00:00,MANA3L/USDT,0.000601,0.000601,0.000593,0.000598,2521588.5576,1503.9457588632
1663387200,2022-09-17 04:00:00,MANA3L/USDT,0.000606,0.000608,0.000602,0.000606,165512.1664,100.309936585
1663383600,2022-09-17 03:00:00,MANA3L/USDT,0.000601,0.000606,0.000597,0.000598,589085.4059,353.7088927557
1663380000,2022-09-17 02:00:00,MANA3L/USDT,0.000607,0.00061,0.000601,0.000606,614721.2875,372.5581152902
1663376400,2022-09-17 01:00:00,MANA3L/USDT,0.00061,0.00061,0.000606,0.000608,860582.4263,523.160690132
1663372800,2022-09-17 00:00:00,MANA3L/USDT,0.000606,0.000622,0.000603,0.00061,2683079.883,1647.3080069205
1663369200,2022-09-16 23:00:00,MANA3L/USDT,0.000601,0.000604,0.000596,0.000604,1579805.3053,943.9379864589
1663365600,2022-09-16 22:00:00,MANA3L/USDT,0.000607,0.00061,0.000601,0.000601,575125.9325,348.2908011597
