https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume GBP,tradecount
1663545600000,2022-09-19 00:00:00,BTC/GBP,16993.50000000,17022.63000000,16972.66000000,16990.62000000,3.97583000,67576.28513090,502
1663542000000,2022-09-18 23:00:00,BTC/GBP,17029.19000000,17096.81000000,16964.42000000,16990.89000000,22.75631000,387652.07902080,1151
1663538400000,2022-09-18 22:00:00,BTC/GBP,17066.95000000,17073.57000000,16961.00000000,17034.36000000,61.30548000,1042731.50960640,1973
1663534800000,2022-09-18 21:00:00,BTC/GBP,17285.95000000,17286.39000000,17000.00000000,17072.96000000,49.13465000,839252.18339530,1635
1663531200000,2022-09-18 20:00:00,BTC/GBP,17281.92000000,17315.51000000,17250.00000000,17290.50000000,20.55730000,355475.74407560,1080
1663527600000,2022-09-18 19:00:00,BTC/GBP,17203.06000000,17295.62000000,17165.29000000,17282.67000000,18.72677000,322867.49974230,1149
1663524000000,2022-09-18 18:00:00,BTC/GBP,17197.32000000,17270.84000000,17137.09000000,17200.17000000,22.91728000,394519.44501450,1442
1663520400000,2022-09-18 17:00:00,BTC/GBP,17299.97000000,17314.64000000,17182.24000000,17198.18000000,26.19781000,451876.25769530,1463
1663516800000,2022-09-18 16:00:00,BTC/GBP,17361.21000000,17418.36000000,17231.36000000,17301.23000000,38.70497000,669507.49613630,2202
1663513200000,2022-09-18 15:00:00,BTC/GBP,17352.19000000,17413.05000000,17326.34000000,17364.63000000,15.37758000,267160.20099360,1263
1663509600000,2022-09-18 14:00:00,BTC/GBP,17490.16000000,17490.16000000,17293.15000000,17354.85000000,19.99789000,347992.16400320,1765
1663506000000,2022-09-18 13:00:00,BTC/GBP,17514.41000000,17533.58000000,17472.63000000,17492.56000000,11.25455000,197047.70377100,962
1663502400000,2022-09-18 12:00:00,BTC/GBP,17452.40000000,17547.04000000,17408.44000000,17513.54000000,12.82655000,223966.36363770,1412
1663498800000,2022-09-18 11:00:00,BTC/GBP,17458.11000000,17487.97000000,17437.79000000,17457.61000000,12.28002000,214406.97695920,1100
1663495200000,2022-09-18 10:00:00,BTC/GBP,17383.91000000,17565.43000000,17336.00000000,17458.28000000,34.66639000,605263.18508790,2782
1663491600000,2022-09-18 09:00:00,BTC/GBP,17569.39000000,17593.93000000,17355.62000000,17387.07000000,24.24545000,423846.03297490,2077
1663488000000,2022-09-18 08:00:00,BTC/GBP,17570.61000000,17608.90000000,17550.68000000,17566.75000000,10.80904000,189969.62208450,1056
