https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MAKI,Volume BTC
1663459200,2022-09-18 00:00:00,MAKI/BTC,0.0000001348,0.0000001369,0.0000001348,0.0000001369,8322.7264,0.00112492888648
1663372800,2022-09-17 00:00:00,MAKI/BTC,0.0000001328,0.0000001365,0.0000001303,0.0000001357,43498.4609,0.00578273536075
1663286400,2022-09-16 00:00:00,MAKI/BTC,0.0000001363,0.0000001393,0.0000001321,0.0000001329,88120.0126,0.01184876557333
1663200000,2022-09-15 00:00:00,MAKI/BTC,0.0000001321,0.000000148,0.0000001305,0.0000001393,272810.2533,0.0375114126306
1663113600,2022-09-14 00:00:00,MAKI/BTC,0.0000001333,0.0000001367,0.0000001277,0.0000001282,124884.4918,0.0164086269195
1663027200,2022-09-13 00:00:00,MAKI/BTC,0.0000001211,0.0000001335,0.0000001196,0.0000001335,93972.1309,0.01167501664139
1662940800,2022-09-12 00:00:00,MAKI/BTC,0.0000001282,0.0000001321,0.000000116,0.0000001203,716249.4488,0.08849819144844
1662854400,2022-09-11 00:00:00,MAKI/BTC,0.0000001323,0.0000001355,0.0000001279,0.00000013,93917.0941,0.01237652097169
1662768000,2022-09-10 00:00:00,MAKI/BTC,0.0000001297,0.0000001524,0.0000001261,0.0000001303,346141.1276,0.04718482144677
1662681600,2022-09-09 00:00:00,MAKI/BTC,0.0000001427,0.0000001435,0.0000001243,0.0000001275,293560.1815,0.03827886760255
1662595200,2022-09-08 00:00:00,MAKI/BTC,0.0000001459,0.0000001534,0.000000143,0.0000001442,181317.2093,0.02701435129409
1662508800,2022-09-07 00:00:00,MAKI/BTC,0.0000001343,0.0000001473,0.0000001343,0.0000001392,216246.5302,0.0301386500893
1662422400,2022-09-06 00:00:00,MAKI/BTC,0.0000001313,0.0000001397,0.000000129,0.0000001323,4318338.053,0.58438020790749
1662336000,2022-09-05 00:00:00,MAKI/BTC,0.0000001286,0.0000001333,0.0000001283,0.000000131,19164.0388,0.00250363515902
1662249600,2022-09-04 00:00:00,MAKI/BTC,0.0000001346,0.0000001366,0.0000001267,0.0000001292,70820.7104,0.00929441989913
1662163200,2022-09-03 00:00:00,MAKI/BTC,0.0000001309,0.0000001605,0.0000001239,0.0000001359,333343.8476,0.04584445279226
