https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ASD,Volume USDT
1663459200,2022-09-18 00:00:00,ASD/USDT,0.1055,0.1055,0.1054,0.1054,94.5341,9.97319883
1663372800,2022-09-17 00:00:00,ASD/USDT,0.1045,0.1087,0.1021,0.1056,57236.5362,5982.48762901
1663286400,2022-09-16 00:00:00,ASD/USDT,0.0997,0.1056,0.0997,0.1046,202846.8278,20865.72384415
1663200000,2022-09-15 00:00:00,ASD/USDT,0.0869,0.1243,0.0848,0.0986,682737.64225279,69630.0651642448
1663113600,2022-09-14 00:00:00,ASD/USDT,0.0838,0.0875,0.0837,0.0862,10199.8337,873.28882145
1663027200,2022-09-13 00:00:00,ASD/USDT,0.0854,0.0859,0.0828,0.0838,22404.1618,1875.6533645
1662940800,2022-09-12 00:00:00,ASD/USDT,0.0854,0.0864,0.0844,0.0854,21706.1144,1855.65517552
1662854400,2022-09-11 00:00:00,ASD/USDT,0.0855,0.0872,0.0841,0.085,16942.5637,1451.52275774
1662768000,2022-09-10 00:00:00,ASD/USDT,0.0851,0.0862,0.084,0.0855,34154.6089,2917.94277512
1662681600,2022-09-09 00:00:00,ASD/USDT,0.083,0.0868,0.0825,0.0855,67502.5777,5703.76633941
1662595200,2022-09-08 00:00:00,ASD/USDT,0.0836,0.0841,0.0823,0.0832,14047.75,1166.83106037
1662508800,2022-09-07 00:00:00,ASD/USDT,0.0822,0.0842,0.0817,0.0836,10590.1649,881.3333687
1662422400,2022-09-06 00:00:00,ASD/USDT,0.0839,0.0847,0.0804,0.0822,33412.4022,2758.46202428
1662336000,2022-09-05 00:00:00,ASD/USDT,0.0828,0.0842,0.0819,0.0839,9529.6623,793.52940469
1662249600,2022-09-04 00:00:00,ASD/USDT,0.083,0.0842,0.082,0.0827,4041.5814,336.04967572
1662163200,2022-09-03 00:00:00,ASD/USDT,0.0835,0.084,0.0821,0.083,5179.5594,431.20068628
1662076800,2022-09-02 00:00:00,ASD/USDT,0.0803,0.0835,0.0796,0.0835,31271.2857,2563.8070649
1661990400,2022-09-01 00:00:00,ASD/USDT,0.0803,0.0809,0.079,0.0803,36141.6181,2875.55843697
1661904000,2022-08-31 00:00:00,ASD/USDT,0.0801,0.0815,0.0795,0.0803,11975.0157,960.5180674
1661817600,2022-08-30 00:00:00,ASD/USDT,0.0807,0.0809,0.0781,0.0801,28615.0376,2277.28399617
1661731200,2022-08-29 00:00:00,ASD/USDT,0.0819,0.0826,0.0795,0.0802,13426.9805,1077.51274389
1661644800,2022-08-28 00:00:00,ASD/USDT,0.0799,0.083,0.0789,0.0819,18687.534,1493.91112709
1661558400,2022-08-27 00:00:00,ASD/USDT,0.0825,0.0829,0.0793,0.08,15466.1023,1252.73829945
1661472000,2022-08-26 00:00:00,ASD/USDT,0.0834,0.0844,0.0801,0.0825,195632.9022,16139.70170886
1661385600,2022-08-25 00:00:00,ASD/USDT,0.0817,0.0843,0.0807,0.0828,212673.4227,17406.22610538
1661299200,2022-08-24 00:00:00,ASD/USDT,0.0943,0.0943,0.0801,0.0813,296583.4992,24673.64631382
1661212800,2022-08-23 00:00:00,ASD/USDT,0.1033,0.1048,0.0927,0.0945,130949.734,12665.19574253
1661126400,2022-08-22 00:00:00,ASD/USDT,0.094,0.119,0.093,0.1033,381520.5274,39616.60422985
1661040000,2022-08-21 00:00:00,ASD/USDT,0.0924,0.095,0.0903,0.094,69499.8933,6370.87820468
1660953600,2022-08-20 00:00:00,ASD/USDT,0.0925,0.0944,0.0909,0.0917,146046.8763,13515.68324413
1660867200,2022-08-19 00:00:00,ASD/USDT,0.0934,0.0988,0.0877,0.0927,472542.3749,44146.20552077
1660780800,2022-08-18 00:00:00,ASD/USDT,0.0883,0.0945,0.0883,0.0928,225826.3023,20725.95104722
1660694400,2022-08-17 00:00:00,ASD/USDT,0.0886,0.0899,0.0874,0.0877,56361.5926,4993.55586091
1660608000,2022-08-16 00:00:00,ASD/USDT,0.0887,0.0897,0.0873,0.088,37973.9825,3343.78123534
1660521600,2022-08-15 00:00:00,ASD/USDT,0.0859,0.0917,0.085,0.0888,267844.164,23568.29033215
1660435200,2022-08-14 00:00:00,ASD/USDT,0.0835,0.0868,0.0831,0.0855,186957.1396,15852.79313481
1660348800,2022-08-13 00:00:00,ASD/USDT,0.0841,0.0842,0.0828,0.0839,8531.7658,713.36582915
1660262400,2022-08-12 00:00:00,ASD/USDT,0.0829,0.0851,0.0821,0.0842,134037.2139,11090.11104585
1660176000,2022-08-11 00:00:00,ASD/USDT,0.0818,0.0836,0.0816,0.0829,82295.8613,6807.71274835
