https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CXO,Volume BTC
1651104000,2022-04-28 00:00:00,CXO/BTC,0.0000032,0.0000032,0.0000032,0.0000032,1765.2985,0.0056489552
1651017600,2022-04-27 00:00:00,CXO/BTC,0.00000333,0.0000036,0.000003,0.00000312,564123.34924051,1.8744606185706215
1650931200,2022-04-26 00:00:00,CXO/BTC,0.0000034,0.00000353,0.0000032,0.00000336,536811.0630551,1.8124606166248446
1650844800,2022-04-25 00:00:00,CXO/BTC,0.00000388,0.00000407,0.00000334,0.00000343,832093.63700716,3.0229267536509908
1650758400,2022-04-24 00:00:00,CXO/BTC,0.00000383,0.00000391,0.0000036,0.00000388,279662.58737138,1.0560098637288964
1650672000,2022-04-23 00:00:00,CXO/BTC,0.00000383,0.0000039,0.00000311,0.00000386,968475.45473405,3.5037773758356525
1650585600,2022-04-22 00:00:00,CXO/BTC,0.00000548,0.00000552,0.000003,0.00000382,5838513.4071738,22.6364151528373582
1650499200,2022-04-21 00:00:00,CXO/BTC,0.00000544,0.00000568,0.00000521,0.00000542,33880.914,0.183319858845
1650412800,2022-04-20 00:00:00,CXO/BTC,0.00000566,0.00000569,0.00000539,0.00000543,40009.7643,0.222934510814
1650326400,2022-04-19 00:00:00,CXO/BTC,0.00000508,0.00000575,0.00000506,0.00000571,54765.88661344,0.2967466804098961
1650240000,2022-04-18 00:00:00,CXO/BTC,0.00000551,0.00000561,0.00000485,0.00000509,219586.10470017,1.1526539608129537
1650153600,2022-04-17 00:00:00,CXO/BTC,0.0000056,0.00000561,0.00000547,0.00000551,19021.77606521,0.1061552391368281
1650067200,2022-04-16 00:00:00,CXO/BTC,0.00000574,0.00000574,0.00000531,0.00000562,295990.21737379,1.6087459930519619
1649980800,2022-04-15 00:00:00,CXO/BTC,0.00000581,0.00000595,0.00000566,0.00000574,21686.92767337,0.1237664839635515
1649894400,2022-04-14 00:00:00,CXO/BTC,0.00000593,0.00000609,0.00000566,0.00000583,101565.23235748,0.5898805846649824
1649808000,2022-04-13 00:00:00,CXO/BTC,0.00000584,0.00000601,0.00000566,0.00000593,36385.06004818,0.2105973099785102
1649721600,2022-04-12 00:00:00,CXO/BTC,0.00000602,0.00000617,0.00000575,0.00000586,60643.1115205,0.362820123838945
1649635200,2022-04-11 00:00:00,CXO/BTC,0.0000055,0.00000602,0.00000546,0.00000602,63852.8297,0.370053998673
1649548800,2022-04-10 00:00:00,CXO/BTC,0.00000551,0.00000576,0.00000533,0.00000554,42830.71127045,0.2387106595448655
1649462400,2022-04-09 00:00:00,CXO/BTC,0.00000601,0.00000625,0.00000536,0.00000551,94997.24558669,0.5403100145057898
1649376000,2022-04-08 00:00:00,CXO/BTC,0.00000599,0.00000643,0.0000057,0.00000593,42729.99159357,0.2565671561369415
1649289600,2022-04-07 00:00:00,CXO/BTC,0.00000572,0.00000607,0.0000056,0.00000605,42322.7237,0.246480438627
1649203200,2022-04-06 00:00:00,CXO/BTC,0.00000596,0.00000609,0.00000557,0.00000577,53128.18027409,0.3066962787344977
