https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XEM,Volume USDT
1663462800,2022-09-18 01:00:00,XEM/USDT,0.042348,0.042348,0.042348,0.042348,27.6956,1.1728532688
1663459200,2022-09-18 00:00:00,XEM/USDT,0.04275,0.04275,0.0424,0.0424,1418.83561286,60.272170164365
1663455600,2022-09-17 23:00:00,XEM/USDT,0.042748,0.04275,0.042582,0.04275,1647.0543,70.4024034718
1663452000,2022-09-17 22:00:00,XEM/USDT,0.04275,0.0428,0.042653,0.042653,2197.5133,93.7913488341
1663448400,2022-09-17 21:00:00,XEM/USDT,0.0428,0.0428,0.042657,0.0428,4977.64055887,212.337673588336
1663444800,2022-09-17 20:00:00,XEM/USDT,0.042722,0.0428,0.042665,0.042665,405.2224,17.312599682
1663441200,2022-09-17 19:00:00,XEM/USDT,0.0426,0.042742,0.04256,0.042594,19501.20531832,830.02255584843344
1663437600,2022-09-17 18:00:00,XEM/USDT,0.042749,0.042884,0.042601,0.042848,21660.88010875,927.80256380234205
1663434000,2022-09-17 17:00:00,XEM/USDT,0.043,0.043,0.042656,0.042656,10643.14937113,455.84691906514898
1663430400,2022-09-17 16:00:00,XEM/USDT,0.0426,0.043,0.0426,0.042836,13767.0852,587.7784792747
1663426800,2022-09-17 15:00:00,XEM/USDT,0.04276,0.042869,0.0424,0.0424,59003.4995,2511.2351431279
1663423200,2022-09-17 14:00:00,XEM/USDT,0.042492,0.04295,0.042462,0.042817,15272.40381828,653.27991585590648
1663419600,2022-09-17 13:00:00,XEM/USDT,0.042084,0.042492,0.042084,0.042306,777.50604541,32.94503882903284
1663416000,2022-09-17 12:00:00,XEM/USDT,0.042148,0.042324,0.042002,0.042324,691.23977638,29.15424781932397
1663412400,2022-09-17 11:00:00,XEM/USDT,0.042057,0.042149,0.041983,0.041983,370.53556469,15.60296048501881
1663408800,2022-09-17 10:00:00,XEM/USDT,0.0422,0.042446,0.042,0.042149,835.5419,35.2020926372
1663405200,2022-09-17 09:00:00,XEM/USDT,0.042492,0.042492,0.042201,0.042347,644.7178741,27.3024176025458
1663401600,2022-09-17 08:00:00,XEM/USDT,0.04242,0.042456,0.042352,0.042354,455.4594,19.3124400649
1663398000,2022-09-17 07:00:00,XEM/USDT,0.042156,0.0424,0.042156,0.042352,5898.6579,249.5143933235
1663394400,2022-09-17 06:00:00,XEM/USDT,0.042178,0.042448,0.042085,0.042085,10777.76129933,456.00986522705984
1663390800,2022-09-17 05:00:00,XEM/USDT,0.042082,0.042147,0.041901,0.04201,675.85294207,28.36736426313293
1663387200,2022-09-17 04:00:00,XEM/USDT,0.042264,0.042347,0.042083,0.042083,1865.17323094,78.82726296331618
1663383600,2022-09-17 03:00:00,XEM/USDT,0.042144,0.042148,0.042001,0.042148,2210.17671254,93.1503551599983
1663380000,2022-09-17 02:00:00,XEM/USDT,0.042061,0.042149,0.042,0.042,20254.32608932,851.7988488789421
1663376400,2022-09-17 01:00:00,XEM/USDT,0.042208,0.042247,0.042052,0.042247,12646.6403911,533.1906658133017
1663372800,2022-09-17 00:00:00,XEM/USDT,0.042054,0.0424,0.042054,0.042082,21229.79146152,895.16344262295016
1663369200,2022-09-16 23:00:00,XEM/USDT,0.042047,0.042137,0.041882,0.042137,444.56371304,18.6952107522916
1663365600,2022-09-16 22:00:00,XEM/USDT,0.042049,0.042176,0.041949,0.041949,17751.08486594,746.68859429212458
1663362000,2022-09-16 21:00:00,XEM/USDT,0.042145,0.042178,0.041967,0.042149,133.19160089,5.61040475985808
1663358400,2022-09-16 20:00:00,XEM/USDT,0.042096,0.042147,0.041985,0.042146,872.1904,36.7553349785
1663354800,2022-09-16 19:00:00,XEM/USDT,0.0418,0.042082,0.0418,0.042082,2053.03045834,86.3031645058053
1663351200,2022-09-16 18:00:00,XEM/USDT,0.041794,0.042046,0.041536,0.041857,26859.39699382,1119.64488657248554
1663347600,2022-09-16 17:00:00,XEM/USDT,0.041723,0.04179,0.041403,0.041648,62756.7694854,2606.18535307505816
1663344000,2022-09-16 16:00:00,XEM/USDT,0.042049,0.042049,0.0414,0.041849,29102.36563925,1210.32809875516981
1663340400,2022-09-16 15:00:00,XEM/USDT,0.042,0.042249,0.041873,0.042049,27730.28282444,1165.38774674524552
1663336800,2022-09-16 14:00:00,XEM/USDT,0.041452,0.042049,0.041452,0.04194,21920.85014279,915.84292620381802
1663333200,2022-09-16 13:00:00,XEM/USDT,0.041849,0.041907,0.041353,0.041353,7800.41680222,326.11871173352022
1663329600,2022-09-16 12:00:00,XEM/USDT,0.041846,0.042048,0.041801,0.041801,77027.43411811,3237.82250190368928
1663326000,2022-09-16 11:00:00,XEM/USDT,0.041666,0.042,0.041666,0.042,10893.94116467,456.81718802041249
1663322400,2022-09-16 10:00:00,XEM/USDT,0.041625,0.041837,0.04149,0.041836,36635.05302033,1531.55178424789754
1663318800,2022-09-16 09:00:00,XEM/USDT,0.04133,0.041629,0.041328,0.041629,10037.12441701,416.45400303844987
1663315200,2022-09-16 08:00:00,XEM/USDT,0.041546,0.041552,0.041032,0.041288,21560.91139488,887.83231028999659
1663311600,2022-09-16 07:00:00,XEM/USDT,0.041636,0.041728,0.041493,0.041728,25419.8096,1058.5836998293
1663308000,2022-09-16 06:00:00,XEM/USDT,0.04166,0.042434,0.041562,0.041598,191517.4207,8042.2292635246
1663304400,2022-09-16 05:00:00,XEM/USDT,0.041459,0.0418,0.041459,0.04166,10046.0707,418.8430403275
1663300800,2022-09-16 04:00:00,XEM/USDT,0.041253,0.041626,0.041253,0.041461,2930.3985,121.4108180704
1663297200,2022-09-16 03:00:00,XEM/USDT,0.040953,0.041346,0.040938,0.041157,19739.84019915,812.64920347401428
1663293600,2022-09-16 02:00:00,XEM/USDT,0.041055,0.041345,0.040754,0.040987,28631.18165728,1172.6566907883646
1663290000,2022-09-16 01:00:00,XEM/USDT,0.041167,0.04127,0.04102,0.041242,4341.85850732,179.00830116949144
1663286400,2022-09-16 00:00:00,XEM/USDT,0.040906,0.041344,0.040745,0.041171,7341.52489672,301.51497907678457
1663282800,2022-09-15 23:00:00,XEM/USDT,0.041147,0.0412,0.040945,0.041138,8076.88124988,331.52073265962282
1663279200,2022-09-15 22:00:00,XEM/USDT,0.041569,0.041643,0.041003,0.041344,10849.86462002,449.19749058640195
1663275600,2022-09-15 21:00:00,XEM/USDT,0.041747,0.041747,0.041496,0.041743,14439.63893465,602.09510269759495
1663272000,2022-09-15 20:00:00,XEM/USDT,0.041746,0.041835,0.041686,0.041747,145.852,6.0983803992
1663268400,2022-09-15 19:00:00,XEM/USDT,0.041775,0.041849,0.041659,0.041746,14829.3525,619.1290561639
1663264800,2022-09-15 18:00:00,XEM/USDT,0.041901,0.042049,0.041777,0.041777,13274.2392352,555.8104427998248
1663261200,2022-09-15 17:00:00,XEM/USDT,0.04196,0.042248,0.041901,0.041901,1763.98781125,74.26058045475375
1663257600,2022-09-15 16:00:00,XEM/USDT,0.041496,0.04196,0.041493,0.041846,2228.54642681,93.08716582580576
1663254000,2022-09-15 15:00:00,XEM/USDT,0.041536,0.042178,0.04116,0.041496,18998.4537,794.6976342595
1663250400,2022-09-15 14:00:00,XEM/USDT,0.042303,0.042566,0.041252,0.041496,40212.66647236,1679.63763487365646
1663246800,2022-09-15 13:00:00,XEM/USDT,0.042566,0.0428,0.042118,0.042456,13718.36412905,580.6307847473468
1663243200,2022-09-15 12:00:00,XEM/USDT,0.042728,0.042728,0.0422,0.042247,18780.91330979,796.41919569163723
1663239600,2022-09-15 11:00:00,XEM/USDT,0.042345,0.042779,0.042193,0.042436,13432.50807767,573.35119375215177
1663236000,2022-09-15 10:00:00,XEM/USDT,0.042465,0.0426,0.042178,0.04239,8860.36228696,374.95609863402428
1663232400,2022-09-15 09:00:00,XEM/USDT,0.042431,0.042566,0.042368,0.042428,505.28398819,21.42176226132968
1663228800,2022-09-15 08:00:00,XEM/USDT,0.042424,0.042566,0.0422,0.042566,2788.9971801,117.83866260135056
