https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SRK,Volume BTC
1663459200,2022-09-18 00:00:00,SRK/BTC,0.0000000165,0.0000000166,0.0000000165,0.0000000166,6354680.2548,0.10547175890769
1663372800,2022-09-17 00:00:00,SRK/BTC,0.0000000164,0.0000000167,0.0000000162,0.0000000163,216169794.3713,3.52399011341279
1663286400,2022-09-16 00:00:00,SRK/BTC,0.0000000171,0.0000000171,0.0000000165,0.0000000166,172709271.9497,2.88579350180579
1663200000,2022-09-15 00:00:00,SRK/BTC,0.0000000167,0.0000000174,0.0000000166,0.0000000171,115701455.6632,1.93956792118234
1663113600,2022-09-14 00:00:00,SRK/BTC,0.0000000173,0.0000000175,0.0000000166,0.0000000166,322542077.9975,5.53236943000388
1663027200,2022-09-13 00:00:00,SRK/BTC,0.0000000163,0.0000000174,0.0000000156,0.0000000174,336407915.0093,5.37821212745
1662940800,2022-09-12 00:00:00,SRK/BTC,0.000000017,0.0000000172,0.0000000162,0.0000000162,252121859.2185,4.30158917175437
1662854400,2022-09-11 00:00:00,SRK/BTC,0.000000017,0.0000000173,0.000000017,0.000000017,135118610.5841,2.31530307183468
1662768000,2022-09-10 00:00:00,SRK/BTC,0.0000000173,0.0000000174,0.0000000169,0.0000000171,96905908.8581,1.66555080000675
1662681600,2022-09-09 00:00:00,SRK/BTC,0.0000000177,0.000000018,0.0000000171,0.0000000173,153286836.4734,2.68040853018379
1662595200,2022-09-08 00:00:00,SRK/BTC,0.0000000181,0.0000000184,0.0000000176,0.0000000178,313929398.3917,5.59750763410226
1662508800,2022-09-07 00:00:00,SRK/BTC,0.0000000182,0.0000000221,0.0000000177,0.0000000181,144205928.9555,2.60740850870016
1662422400,2022-09-06 00:00:00,SRK/BTC,0.0000000176,0.0000000184,0.0000000173,0.0000000182,122937379.5955,2.17292792380031
1662336000,2022-09-05 00:00:00,SRK/BTC,0.0000000171,0.0000000182,0.0000000171,0.0000000176,106854107.537,1.85369765884646
1662249600,2022-09-04 00:00:00,SRK/BTC,0.0000000173,0.0000000176,0.0000000171,0.0000000171,130681658.3975,2.26518291434463
1662163200,2022-09-03 00:00:00,SRK/BTC,0.0000000175,0.0000000177,0.0000000173,0.0000000173,97265039.1882,1.69246766221197
1662076800,2022-09-02 00:00:00,SRK/BTC,0.0000000171,0.0000000176,0.0000000169,0.0000000176,91436241.652,1.58977889931192
1661990400,2022-09-01 00:00:00,SRK/BTC,0.0000000179,0.000000018,0.0000000167,0.000000017,218072355.6736,3.89727501854141
1661904000,2022-08-31 00:00:00,SRK/BTC,0.0000000177,0.0000000182,0.000000017,0.0000000179,274373275.7712,4.86438534866333
1661817600,2022-08-30 00:00:00,SRK/BTC,0.0000000176,0.0000000184,0.0000000175,0.0000000177,13611651.2157,0.24305050844828
1661731200,2022-08-29 00:00:00,SRK/BTC,0.0000000181,0.0000000182,0.0000000173,0.0000000176,334184.2973,0.00590354524327
1661644800,2022-08-28 00:00:00,SRK/BTC,0.0000000177,0.0000000181,0.0000000174,0.0000000181,136947925.0287,2.41033073928527
1661558400,2022-08-27 00:00:00,SRK/BTC,0.0000000183,0.0000000186,0.0000000175,0.0000000177,116868955.6022,2.1210357161364
