https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume OMG
1663545600000,2022-09-19 00:00:00,OMG/ETH,0.0012574,0.0012663,0.0012515,0.0012653,0.029967900118228002,23.68442276
1663542000000,2022-09-18 23:00:00,OMG/ETH,0.0012548,0.0012548,0.0012512,0.0012521,0.021406397131096,17.09639576
1663538400000,2022-09-18 22:00:00,OMG/ETH,0.0012634,0.0012665,0.00125,0.0012573,0.03492136379061,27.7748857
1663534800000,2022-09-18 21:00:00,OMG/ETH,0.0012789,0.0012811,0.0012309,0.0012636,2.61225552413358,2067.31206405
1663531200000,2022-09-18 20:00:00,OMG/ETH,0.0012816,0.0012821,0.0012737,0.0012764,0.02934540778714,22.99076135
1663527600000,2022-09-18 19:00:00,OMG/ETH,0.0012853,0.001288,0.0012777,0.0012786,0.028081246592868,21.96249538
1663524000000,2022-09-18 18:00:00,OMG/ETH,0.0012785,0.001287,0.0012746,0.0012836,0.035794189865052,27.88578207
1663520400000,2022-09-18 17:00:00,OMG/ETH,0.0012712,0.0012799,0.0012694,0.0012785,0.11243735699389999,87.9447454
1663516800000,2022-09-18 16:00:00,OMG/ETH,0.0012618,0.001274,0.0012597,0.001274,0.0324276751071,25.45343415
1663513200000,2022-09-18 15:00:00,OMG/ETH,0.0012581,0.0012633,0.0012531,0.001262,0.0303067595669,24.01486495
1663509600000,2022-09-18 14:00:00,OMG/ETH,0.0012577,0.0012601,0.0012525,0.0012585,0.02864392604772,22.76037032
1663506000000,2022-09-18 13:00:00,OMG/ETH,0.0012622,0.0012641,0.0012543,0.0012578,0.029914531952584002,23.78321828
1663502400000,2022-09-18 12:00:00,OMG/ETH,0.0012589,0.0012613,0.0012534,0.0012582,0.018936347048352,15.05034736
1663498800000,2022-09-18 11:00:00,OMG/ETH,0.0012587,0.0012606,0.0012545,0.0012593,0.016795672191074,13.33730818
1663495200000,2022-09-18 10:00:00,OMG/ETH,0.0012598,0.0012619,0.0012555,0.0012598,0.033559118239169995,26.63844915
1663491600000,2022-09-18 09:00:00,OMG/ETH,0.0012583,0.0012608,0.0012542,0.0012557,0.035451584266913,28.232527089999998
1663488000000,2022-09-18 08:00:00,OMG/ETH,0.0012541,0.0012585,0.0012494,0.0012585,0.02349764295459,18.67115054
1663484400000,2022-09-18 07:00:00,OMG/ETH,0.0012552,0.0012552,0.0012509,0.0012542,0.015477760610578001,12.34074359
1663480800000,2022-09-18 06:00:00,OMG/ETH,0.0012544,0.0012596,0.0012544,0.001255,0.01044128523345,8.31974919
1663477200000,2022-09-18 05:00:00,OMG/ETH,0.0012553,0.001259,0.0012553,0.0012562,0.011266504845486002,8.96871903
1663473600000,2022-09-18 04:00:00,OMG/ETH,0.0012459,0.001256,0.0012459,0.0012547,0.015997894307988002,12.75037404
1663470000000,2022-09-18 03:00:00,OMG/ETH,0.0012519,0.0012531,0.0012483,0.0012483,0.014960524677767999,11.98471896
1663466400000,2022-09-18 02:00:00,OMG/ETH,0.0012536,0.0012575,0.0012463,0.0012498,0.031116833147478,24.89745011
1663462800000,2022-09-18 01:00:00,OMG/ETH,0.0012482,0.0012574,0.0012443,0.0012574,0.04978511441919001,39.59369685
1663459200000,2022-09-18 00:00:00,OMG/ETH,0.0012507,0.0012527,0.0012456,0.0012483,0.027612684744273,22.12023131
1663455600000,2022-09-17 23:00:00,OMG/ETH,0.0012468,0.0012476,0.0012417,0.0012476,0.024063426455643997,19.287773689999998
1663452000000,2022-09-17 22:00:00,OMG/ETH,0.0012463,0.0012498,0.0012431,0.0012444,0.024457576823472004,19.654111880000002
1663448400000,2022-09-17 21:00:00,OMG/ETH,0.001235,0.0012534,0.001235,0.0012488,0.04683862328868799,37.506905259999996
1663444800000,2022-09-17 20:00:00,OMG/ETH,0.001231,0.0012386,0.0012284,0.0012386,0.021380403327052,17.26174982
1663441200000,2022-09-17 19:00:00,OMG/ETH,0.001233,0.0012339,0.0012279,0.0012279,0.023355026468232,19.02030008
1663437600000,2022-09-17 18:00:00,OMG/ETH,0.0012362,0.0012362,0.0012297,0.0012335,0.021346149200329997,17.30534998
1663434000000,2022-09-17 17:00:00,OMG/ETH,0.0012363,0.0012454,0.0012309,0.0012335,0.03009910223,24.40138
1663430400000,2022-09-17 16:00:00,OMG/ETH,0.0012468,0.0012491,0.0012312,0.001234,0.031242557180100005,25.31811765
1663426800000,2022-09-17 15:00:00,OMG/ETH,0.0012438,0.0012475,0.0012364,0.0012439,0.027866085695875002,22.40219125
1663423200000,2022-09-17 14:00:00,OMG/ETH,0.0012537,0.001255,0.0012452,0.0012484,0.03113347894748,24.9387047
1663419600000,2022-09-17 13:00:00,OMG/ETH,0.001246,0.0012533,0.001246,0.0012512,0.028749806856672003,22.97778681
1663416000000,2022-09-17 12:00:00,OMG/ETH,0.0012395,0.0012493,0.0012395,0.0012453,0.026441561323338,21.23308546
1663412400000,2022-09-17 11:00:00,OMG/ETH,0.0012352,0.0012418,0.0012344,0.0012418,0.027424045289564,22.08410798
1663408800000,2022-09-17 10:00:00,OMG/ETH,0.0012372,0.0012385,0.0012343,0.0012352,0.024741215575488,20.03012919
1663405200000,2022-09-17 09:00:00,OMG/ETH,0.0012338,0.0012416,0.0012338,0.001237,0.02340439153066,18.92028418
1663401600000,2022-09-17 08:00:00,OMG/ETH,0.0012324,0.0012382,0.0012324,0.0012334,0.013594717108854,11.02214781
1663398000000,2022-09-17 07:00:00,OMG/ETH,0.0012329,0.0012341,0.0012309,0.001232,0.01562982777664,12.68654852
1663394400000,2022-09-17 06:00:00,OMG/ETH,0.0012351,0.0012386,0.0012308,0.0012308,0.025455718383204002,20.68225413
1663390800000,2022-09-17 05:00:00,OMG/ETH,0.0012366,0.0012369,0.0012284,0.0012328,0.028625545939976002,23.21994317
1663387200000,2022-09-17 04:00:00,OMG/ETH,0.0012324,0.0012361,0.0012319,0.0012319,0.018503462248398998,15.02026321
1663383600000,2022-09-17 03:00:00,OMG/ETH,0.0012343,0.0012383,0.00123,0.0012324,0.015968291145456,12.95706844
1663380000000,2022-09-17 02:00:00,OMG/ETH,0.0012317,0.0012408,0.0012317,0.0012363,0.018824269077198,15.22629546
1663376400000,2022-09-17 01:00:00,OMG/ETH,0.0012297,0.0012389,0.0012297,0.0012314,0.022395164454874,18.186750410000002
1663372800000,2022-09-17 00:00:00,OMG/ETH,0.0012339,0.0012427,0.0012285,0.0012288,0.037174500139008,30.25268566
1663369200000,2022-09-16 23:00:00,OMG/ETH,0.0012302,0.0012349,0.0012273,0.0012349,0.020146992688507,16.31467543
1663365600000,2022-09-16 22:00:00,OMG/ETH,0.0012317,0.0012317,0.0012257,0.0012305,0.025586644343075,20.79369715
1663362000000,2022-09-16 21:00:00,OMG/ETH,0.0012274,0.0012338,0.001225,0.0012326,0.026194164322217998,21.25114743
1663358400000,2022-09-16 20:00:00,OMG/ETH,0.0012322,0.0012357,0.0012245,0.0012327,0.027265740670811996,22.11871556
1663354800000,2022-09-16 19:00:00,OMG/ETH,0.0012275,0.0012325,0.001222,0.0012325,0.021900560778275003,17.76921767
1663351200000,2022-09-16 18:00:00,OMG/ETH,0.0012194,0.0012275,0.0012145,0.0012275,0.030590264630875,24.920785849999998
1663347600000,2022-09-16 17:00:00,OMG/ETH,0.001212,0.0012237,0.0012102,0.0012209,3.137436658173152,2569.77365728
1663344000000,2022-09-16 16:00:00,OMG/ETH,0.0012007,0.0012107,0.0012001,0.0012071,0.061777442523789,51.17839659
1663340400000,2022-09-16 15:00:00,OMG/ETH,0.0011977,0.0012045,0.0011938,0.001198,0.03511989329838,29.31543681
1663336800000,2022-09-16 14:00:00,OMG/ETH,0.001193,0.0012013,0.0011904,0.0011945,0.03668387359899,30.71065182
1663333200000,2022-09-16 13:00:00,OMG/ETH,0.001192,0.0011944,0.0011836,0.001193,0.02527394424422,21.18520054
1663329600000,2022-09-16 12:00:00,OMG/ETH,0.0011866,0.0011924,0.0011844,0.0011924,0.029771174537852,24.96743923
1663326000000,2022-09-16 11:00:00,OMG/ETH,0.0011815,0.001185,0.0011773,0.0011824,0.150095920257568,126.94174582
1663322400000,2022-09-16 10:00:00,OMG/ETH,0.0011785,0.001182,0.0011761,0.0011801,0.018227323057499998,15.445575
1663318800000,2022-09-16 09:00:00,OMG/ETH,0.0011756,0.0011772,0.0011697,0.0011767,0.025636024732556,21.78637268
1663315200000,2022-09-16 08:00:00,OMG/ETH,0.0011792,0.0011807,0.0011721,0.0011759,0.069326958262837,58.95650843
1663311600000,2022-09-16 07:00:00,OMG/ETH,0.0011821,0.0011821,0.0011773,0.0011776,0.020757350097408003,17.62682583
1663308000000,2022-09-16 06:00:00,OMG/ETH,0.0011822,0.0011842,0.0011782,0.0011823,0.026256272304255,22.20779185
1663304400000,2022-09-16 05:00:00,OMG/ETH,0.0011831,0.0011835,0.0011783,0.0011824,0.10043375233900799,84.94058892
