https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PERP,Volume EUR
1663545600,2022-09-19 00:00:00,PERP/EUR,0.581,0.581,0.581,0.581,0.00000000,0.0
1663459200,2022-09-18 00:00:00,PERP/EUR,0.602,0.602,0.581,0.581,1041.63021121,605.1871527130099
1663372800,2022-09-17 00:00:00,PERP/EUR,0.602,0.602,0.602,0.602,0.00000000,0.0
1663286400,2022-09-16 00:00:00,PERP/EUR,0.614,0.614,0.602,0.602,96.00211239,57.79327165877999
1663200000,2022-09-15 00:00:00,PERP/EUR,0.646,0.646,0.602,0.602,234.19896670,140.98777795339998
1663113600,2022-09-14 00:00:00,PERP/EUR,0.646,0.646,0.646,0.646,1416.00000000,914.736
1663027200,2022-09-13 00:00:00,PERP/EUR,0.686,0.686,0.686,0.686,0.00000000,0.0
1662940800,2022-09-12 00:00:00,PERP/EUR,0.686,0.686,0.686,0.686,144.05944735,98.8247808821
1662854400,2022-09-11 00:00:00,PERP/EUR,0.734,0.734,0.734,0.734,345.37109066,253.50238054444
1662768000,2022-09-10 00:00:00,PERP/EUR,0.710,0.710,0.710,0.710,157.74928455,112.00199203049999
1662681600,2022-09-09 00:00:00,PERP/EUR,0.699,0.721,0.699,0.721,1950.15162442,1406.05932120682
1662595200,2022-09-08 00:00:00,PERP/EUR,0.665,0.706,0.616,0.706,2909.00162670,2053.7551484502
1662508800,2022-09-07 00:00:00,PERP/EUR,0.639,0.675,0.600,0.675,1908.47318641,1288.21940082675
1662422400,2022-09-06 00:00:00,PERP/EUR,0.652,0.652,0.640,0.644,1764.70449996,1136.46969797424
1662336000,2022-09-05 00:00:00,PERP/EUR,0.640,0.640,0.640,0.640,0.00000000,0.0
1662249600,2022-09-04 00:00:00,PERP/EUR,0.640,0.640,0.640,0.640,0.00000000,0.0
1662163200,2022-09-03 00:00:00,PERP/EUR,0.675,0.678,0.640,0.640,361.37797534,231.2819042176
1662076800,2022-09-02 00:00:00,PERP/EUR,0.683,0.683,0.683,0.683,0.00000000,0.0
1661990400,2022-09-01 00:00:00,PERP/EUR,0.683,0.683,0.683,0.683,0.00000000,0.0
1661904000,2022-08-31 00:00:00,PERP/EUR,0.724,0.724,0.660,0.683,1520.07322460,1038.2100124018
1661817600,2022-08-30 00:00:00,PERP/EUR,0.724,0.724,0.724,0.724,0.00000000,0.0
1661731200,2022-08-29 00:00:00,PERP/EUR,0.724,0.724,0.724,0.724,0.00000000,0.0
1661644800,2022-08-28 00:00:00,PERP/EUR,0.724,0.724,0.724,0.724,0.00000000,0.0
1661558400,2022-08-27 00:00:00,PERP/EUR,0.724,0.724,0.724,0.724,0.00000000,0.0
1661472000,2022-08-26 00:00:00,PERP/EUR,0.769,0.769,0.724,0.724,1581.66288000,1145.12392512
1661385600,2022-08-25 00:00:00,PERP/EUR,0.785,0.785,0.785,0.785,153.00000000,120.105
1661299200,2022-08-24 00:00:00,PERP/EUR,0.762,0.762,0.762,0.762,0.00000000,0.0
1661212800,2022-08-23 00:00:00,PERP/EUR,0.762,0.762,0.762,0.762,0.00000000,0.0
1661126400,2022-08-22 00:00:00,PERP/EUR,0.762,0.762,0.762,0.762,0.00000000,0.0
1661040000,2022-08-21 00:00:00,PERP/EUR,0.762,0.762,0.762,0.762,50.65860188,38.60185463256
1660953600,2022-08-20 00:00:00,PERP/EUR,0.755,0.755,0.755,0.755,0.00000000,0.0
1660867200,2022-08-19 00:00:00,PERP/EUR,0.880,0.880,0.755,0.755,460.69654739,347.82589327945
1660780800,2022-08-18 00:00:00,PERP/EUR,0.881,0.881,0.881,0.881,0.00000000,0.0
1660694400,2022-08-17 00:00:00,PERP/EUR,0.934,0.934,0.881,0.881,3773.80203140,3324.7195896634003
1660608000,2022-08-16 00:00:00,PERP/EUR,0.908,0.932,0.903,0.903,1328.32046980,1199.4733842294
1660521600,2022-08-15 00:00:00,PERP/EUR,0.914,0.914,0.914,0.914,0.00000000,0.0
1660435200,2022-08-14 00:00:00,PERP/EUR,0.914,0.914,0.914,0.914,0.00000000,0.0
1660348800,2022-08-13 00:00:00,PERP/EUR,0.914,0.914,0.914,0.914,264.17067833,241.45199999362
1660262400,2022-08-12 00:00:00,PERP/EUR,1.066,1.066,1.066,1.066,0.00000000,0.0
1660176000,2022-08-11 00:00:00,PERP/EUR,1.066,1.071,1.066,1.066,194.85902226,207.71971772916
1660089600,2022-08-10 00:00:00,PERP/EUR,0.993,1.000,0.900,1.000,566.33744393,566.33744393
1660003200,2022-08-09 00:00:00,PERP/EUR,1.028,1.029,0.900,0.992,3481.42677444,3453.5753602444797
1659916800,2022-08-08 00:00:00,PERP/EUR,1.047,1.182,1.047,1.182,366.13468126,432.77119324931994
1659830400,2022-08-07 00:00:00,PERP/EUR,1.093,1.093,1.093,1.093,135.55153243,148.15782494599
1659744000,2022-08-06 00:00:00,PERP/EUR,1.111,1.111,1.111,1.111,0.00000000,0.0
1659657600,2022-08-05 00:00:00,PERP/EUR,1.201,1.201,1.092,1.111,750.65418440,833.9767988683999
1659571200,2022-08-04 00:00:00,PERP/EUR,0.880,1.253,0.880,1.200,1958.98021897,2350.776262764
1659484800,2022-08-03 00:00:00,PERP/EUR,0.742,0.742,0.742,0.742,0.00000000,0.0
1659398400,2022-08-02 00:00:00,PERP/EUR,0.742,0.742,0.742,0.742,0.00000000,0.0
1659312000,2022-08-01 00:00:00,PERP/EUR,0.742,0.742,0.742,0.742,283.03277375,210.0103181225
1659225600,2022-07-31 00:00:00,PERP/EUR,0.723,0.723,0.723,0.723,0.00000000,0.0
1659139200,2022-07-30 00:00:00,PERP/EUR,0.723,0.723,0.723,0.723,0.00000000,0.0
1659052800,2022-07-29 00:00:00,PERP/EUR,0.723,0.723,0.723,0.723,0.00000000,0.0
1658966400,2022-07-28 00:00:00,PERP/EUR,0.723,0.723,0.723,0.723,42.45531914,30.69519573822
1658880000,2022-07-27 00:00:00,PERP/EUR,0.750,0.750,0.750,0.750,0.00000000,0.0
1658793600,2022-07-26 00:00:00,PERP/EUR,0.750,0.750,0.750,0.750,0.00000000,0.0
1658707200,2022-07-25 00:00:00,PERP/EUR,0.751,0.751,0.750,0.750,51.25299406,38.439745545
1658620800,2022-07-24 00:00:00,PERP/EUR,0.807,0.807,0.807,0.807,0.00000000,0.0
1658534400,2022-07-23 00:00:00,PERP/EUR,0.807,0.807,0.807,0.807,60.00000000,48.42
1658448000,2022-07-22 00:00:00,PERP/EUR,0.808,0.808,0.808,0.808,24.78644665,20.0274488932
1658361600,2022-07-21 00:00:00,PERP/EUR,0.807,0.807,0.807,0.807,31.20117373,25.17934720011
1658275200,2022-07-20 00:00:00,PERP/EUR,0.820,0.820,0.820,0.820,0.00000000,0.0
1658188800,2022-07-19 00:00:00,PERP/EUR,0.820,0.820,0.820,0.820,0.00000000,0.0
1658102400,2022-07-18 00:00:00,PERP/EUR,0.820,0.820,0.820,0.820,17.61922096,14.4477611872
1658016000,2022-07-17 00:00:00,PERP/EUR,0.870,1.000,0.870,0.880,445.92672033,392.4155138904
1657929600,2022-07-16 00:00:00,PERP/EUR,0.827,0.870,0.827,0.870,260.65571913,226.7704756431
1657843200,2022-07-15 00:00:00,PERP/EUR,0.878,0.878,0.878,0.878,0.00000000,0.0
1657756800,2022-07-14 00:00:00,PERP/EUR,0.878,0.878,0.878,0.878,0.00000000,0.0
1657670400,2022-07-13 00:00:00,PERP/EUR,0.878,0.878,0.878,0.878,0.00000000,0.0
1657584000,2022-07-12 00:00:00,PERP/EUR,0.878,0.878,0.878,0.878,0.00000000,0.0
1657497600,2022-07-11 00:00:00,PERP/EUR,0.750,0.909,0.750,0.878,4274.24484642,3752.7869751567596
1657411200,2022-07-10 00:00:00,PERP/EUR,0.727,0.759,0.726,0.749,193.83903485,145.18543710264998
1657324800,2022-07-09 00:00:00,PERP/EUR,0.726,0.726,0.726,0.726,0.00000000,0.0
1657238400,2022-07-08 00:00:00,PERP/EUR,0.726,0.726,0.726,0.726,0.00000000,0.0
1657152000,2022-07-07 00:00:00,PERP/EUR,0.726,0.726,0.726,0.726,46.35239643,33.65183980818
1657065600,2022-07-06 00:00:00,PERP/EUR,0.703,0.730,0.703,0.730,1500.00000000,1095.0
1656979200,2022-07-05 00:00:00,PERP/EUR,0.617,0.617,0.617,0.617,0.00000000,0.0
1656892800,2022-07-04 00:00:00,PERP/EUR,0.608,0.617,0.608,0.617,500.00000000,308.5
1656806400,2022-07-03 00:00:00,PERP/EUR,0.614,0.614,0.614,0.614,86.66267733,53.210883880619996
1656720000,2022-07-02 00:00:00,PERP/EUR,0.606,0.606,0.606,0.606,0.00000000,0.0
1656633600,2022-07-01 00:00:00,PERP/EUR,0.589,0.610,0.589,0.606,439.29427143,266.21232848657996
1656547200,2022-06-30 00:00:00,PERP/EUR,0.600,0.600,0.564,0.564,2107.43039934,1188.5907452277597
1656460800,2022-06-29 00:00:00,PERP/EUR,0.658,0.658,0.634,0.634,3316.54415233,2102.6889925772202
1656374400,2022-06-28 00:00:00,PERP/EUR,0.729,0.731,0.688,0.688,1166.50895025,802.558157772
1656288000,2022-06-27 00:00:00,PERP/EUR,0.720,0.731,0.718,0.731,625.30486195,457.09785408545
1656201600,2022-06-26 00:00:00,PERP/EUR,0.793,0.850,0.720,0.720,8659.04873462,6234.5150889264005
1656115200,2022-06-25 00:00:00,PERP/EUR,0.765,0.765,0.713,0.720,1228.44841200,884.4828566399999
1656028800,2022-06-24 00:00:00,PERP/EUR,0.759,0.764,0.691,0.764,2166.99899875,1655.587235045
1655942400,2022-06-23 00:00:00,PERP/EUR,0.704,0.750,0.693,0.750,2000.39419572,1500.2956467899999
1655856000,2022-06-22 00:00:00,PERP/EUR,0.700,0.764,0.700,0.742,932.82506728,692.1561999217599
1655769600,2022-06-21 00:00:00,PERP/EUR,0.644,0.644,0.644,0.644,0.00000000,0.0
1655683200,2022-06-20 00:00:00,PERP/EUR,0.644,0.644,0.644,0.644,0.00000000,0.0
1655596800,2022-06-19 00:00:00,PERP/EUR,0.644,0.644,0.644,0.644,0.00000000,0.0
1655510400,2022-06-18 00:00:00,PERP/EUR,0.644,0.644,0.644,0.644,0.00000000,0.0
1655424000,2022-06-17 00:00:00,PERP/EUR,0.644,0.644,0.644,0.644,0.00000000,0.0
1655337600,2022-06-16 00:00:00,PERP/EUR,0.644,0.644,0.644,0.644,0.00000000,0.0
1655251200,2022-06-15 00:00:00,PERP/EUR,0.644,0.644,0.644,0.644,92.92312888,59.84249499872
1655164800,2022-06-14 00:00:00,PERP/EUR,0.760,0.760,0.760,0.760,0.00000000,0.0
1655078400,2022-06-13 00:00:00,PERP/EUR,0.761,0.761,0.760,0.760,81.61981952,62.0310628352
1654992000,2022-06-12 00:00:00,PERP/EUR,0.831,0.831,0.750,0.759,872.00575228,661.8523659805201
1654905600,2022-06-11 00:00:00,PERP/EUR,0.865,0.865,0.824,0.839,596.61462239,500.55966818521
1654819200,2022-06-10 00:00:00,PERP/EUR,0.971,0.971,0.971,0.971,512.37120269,497.51243781199
1654732800,2022-06-09 00:00:00,PERP/EUR,0.990,0.990,0.971,0.971,1567.69961819,1522.2363292624898
1654646400,2022-06-08 00:00:00,PERP/EUR,1.000,1.000,0.990,0.990,20.61678463,20.4106167837
1654560000,2022-06-07 00:00:00,PERP/EUR,1.101,1.101,1.101,1.101,0.00000000,0.0
1654473600,2022-06-06 00:00:00,PERP/EUR,1.101,1.101,1.101,1.101,0.00000000,0.0
1654387200,2022-06-05 00:00:00,PERP/EUR,1.162,1.162,1.101,1.101,2615.02180342,2879.13900556542
1654300800,2022-06-04 00:00:00,PERP/EUR,1.155,1.260,1.155,1.162,1895.74011185,2202.8500099697
1654214400,2022-06-03 00:00:00,PERP/EUR,1.164,1.164,1.137,1.137,1774.63019149,2017.75452772413
1654128000,2022-06-02 00:00:00,PERP/EUR,1.200,1.202,1.200,1.202,1096.81015872,1318.36581078144
1654041600,2022-06-01 00:00:00,PERP/EUR,1.200,1.260,1.200,1.200,59.80000001,71.76000001199999
1653955200,2022-05-31 00:00:00,PERP/EUR,1.187,1.439,1.187,1.264,199.75117056,252.48547958784
1653868800,2022-05-30 00:00:00,PERP/EUR,1.197,1.251,1.185,1.185,952.42334030,1128.6216582555
1653782400,2022-05-29 00:00:00,PERP/EUR,1.155,1.157,1.057,1.112,816.10595970,907.5098271864
1653696000,2022-05-28 00:00:00,PERP/EUR,1.070,1.100,1.070,1.100,198.65359995,218.518959945
1653609600,2022-05-27 00:00:00,PERP/EUR,1.100,1.100,1.100,1.100,49.99090910,54.99000001000001
1653523200,2022-05-26 00:00:00,PERP/EUR,1.180,1.234,1.100,1.100,1813.78739740,1995.16613714
1653436800,2022-05-25 00:00:00,PERP/EUR,1.410,1.411,1.250,1.250,4025.22355547,5031.5294443375005
1653350400,2022-05-24 00:00:00,PERP/EUR,1.286,1.628,1.286,1.486,2829.04896391,4203.96676037026
1653264000,2022-05-23 00:00:00,PERP/EUR,1.141,1.142,1.140,1.142,387.91573693,442.99977157405993
1653177600,2022-05-22 00:00:00,PERP/EUR,1.096,1.142,1.096,1.142,250.00000000,285.5
1653091200,2022-05-21 00:00:00,PERP/EUR,0.915,0.915,0.915,0.915,390.63309126,357.42927850290005
1653004800,2022-05-20 00:00:00,PERP/EUR,0.901,0.901,0.900,0.900,100.00000000,90.0
1652918400,2022-05-19 00:00:00,PERP/EUR,1.088,1.088,1.001,1.051,489.15705352,514.10406324952
1652832000,2022-05-18 00:00:00,PERP/EUR,1.088,1.088,1.088,1.088,0.00000000,0.0
1652745600,2022-05-17 00:00:00,PERP/EUR,1.111,1.111,1.088,1.088,271.04013733,294.89166941504004
1652659200,2022-05-16 00:00:00,PERP/EUR,1.250,1.310,1.111,1.275,1473.11124338,1878.2168353094999
1652572800,2022-05-15 00:00:00,PERP/EUR,1.286,1.350,1.286,1.350,15.55209954,20.995334379000003
1652486400,2022-05-14 00:00:00,PERP/EUR,1.284,1.286,1.284,1.286,330.00583708,424.38750648488
1652400000,2022-05-13 00:00:00,PERP/EUR,1.401,1.679,1.195,1.286,3033.83046315,3901.5059756109
1652313600,2022-05-12 00:00:00,PERP/EUR,1.400,1.400,1.400,1.400,600.00000000,840.0
1652227200,2022-05-11 00:00:00,PERP/EUR,1.719,1.719,1.400,1.400,1669.30693771,2337.029712794
1652140800,2022-05-10 00:00:00,PERP/EUR,1.824,1.894,1.745,1.745,2618.48792391,4569.26142722295
1652054400,2022-05-09 00:00:00,PERP/EUR,2.115,2.123,1.702,1.810,11669.22198384,21121.2917907504
1651968000,2022-05-08 00:00:00,PERP/EUR,2.102,2.181,2.064,2.102,9226.31854278,19393.72157692356
