https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume NEAR3S,Volume USDT
1663462800,2022-09-18 01:00:00,NEAR3S/USDT,0.063056,0.063056,0.062519,0.062519,567.4561,35.5476430001
1663459200,2022-09-18 00:00:00,NEAR3S/USDT,0.062364,0.063529,0.061729,0.062295,63349.1277,3951.768164648
1663455600,2022-09-17 23:00:00,NEAR3S/USDT,0.062132,0.062385,0.061551,0.062045,42471.4274,2634.3759363613
1663452000,2022-09-17 22:00:00,NEAR3S/USDT,0.063798,0.063857,0.062044,0.062045,53501.782,3379.3584664033
1663448400,2022-09-17 21:00:00,NEAR3S/USDT,0.064501,0.064955,0.063399,0.064052,3445.9588,220.6712134761
1663444800,2022-09-17 20:00:00,NEAR3S/USDT,0.064999,0.064999,0.063927,0.064038,8689.7945,562.4383209541
1663441200,2022-09-17 19:00:00,NEAR3S/USDT,0.064484,0.065412,0.064481,0.064481,43110.6365,2803.7299686213
1663437600,2022-09-17 18:00:00,NEAR3S/USDT,0.063378,0.064955,0.063372,0.064955,31154.4329,1988.8286532621
1663434000,2022-09-17 17:00:00,NEAR3S/USDT,0.063482,0.063989,0.062811,0.063958,23674.7012,1504.4736032867
1663430400,2022-09-17 16:00:00,NEAR3S/USDT,0.065436,0.065803,0.063739,0.064002,41873.1314,2692.74235015
1663426800,2022-09-17 15:00:00,NEAR3S/USDT,0.06482,0.065436,0.064217,0.065436,114959.6788,7458.2415075301
1663423200,2022-09-17 14:00:00,NEAR3S/USDT,0.066302,0.066334,0.064343,0.06482,65362.9213,4266.4728623691
1663419600,2022-09-17 13:00:00,NEAR3S/USDT,0.066842,0.067263,0.066452,0.067256,1852.9434,124.1541327582
1663416000,2022-09-17 12:00:00,NEAR3S/USDT,0.068162,0.068403,0.067125,0.067669,17946.4566,1208.5987273656
1663412400,2022-09-17 11:00:00,NEAR3S/USDT,0.067293,0.068153,0.067251,0.067675,45892.6678,3094.9212761084
1663408800,2022-09-17 10:00:00,NEAR3S/USDT,0.066304,0.067742,0.065861,0.067742,28942.3408,1927.2629148274
1663405200,2022-09-17 09:00:00,NEAR3S/USDT,0.065187,0.066799,0.064295,0.066799,93196.7414,6073.8389779751
1663401600,2022-09-17 08:00:00,NEAR3S/USDT,0.06761,0.06761,0.064344,0.065412,260516.78983441,17057.22375770996766
1663398000,2022-09-17 07:00:00,NEAR3S/USDT,0.068085,0.068378,0.067894,0.068378,8131.2416,552.8535816062
1663394400,2022-09-17 06:00:00,NEAR3S/USDT,0.068564,0.068564,0.068085,0.068085,1669.6909,114.0939001953
1663390800,2022-09-17 05:00:00,NEAR3S/USDT,0.068058,0.069354,0.068057,0.068595,16462.6577,1132.9069743922
1663387200,2022-09-17 04:00:00,NEAR3S/USDT,0.067786,0.067787,0.067262,0.067262,9918.5514,670.0148896048
1663383600,2022-09-17 03:00:00,NEAR3S/USDT,0.067818,0.068696,0.067786,0.068696,24767.1473,1689.1379635953
1663380000,2022-09-17 02:00:00,NEAR3S/USDT,0.067743,0.068217,0.067351,0.067818,28163.6488,1907.7898751723
1663376400,2022-09-17 01:00:00,NEAR3S/USDT,0.068494,0.068966,0.067003,0.067218,237894.0911,16054.3104780917
1663372800,2022-09-17 00:00:00,NEAR3S/USDT,0.070873,0.07109,0.065835,0.068469,123709.9332,8407.8229772883
1663369200,2022-09-16 23:00:00,NEAR3S/USDT,0.070156,0.072489,0.070156,0.070813,32665.537,2323.3318568603
1663365600,2022-09-16 22:00:00,NEAR3S/USDT,0.070156,0.070189,0.069109,0.070155,69677.2261,4855.0881064855
1663362000,2022-09-16 21:00:00,NEAR3S/USDT,0.069352,0.070157,0.069281,0.070015,43282.6764,3020.3196276568
1663358400,2022-09-16 20:00:00,NEAR3S/USDT,0.070765,0.071131,0.069334,0.0695,32150.9632,2240.0941625679
1663354800,2022-09-16 19:00:00,NEAR3S/USDT,0.072111,0.072474,0.07091,0.071633,31350.9515,2248.8457669489
1663351200,2022-09-16 18:00:00,NEAR3S/USDT,0.074247,0.074752,0.07204,0.07204,40308.8304,2959.3533693202
1663347600,2022-09-16 17:00:00,NEAR3S/USDT,0.074203,0.075867,0.072425,0.07372,47977.9991,3557.5492626442
1663344000,2022-09-16 16:00:00,NEAR3S/USDT,0.072408,0.076542,0.071759,0.075163,60117.6498,4491.4655909738
1663340400,2022-09-16 15:00:00,NEAR3S/USDT,0.071509,0.073265,0.070824,0.071638,65013.6489,4664.7919487037
1663336800,2022-09-16 14:00:00,NEAR3S/USDT,0.074198,0.074384,0.07025,0.071509,73748.9714,5293.8407278821
1663333200,2022-09-16 13:00:00,NEAR3S/USDT,0.071497,0.074198,0.071497,0.073993,150238.9035,10940.5729004825
1663329600,2022-09-16 12:00:00,NEAR3S/USDT,0.068265,0.071509,0.068265,0.070614,41392.603,2899.7039445726
1663326000,2022-09-16 11:00:00,NEAR3S/USDT,0.069551,0.070334,0.068295,0.068639,33114.2626,2310.4876107134
1663322400,2022-09-16 10:00:00,NEAR3S/USDT,0.071509,0.071871,0.069551,0.069907,62965.4412,4434.3711859503
1663318800,2022-09-16 09:00:00,NEAR3S/USDT,0.072623,0.073162,0.071494,0.071494,116026.8606,8337.7620394427
1663315200,2022-09-16 08:00:00,NEAR3S/USDT,0.070392,0.073655,0.070383,0.073343,64113.7102,4598.6093026168
1663311600,2022-09-16 07:00:00,NEAR3S/USDT,0.069481,0.070392,0.069481,0.070392,58844.4827,4096.8490337251
1663308000,2022-09-16 06:00:00,NEAR3S/USDT,0.070391,0.070391,0.069281,0.069549,61045.7706,4244.9013492108
1663304400,2022-09-16 05:00:00,NEAR3S/USDT,0.070198,0.070301,0.069533,0.069533,44171.1836,3094.5451650379
1663300800,2022-09-16 04:00:00,NEAR3S/USDT,0.070757,0.071057,0.070019,0.070182,18203.7741,1282.2288073114
1663297200,2022-09-16 03:00:00,NEAR3S/USDT,0.072037,0.072404,0.070834,0.071114,37415.0939,2673.6670252099
1663293600,2022-09-16 02:00:00,NEAR3S/USDT,0.071446,0.073655,0.071008,0.072037,102083.5501,7402.2572462472
1663290000,2022-09-16 01:00:00,NEAR3S/USDT,0.071703,0.072655,0.070806,0.071929,93912.352,6730.3020869136
1663286400,2022-09-16 00:00:00,NEAR3S/USDT,0.072121,0.074198,0.071714,0.072008,102754.9374,7478.9201963067
1663282800,2022-09-15 23:00:00,NEAR3S/USDT,0.072523,0.073655,0.072121,0.072121,27054.8311,1969.6866280875
1663279200,2022-09-15 22:00:00,NEAR3S/USDT,0.070458,0.074752,0.070118,0.072522,151326.0898,11086.5026985384
1663275600,2022-09-15 21:00:00,NEAR3S/USDT,0.06883,0.070458,0.06883,0.070378,29480.8889,2062.0776214519
1663272000,2022-09-15 20:00:00,NEAR3S/USDT,0.069755,0.070155,0.06874,0.06874,64319.194,4464.7366356811
1663268400,2022-09-15 19:00:00,NEAR3S/USDT,0.070648,0.07131,0.06949,0.070156,73181.112,5154.6393860823
1663264800,2022-09-15 18:00:00,NEAR3S/USDT,0.069667,0.070762,0.069531,0.070648,120954.7122,8475.0911113234
1663261200,2022-09-15 17:00:00,NEAR3S/USDT,0.069058,0.069667,0.068344,0.069474,25815.9086,1788.4329601158
1663257600,2022-09-15 16:00:00,NEAR3S/USDT,0.070155,0.071318,0.069083,0.069207,118601.2309,8279.2351817932
1663254000,2022-09-15 15:00:00,NEAR3S/USDT,0.069664,0.070458,0.068527,0.070023,182618.5853,12680.6210825835
1663250400,2022-09-15 14:00:00,NEAR3S/USDT,0.065173,0.069667,0.065173,0.068692,136084.9091,9200.256868228
1663246800,2022-09-15 13:00:00,NEAR3S/USDT,0.065411,0.067,0.065186,0.065186,182775.0331,12117.3662932833
1663243200,2022-09-15 12:00:00,NEAR3S/USDT,0.06483,0.066272,0.06366,0.065411,131759.2371,8581.2321654822
