https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI3S,Volume USDT
1663459200,2022-09-18 00:00:00,UNI3S/USDT,0.8425,0.861,0.8425,0.849,518.6447,439.19814654
1663455600,2022-09-17 23:00:00,UNI3S/USDT,0.8455,0.8455,0.8326,0.8326,266.7303,222.93985977
1663452000,2022-09-17 22:00:00,UNI3S/USDT,0.8541,0.8626,0.8541,0.8626,0.893,0.7677518
1663448400,2022-09-17 21:00:00,UNI3S/USDT,0.86,0.86,0.86,0.86,0,0
1663444800,2022-09-17 20:00:00,UNI3S/USDT,0.86,0.86,0.86,0.86,0.3,0.258
1663441200,2022-09-17 19:00:00,UNI3S/USDT,0.8668,0.867,0.8668,0.867,228.1053,197.74207132
1663437600,2022-09-17 18:00:00,UNI3S/USDT,0.8525,0.8525,0.8525,0.8525,0.23,0.196075
1663434000,2022-09-17 17:00:00,UNI3S/USDT,0.849,0.8653,0.849,0.855,4638.1786,3973.3913021
1663430400,2022-09-17 16:00:00,UNI3S/USDT,0.8636,0.8636,0.8455,0.8552,41.2286,34.95497619
1663426800,2022-09-17 15:00:00,UNI3S/USDT,0.8841,0.8841,0.8639,0.8639,34.8018,30.08610411
1663423200,2022-09-17 14:00:00,UNI3S/USDT,0.8795,0.8813,0.872,0.872,173.2596,152.3728767
1663419600,2022-09-17 13:00:00,UNI3S/USDT,0.887,0.887,0.887,0.887,0.839,0.744193
1663416000,2022-09-17 12:00:00,UNI3S/USDT,0.9146,0.9147,0.8769,0.8769,1515.7008,1351.6789228
1663412400,2022-09-17 11:00:00,UNI3S/USDT,0.9025,0.9025,0.9025,0.9025,0,0
1663408800,2022-09-17 10:00:00,UNI3S/USDT,0.9025,0.9025,0.9025,0.9025,2.2161,2.00003025
1663405200,2022-09-17 09:00:00,UNI3S/USDT,0.8891,0.8891,0.8891,0.8891,96.4682,85.76987662
1663401600,2022-09-17 08:00:00,UNI3S/USDT,0.8901,0.8901,0.8901,0.8901,61.2445,54.51372945
1663398000,2022-09-17 07:00:00,UNI3S/USDT,0.8947,0.8947,0.8947,0.8947,20.7038,18.52368986
1663394400,2022-09-17 06:00:00,UNI3S/USDT,0.9128,0.9128,0.9032,0.9112,250.5218,228.24404688
1663390800,2022-09-17 05:00:00,UNI3S/USDT,0.8861,0.919,0.8861,0.9152,108.5479,98.64490173
1663387200,2022-09-17 04:00:00,UNI3S/USDT,0.8747,0.8754,0.8612,0.8722,1019.8077,886.35717572
1663383600,2022-09-17 03:00:00,UNI3S/USDT,0.8929,0.8929,0.8929,0.8929,0,0
1663380000,2022-09-17 02:00:00,UNI3S/USDT,0.897,0.9027,0.8857,0.8929,62.8072,56.2787733
1663376400,2022-09-17 01:00:00,UNI3S/USDT,0.9072,0.9072,0.8833,0.8838,112.2402,99.40374969
1663372800,2022-09-17 00:00:00,UNI3S/USDT,0.9304,0.9354,0.8607,0.9212,7594.7184,6607.68376219
1663369200,2022-09-16 23:00:00,UNI3S/USDT,0.9418,0.9459,0.929,0.929,133.5438,125.29306153
1663365600,2022-09-16 22:00:00,UNI3S/USDT,0.9365,0.9418,0.9365,0.9418,53.0673,49.96752965
1663362000,2022-09-16 21:00:00,UNI3S/USDT,0.9254,0.9365,0.9172,0.9365,127.2659,117.31720241
1663358400,2022-09-16 20:00:00,UNI3S/USDT,0.9518,0.9518,0.9262,0.9366,1733.8589,1613.66610477
1663354800,2022-09-16 19:00:00,UNI3S/USDT,0.9538,0.9841,0.9441,0.9554,2603.0481,2499.72122104
1663351200,2022-09-16 18:00:00,UNI3S/USDT,0.9714,0.9873,0.9632,0.9632,354.8493,347.43543777
1663347600,2022-09-16 17:00:00,UNI3S/USDT,0.9747,1.0005,0.9552,0.979,2032.4028,1965.1789614
1663344000,2022-09-16 16:00:00,UNI3S/USDT,0.9554,1.0061,0.9554,0.9681,1289.0232,1252.42909624
1663340400,2022-09-16 15:00:00,UNI3S/USDT,0.9504,0.965,0.9347,0.9459,42.9484,40.63607364
1663336800,2022-09-16 14:00:00,UNI3S/USDT,0.9827,0.9845,0.9254,0.9459,1063.7036,1008.10287934
1663333200,2022-09-16 13:00:00,UNI3S/USDT,0.9457,0.9971,0.9347,0.9916,4459.5004,4252.06968956
1663329600,2022-09-16 12:00:00,UNI3S/USDT,0.9032,0.9459,0.9032,0.9362,230.3792,210.56984267
1663326000,2022-09-16 11:00:00,UNI3S/USDT,0.9226,0.9548,0.9048,0.9048,2217.5457,2045.05357845
1663322400,2022-09-16 10:00:00,UNI3S/USDT,0.9459,0.959,0.9205,0.9236,136.4339,127.06663091
1663318800,2022-09-16 09:00:00,UNI3S/USDT,0.9347,0.9347,0.9254,0.9254,58.281,54.14916057
1663315200,2022-09-16 08:00:00,UNI3S/USDT,0.9102,0.9549,0.9102,0.9457,164.4676,153.95682296
1663311600,2022-09-16 07:00:00,UNI3S/USDT,0.904,0.927,0.904,0.9074,66.733,60.7154573
