https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CEUR,Volume BTC
1663452000,2022-09-17 22:00:00,CEUR/BTC,0.0000497,0.0000497,0.0000497,0.0000497,1.226,0.0000609322
1663448400,2022-09-17 21:00:00,CEUR/BTC,0.0000499,0.0000499,0.0000499,0.0000499,0,0
1663444800,2022-09-17 20:00:00,CEUR/BTC,0.0000499,0.0000499,0.0000499,0.0000499,0,0
1663441200,2022-09-17 19:00:00,CEUR/BTC,0.0000499,0.0000499,0.0000499,0.0000499,0,0
1663437600,2022-09-17 18:00:00,CEUR/BTC,0.0000499,0.0000499,0.0000499,0.0000499,2.3584,0.00011768416
1663434000,2022-09-17 17:00:00,CEUR/BTC,0.0000499,0.0000499,0.0000499,0.0000499,0,0
1663430400,2022-09-17 16:00:00,CEUR/BTC,0.0000499,0.0000499,0.0000499,0.0000499,19.9443,0.00099522057
1663426800,2022-09-17 15:00:00,CEUR/BTC,0.0000501,0.0000501,0.0000501,0.0000501,0,0
1663423200,2022-09-17 14:00:00,CEUR/BTC,0.0000502,0.0000502,0.0000501,0.0000501,9.0923,0.00045561075
1663419600,2022-09-17 13:00:00,CEUR/BTC,0.0000501,0.0000501,0.0000501,0.0000501,0,0
1663416000,2022-09-17 12:00:00,CEUR/BTC,0.0000501,0.0000501,0.0000501,0.0000501,2.7444,0.00013749444
1663412400,2022-09-17 11:00:00,CEUR/BTC,0.0000497,0.0000497,0.0000497,0.0000497,0,0
1663408800,2022-09-17 10:00:00,CEUR/BTC,0.0000497,0.0000497,0.0000497,0.0000497,0,0
1663405200,2022-09-17 09:00:00,CEUR/BTC,0.0000497,0.0000497,0.0000497,0.0000497,0,0
1663401600,2022-09-17 08:00:00,CEUR/BTC,0.0000497,0.0000497,0.0000497,0.0000497,0,0
1663398000,2022-09-17 07:00:00,CEUR/BTC,0.0000497,0.0000497,0.0000497,0.0000497,0,0
1663394400,2022-09-17 06:00:00,CEUR/BTC,0.0000497,0.0000497,0.0000497,0.0000497,0.8324,0.00004137028
1663390800,2022-09-17 05:00:00,CEUR/BTC,0.0000501,0.0000501,0.0000501,0.0000501,0,0
1663387200,2022-09-17 04:00:00,CEUR/BTC,0.0000501,0.0000501,0.0000501,0.0000501,0,0
1663383600,2022-09-17 03:00:00,CEUR/BTC,0.0000501,0.0000501,0.0000501,0.0000501,0,0
1663380000,2022-09-17 02:00:00,CEUR/BTC,0.0000501,0.0000501,0.0000501,0.0000501,0,0
1663376400,2022-09-17 01:00:00,CEUR/BTC,0.0000501,0.0000501,0.0000501,0.0000501,0,0
1663372800,2022-09-17 00:00:00,CEUR/BTC,0.0000501,0.0000501,0.0000501,0.0000501,3.6515,0.00018294015
1663369200,2022-09-16 23:00:00,CEUR/BTC,0.0000502,0.0000502,0.0000502,0.0000502,0,0
1663365600,2022-09-16 22:00:00,CEUR/BTC,0.0000502,0.0000502,0.0000502,0.0000502,0,0
1663362000,2022-09-16 21:00:00,CEUR/BTC,0.0000502,0.0000502,0.0000502,0.0000502,0,0
1663358400,2022-09-16 20:00:00,CEUR/BTC,0.0000504,0.0000504,0.0000502,0.0000502,110.3422,0.00553930316
1663354800,2022-09-16 19:00:00,CEUR/BTC,0.0000505,0.0000505,0.0000505,0.0000505,0.5854,0.0000295627
1663351200,2022-09-16 18:00:00,CEUR/BTC,0.0000513,0.0000513,0.0000513,0.0000513,0,0
1663347600,2022-09-16 17:00:00,CEUR/BTC,0.0000507,0.0000513,0.0000507,0.0000513,25.3638,0.00128961374
1663344000,2022-09-16 16:00:00,CEUR/BTC,0.0000503,0.0000503,0.0000503,0.0000503,0,0
1663340400,2022-09-16 15:00:00,CEUR/BTC,0.0000503,0.0000503,0.0000503,0.0000503,0,0
1663336800,2022-09-16 14:00:00,CEUR/BTC,0.0000503,0.0000503,0.0000503,0.0000503,2087.2276,0.10498754828
1663333200,2022-09-16 13:00:00,CEUR/BTC,0.0000499,0.0000499,0.0000499,0.0000499,0,0
1663329600,2022-09-16 12:00:00,CEUR/BTC,0.0000499,0.0000499,0.0000499,0.0000499,0,0
1663326000,2022-09-16 11:00:00,CEUR/BTC,0.0000499,0.0000499,0.0000499,0.0000499,0.8002,0.00003992998
1663322400,2022-09-16 10:00:00,CEUR/BTC,0.0000503,0.0000503,0.0000503,0.0000503,0,0
1663318800,2022-09-16 09:00:00,CEUR/BTC,0.0000503,0.0000503,0.0000503,0.0000503,0,0
1663315200,2022-09-16 08:00:00,CEUR/BTC,0.0000503,0.0000503,0.0000503,0.0000503,0,0
1663311600,2022-09-16 07:00:00,CEUR/BTC,0.0000503,0.0000503,0.0000503,0.0000503,0.7564,0.00003804692
1663308000,2022-09-16 06:00:00,CEUR/BTC,0.0000502,0.0000502,0.0000502,0.0000502,0,0
1663304400,2022-09-16 05:00:00,CEUR/BTC,0.0000502,0.0000502,0.0000502,0.0000502,0.8961,0.00004498422
1663300800,2022-09-16 04:00:00,CEUR/BTC,0.0000498,0.0000498,0.0000498,0.0000498,0,0
1663297200,2022-09-16 03:00:00,CEUR/BTC,0.00005,0.00005,0.0000498,0.0000498,1.463,0.0000728874
1663293600,2022-09-16 02:00:00,CEUR/BTC,0.0000497,0.0000497,0.0000497,0.0000497,0,0
1663290000,2022-09-16 01:00:00,CEUR/BTC,0.0000497,0.0000497,0.0000497,0.0000497,0.464,0.0000230608
1663286400,2022-09-16 00:00:00,CEUR/BTC,0.0000504,0.0000504,0.0000504,0.0000504,0,0
1663282800,2022-09-15 23:00:00,CEUR/BTC,0.0000504,0.0000504,0.0000504,0.0000504,0,0
1663279200,2022-09-15 22:00:00,CEUR/BTC,0.0000504,0.0000504,0.0000504,0.0000504,2.381,0.0001200024
1663275600,2022-09-15 21:00:00,CEUR/BTC,0.0000504,0.0000504,0.0000504,0.0000504,0,0
1663272000,2022-09-15 20:00:00,CEUR/BTC,0.0000504,0.0000504,0.0000504,0.0000504,0,0
1663268400,2022-09-15 19:00:00,CEUR/BTC,0.0000504,0.0000504,0.0000504,0.0000504,2.4859,0.00012528936
1663264800,2022-09-15 18:00:00,CEUR/BTC,0.0000494,0.0000494,0.0000494,0.0000494,0,0
1663261200,2022-09-15 17:00:00,CEUR/BTC,0.0000494,0.0000494,0.0000494,0.0000494,1.8745,0.0000926003
1663257600,2022-09-15 16:00:00,CEUR/BTC,0.0000501,0.0000503,0.0000501,0.0000503,136.2586,0.00685344562
1663254000,2022-09-15 15:00:00,CEUR/BTC,0.0000504,0.0000505,0.0000504,0.0000505,14.4947,0.00073141684
1663250400,2022-09-15 14:00:00,CEUR/BTC,0.0000493,0.0000493,0.0000493,0.0000493,0,0
1663246800,2022-09-15 13:00:00,CEUR/BTC,0.0000491,0.0000496,0.000049,0.0000493,368.0463,0.01812575337
1663243200,2022-09-15 12:00:00,CEUR/BTC,0.0000503,0.0000503,0.0000503,0.0000503,2.1716,0.00010923148
1663239600,2022-09-15 11:00:00,CEUR/BTC,0.0000501,0.0000501,0.0000501,0.0000501,0,0
1663236000,2022-09-15 10:00:00,CEUR/BTC,0.0000501,0.0000501,0.0000501,0.0000501,0.2095,0.00001049595
1663232400,2022-09-15 09:00:00,CEUR/BTC,0.0000483,0.0000483,0.0000483,0.0000483,0,0
1663228800,2022-09-15 08:00:00,CEUR/BTC,0.0000483,0.0000483,0.0000483,0.0000483,0,0
1663225200,2022-09-15 07:00:00,CEUR/BTC,0.0000483,0.0000483,0.0000483,0.0000483,0,0
1663221600,2022-09-15 06:00:00,CEUR/BTC,0.0000495,0.0000495,0.0000483,0.0000483,1.4527,0.00007016553
1663218000,2022-09-15 05:00:00,CEUR/BTC,0.0000495,0.0000495,0.0000495,0.0000495,0,0
1663214400,2022-09-15 04:00:00,CEUR/BTC,0.0000495,0.0000495,0.0000495,0.0000495,0,0
1663210800,2022-09-15 03:00:00,CEUR/BTC,0.0000495,0.0000495,0.0000495,0.0000495,0,0
1663207200,2022-09-15 02:00:00,CEUR/BTC,0.0000495,0.0000495,0.0000495,0.0000495,0,0
1663203600,2022-09-15 01:00:00,CEUR/BTC,0.0000495,0.0000495,0.0000495,0.0000495,0,0
1663200000,2022-09-15 00:00:00,CEUR/BTC,0.0000495,0.0000495,0.0000495,0.0000495,0,0
1663196400,2022-09-14 23:00:00,CEUR/BTC,0.0000495,0.0000495,0.0000495,0.0000495,0,0
1663192800,2022-09-14 22:00:00,CEUR/BTC,0.0000495,0.0000495,0.0000495,0.0000495,0,0
1663189200,2022-09-14 21:00:00,CEUR/BTC,0.00005,0.00005,0.0000495,0.0000495,5.5665,0.0002755418
1663185600,2022-09-14 20:00:00,CEUR/BTC,0.00005,0.00005,0.00005,0.00005,0,0
1663182000,2022-09-14 19:00:00,CEUR/BTC,0.00005,0.00005,0.00005,0.00005,0,0
1663178400,2022-09-14 18:00:00,CEUR/BTC,0.0000501,0.0000505,0.0000495,0.00005,92.8642,0.00466088054
1663174800,2022-09-14 17:00:00,CEUR/BTC,0.0000489,0.0000489,0.0000489,0.0000489,0,0
1663171200,2022-09-14 16:00:00,CEUR/BTC,0.0000489,0.0000489,0.0000489,0.0000489,0,0
1663167600,2022-09-14 15:00:00,CEUR/BTC,0.0000489,0.0000489,0.0000489,0.0000489,132.6748,0.00648779772
1663164000,2022-09-14 14:00:00,CEUR/BTC,0.0000495,0.0000495,0.0000495,0.0000495,0,0
1663160400,2022-09-14 13:00:00,CEUR/BTC,0.0000495,0.0000495,0.0000495,0.0000495,0,0
1663156800,2022-09-14 12:00:00,CEUR/BTC,0.0000491,0.0000495,0.0000491,0.0000495,11.6648,0.00057597404
1663153200,2022-09-14 11:00:00,CEUR/BTC,0.0000491,0.0000491,0.0000491,0.0000491,0,0
1663149600,2022-09-14 10:00:00,CEUR/BTC,0.0000491,0.0000491,0.0000491,0.0000491,0,0
1663146000,2022-09-14 09:00:00,CEUR/BTC,0.0000491,0.0000491,0.0000491,0.0000491,0,0
