https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RGT,Volume EUR
1655856000,2022-06-22 00:00:00,RGT/EUR,4.33965,4.33965,4.33965,4.33965,0.00000000,0.0
1655769600,2022-06-21 00:00:00,RGT/EUR,4.21040,4.33965,4.21010,4.33965,65.82953335,285.6771344023275
1655683200,2022-06-20 00:00:00,RGT/EUR,4.99611,4.99611,4.21029,4.21029,10.96191227,46.15282961125829
1655596800,2022-06-19 00:00:00,RGT/EUR,5.00001,5.00001,5.00001,5.00001,6.67643674,33.382250464367395
1655510400,2022-06-18 00:00:00,RGT/EUR,5.00015,5.00015,5.00001,5.00001,14.35590000,71.779643559
1655424000,2022-06-17 00:00:00,RGT/EUR,5.00015,5.00015,5.00015,5.00015,9.94995026,49.75124379253899
1655337600,2022-06-16 00:00:00,RGT/EUR,5.99003,5.99003,5.00001,5.00015,58.93428466,294.680263442699
1655251200,2022-06-15 00:00:00,RGT/EUR,6.60000,6.99999,6.60000,6.99999,73.13005994,511.9096882794006
1655164800,2022-06-14 00:00:00,RGT/EUR,4.40000,7.19297,4.00000,6.79999,528.14671562,3591.392384748844
1655078400,2022-06-13 00:00:00,RGT/EUR,5.10001,5.10001,4.24086,4.40000,641.29818560,2821.7120166400005
1654992000,2022-06-12 00:00:00,RGT/EUR,5.29824,6.29999,5.00001,5.27241,326.85252676,1723.3005306146915
1654905600,2022-06-11 00:00:00,RGT/EUR,5.30000,5.30000,5.12815,5.12815,23.00992519,117.9983478630985
1654819200,2022-06-10 00:00:00,RGT/EUR,6.00000,6.36936,5.50000,5.73653,202.97072477,1164.3476517648483
1654732800,2022-06-09 00:00:00,RGT/EUR,5.79199,5.79271,5.79199,5.79271,31.17677297,180.5980045510487
1654646400,2022-06-08 00:00:00,RGT/EUR,5.80001,5.80001,5.68981,5.72952,108.69785762,622.7865491909423
1654560000,2022-06-07 00:00:00,RGT/EUR,6.00000,6.00000,6.00000,6.00000,0.00000000,0.0
1654473600,2022-06-06 00:00:00,RGT/EUR,6.33287,6.33287,6.00000,6.00000,23.62004446,141.72026676
1654387200,2022-06-05 00:00:00,RGT/EUR,6.06606,6.06606,6.06606,6.06606,1.64851651,10.000000060650601
1654300800,2022-06-04 00:00:00,RGT/EUR,6.41811,6.44130,6.06606,6.06606,17.88791476,108.50916420904561
1654214400,2022-06-03 00:00:00,RGT/EUR,6.24413,6.24413,6.24413,6.24413,1.60150414,10.0000000456982
1654128000,2022-06-02 00:00:00,RGT/EUR,6.24413,6.24413,6.24413,6.24413,1.60150414,10.0000000456982
1654041600,2022-06-01 00:00:00,RGT/EUR,6.24413,6.24413,6.24413,6.24413,4.86685619,30.3892827416647
1653955200,2022-05-31 00:00:00,RGT/EUR,6.07219,6.07219,6.07219,6.07219,0.00000000,0.0
1653868800,2022-05-30 00:00:00,RGT/EUR,5.92650,6.07219,5.85430,6.07219,35.43956550,215.195775233445
