https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SC,Volume BTC
1659139200,2022-07-30 00:00:00,SC/BTC,1.9e-07,1.9e-07,1.8e-07,1.8e-07,0.04108317,217797.10724137
1659052800,2022-07-29 00:00:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.00409778,21567.2631579
1658966400,2022-07-28 00:00:00,SC/BTC,1.9e-07,1.9e-07,1.8e-07,1.8e-07,0.00569501,31609.46068921
1658880000,2022-07-27 00:00:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.000202,1063.15789474
1658793600,2022-07-26 00:00:00,SC/BTC,1.8e-07,1.9e-07,1.8e-07,1.9e-07,0.26824086,1414357.32867588
1658707200,2022-07-25 00:00:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.03544396,186547.19519648
1658620800,2022-07-24 00:00:00,SC/BTC,1.9e-07,1.9e-07,1.8e-07,1.9e-07,0.1802653,970625.01140607
1658534400,2022-07-23 00:00:00,SC/BTC,1.8e-07,1.9e-07,1.8e-07,1.9e-07,0.03734307,206947.68017623
1658448000,2022-07-22 00:00:00,SC/BTC,1.8e-07,1.9e-07,1.8e-07,1.8e-07,0.02305117,127705.14996408
1658361600,2022-07-21 00:00:00,SC/BTC,1.9e-07,2e-07,1.8e-07,1.8e-07,0.09646685,515475.44716207
1658275200,2022-07-20 00:00:00,SC/BTC,1.9e-07,2.1e-07,1.9e-07,1.9e-07,1.51104533,7525715.72853985
1658188800,2022-07-19 00:00:00,SC/BTC,1.9e-07,2e-07,1.8e-07,1.8e-07,0.52401609,2704620.39367547
1658102400,2022-07-18 00:00:00,SC/BTC,1.9e-07,2e-07,1.8e-07,1.9e-07,0.47444609,2441669.61044905
1658016000,2022-07-17 00:00:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.00574529,30238.36842106
1657929600,2022-07-16 00:00:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.05931138,312165.1826085
1657843200,2022-07-15 00:00:00,SC/BTC,1.9e-07,2e-07,1.8e-07,1.9e-07,0.0184,100769.91492782
1657756800,2022-07-14 00:00:00,SC/BTC,1.9e-07,2e-07,1.8e-07,1.9e-07,0.0339836,181964.22895166
1657670400,2022-07-13 00:00:00,SC/BTC,1.9e-07,1.9e-07,1.8e-07,1.9e-07,0.00557738,29356.22222222
1657584000,2022-07-12 00:00:00,SC/BTC,2e-07,2e-07,1.9e-07,1.9e-07,0.00020199,1036.57894736
1657497600,2022-07-11 00:00:00,SC/BTC,1.9e-07,1.9e-07,1.8e-07,1.8e-07,0.09340151,497845.86363356
1657411200,2022-07-10 00:00:00,SC/BTC,2e-07,2.1e-07,1.9e-07,1.9e-07,0.48341031,2419594.35230312
1657324800,2022-07-09 00:00:00,SC/BTC,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.00936747,49302.49689473
1657238400,2022-07-08 00:00:00,SC/BTC,2e-07,2e-07,2e-07,2e-07,0.0022486,11243.0
1657152000,2022-07-07 00:00:00,SC/BTC,1.9e-07,1.9e-07,1.8e-07,1.9e-07,0.05053439,267707.33872868
1657065600,2022-07-06 00:00:00,SC/BTC,1.8e-07,1.9e-07,1.8e-07,1.8e-07,0.05801528,308293.9323631
1656979200,2022-07-05 00:00:00,SC/BTC,2e-07,2e-07,1.8e-07,1.8e-07,0.32180204,1695410.90501276
1656892800,2022-07-04 00:00:00,SC/BTC,2e-07,2e-07,1.9e-07,2e-07,0.03071854,154501.19533572
