https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SYS,Volume USDT
1663459200,2022-09-18 00:00:00,SYS/USDT,0.1742,0.1743,0.1728,0.1735,12114.1493,2101.69796484
1663372800,2022-09-17 00:00:00,SYS/USDT,0.1617,0.1767,0.1601,0.1744,466139.2473,79112.14428606
1663286400,2022-09-16 00:00:00,SYS/USDT,0.168,0.171,0.1575,0.1612,610431.4369,100847.82945185
1663200000,2022-09-15 00:00:00,SYS/USDT,0.175,0.178,0.167,0.1681,745756.5691,128220.3391079
1663113600,2022-09-14 00:00:00,SYS/USDT,0.1724,0.18,0.1585,0.175,1597101.7098,274035.3954989
1663027200,2022-09-13 00:00:00,SYS/USDT,0.1941,0.2017,0.1527,0.1719,2608238.1322,465089.59157782
1662940800,2022-09-12 00:00:00,SYS/USDT,0.1808,0.214,0.1755,0.194,3462560.5409,670577.14556614
1662854400,2022-09-11 00:00:00,SYS/USDT,0.1762,0.196,0.1715,0.1809,1388527.6195,253509.5490443
1662768000,2022-09-10 00:00:00,SYS/USDT,0.161,0.1979,0.161,0.1761,2034752.4704,360018.39061845
1662681600,2022-09-09 00:00:00,SYS/USDT,0.1517,0.169,0.1488,0.161,838850.9404,133630.80516672
1662595200,2022-09-08 00:00:00,SYS/USDT,0.145,0.1524,0.1415,0.1516,568279.2168,83485.11358503
1662508800,2022-09-07 00:00:00,SYS/USDT,0.1415,0.149,0.1383,0.145,332374.4327,47668.15732589
1662422400,2022-09-06 00:00:00,SYS/USDT,0.1507,0.1581,0.1385,0.1415,907542.0746,134742.39271952
1662336000,2022-09-05 00:00:00,SYS/USDT,0.1491,0.1555,0.1437,0.1513,460093.663,68636.57274377
1662249600,2022-09-04 00:00:00,SYS/USDT,0.1456,0.154,0.143,0.1491,314671.5159,46960.4472075
1662163200,2022-09-03 00:00:00,SYS/USDT,0.1502,0.1537,0.143,0.1456,584847.0862,86114.85846362
1662076800,2022-09-02 00:00:00,SYS/USDT,0.1628,0.1896,0.1483,0.1502,3312623.3948,552846.93229251
1661990400,2022-09-01 00:00:00,SYS/USDT,0.1345,0.17,0.1318,0.1628,1945838.2966,292528.26567801
1661904000,2022-08-31 00:00:00,SYS/USDT,0.1343,0.14,0.1334,0.1343,186952.1919,25664.25822635
1661817600,2022-08-30 00:00:00,SYS/USDT,0.136,0.1418,0.1322,0.1337,228750.0991,31541.29476464
1661731200,2022-08-29 00:00:00,SYS/USDT,0.131,0.1373,0.1302,0.136,255559.4326,34305.1795523
1661644800,2022-08-28 00:00:00,SYS/USDT,0.1382,0.1455,0.1301,0.1309,372717.2789,51537.45447409
1661558400,2022-08-27 00:00:00,SYS/USDT,0.1372,0.1426,0.136,0.1382,281640.7026,39217.1515206
1661472000,2022-08-26 00:00:00,SYS/USDT,0.1512,0.1539,0.1352,0.1371,624059.0793,89981.53005387
1661385600,2022-08-25 00:00:00,SYS/USDT,0.1497,0.155,0.1479,0.1508,253899.1859,38707.12017212
1661299200,2022-08-24 00:00:00,SYS/USDT,0.1564,0.1564,0.1452,0.1496,277844.968,41960.58478056
1661212800,2022-08-23 00:00:00,SYS/USDT,0.1533,0.1581,0.1496,0.1573,203437.3611,31639.09980329
1661126400,2022-08-22 00:00:00,SYS/USDT,0.1576,0.1576,0.1478,0.1533,153344.1644,23149.68365663
1661040000,2022-08-21 00:00:00,SYS/USDT,0.1494,0.162,0.1482,0.1577,251983.6587,38862.60289291
1660953600,2022-08-20 00:00:00,SYS/USDT,0.1472,0.1572,0.1437,0.1493,324674.4791,48438.430378
1660867200,2022-08-19 00:00:00,SYS/USDT,0.1663,0.1663,0.1452,0.1472,636129.7227,96814.83994107
1660780800,2022-08-18 00:00:00,SYS/USDT,0.1738,0.1781,0.1661,0.1672,225792.6158,38918.586991
1660694400,2022-08-17 00:00:00,SYS/USDT,0.1764,0.1846,0.1717,0.1738,1113596.572,199628.00839302
