https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume MNC
1652860800000,2022-05-18 08:00:00,MNC/ETH,2.1e-07,2.1e-07,2.1e-07,2.1e-07,0.0008504448540042,4049.73740002
1652770800000,2022-05-17 07:00:00,MNC/ETH,2.2e-07,2.2e-07,2.2e-07,2.2e-07,5.55788603876e-05,252.63118358
1652698800000,2022-05-16 11:00:00,MNC/ETH,2.3e-07,2.4e-07,2.3e-07,2.4e-07,0.012422291045546398,51759.54602311
1652688000000,2022-05-16 08:00:00,MNC/ETH,2.3e-07,2.3e-07,2.3e-07,2.3e-07,0.0044599999999986005,19391.30434782
1652644800000,2022-05-15 20:00:00,MNC/ETH,2.3e-07,2.3e-07,2.3e-07,2.3e-07,0.0021631799999971,9405.13043477
1652608800000,2022-05-15 10:00:00,MNC/ETH,2.3e-07,2.3e-07,2.3e-07,2.3e-07,8.00099999983e-05,347.86956521
1652504400000,2022-05-14 05:00:00,MNC/ETH,2.3e-07,2.3e-07,2.3e-07,2.3e-07,0.0016099999999999999,7000.0
1652500800000,2022-05-14 04:00:00,MNC/ETH,2.2e-07,2.2e-07,2e-07,2e-07,0.082944444416664,414722.22208332
1652482800000,2022-05-13 23:00:00,MNC/ETH,2.4e-07,2.4e-07,2.4e-07,2.4e-07,0.10908126999999838,454505.29166666
1652475600000,2022-05-13 21:00:00,MNC/ETH,2.4e-07,2.4e-07,2.4e-07,2.4e-07,0.00031784999999999995,1324.375
1652439600000,2022-05-13 11:00:00,MNC/ETH,2.4e-07,2.4e-07,2.4e-07,2.4e-07,0.0999999999999984,416666.66666666
1652425200000,2022-05-13 07:00:00,MNC/ETH,2.3e-07,2.3e-07,2.3e-07,2.3e-07,0.027070094797096,117696.0643352
1652418000000,2022-05-13 05:00:00,MNC/ETH,2.3e-07,2.3e-07,2.3e-07,2.3e-07,0.0004586286286294,1994.03751578
1652414400000,2022-05-13 04:00:00,MNC/ETH,2.3e-07,2.3e-07,2.3e-07,2.3e-07,0.0130822699661512,56879.43463544
1652410800000,2022-05-13 03:00:00,MNC/ETH,2.4e-07,2.4e-07,2.4e-07,2.4e-07,6.214414718879999e-05,258.93394662
1652385600000,2022-05-12 20:00:00,MNC/ETH,2.5e-07,2.5e-07,2.5e-07,2.5e-07,0.018818565624279998,75274.26249712
1652382000000,2022-05-12 19:00:00,MNC/ETH,2.5e-07,2.5e-07,2.5e-07,2.5e-07,0.005945959233395,23783.83693358
1652378400000,2022-05-12 18:00:00,MNC/ETH,2.5e-07,2.5e-07,2.5e-07,2.5e-07,0.0253159186102075,101263.67444083
1652374800000,2022-05-12 17:00:00,MNC/ETH,2.5e-07,2.6e-07,2.5e-07,2.6e-07,0.0579211585310566,222773.68665791
1652356800000,2022-05-12 12:00:00,MNC/ETH,2.5e-07,2.5e-07,2.5e-07,2.5e-07,6.933963000750001e-05,277.35852003
1652353200000,2022-05-12 11:00:00,MNC/ETH,2.6e-07,2.7e-07,2.6e-07,2.7e-07,0.0215650376507304,79870.50981752
1652349600000,2022-05-12 10:00:00,MNC/ETH,2.6e-07,2.6e-07,2.6e-07,2.6e-07,0.0002597400000026,999.00000001
1652338800000,2022-05-12 07:00:00,MNC/ETH,2.6e-07,2.7e-07,2.6e-07,2.7e-07,0.0441801890873208,163630.32995304
1652335200000,2022-05-12 06:00:00,MNC/ETH,2.6e-07,2.6e-07,2.6e-07,2.6e-07,2.73199999982e-05,105.07692307
1652331600000,2022-05-12 05:00:00,MNC/ETH,2.5e-07,2.6e-07,2.5e-07,2.6e-07,0.0160362403998368,61677.84769168
1652328000000,2022-05-12 04:00:00,MNC/ETH,2.4e-07,2.4e-07,2.4e-07,2.4e-07,0.0731399031441168,304749.59643382
1652292000000,2022-05-11 18:00:00,MNC/ETH,2.4e-07,2.5e-07,2.4e-07,2.5e-07,0.000724547646065,2898.19058426
1652284800000,2022-05-11 16:00:00,MNC/ETH,2.2e-07,2.2e-07,2.2e-07,2.2e-07,0.016665951261713604,75754.32391688
1652274000000,2022-05-11 13:00:00,MNC/ETH,2.2e-07,2.2e-07,2.2e-07,2.2e-07,0.00022,1000.0
1652270400000,2022-05-11 12:00:00,MNC/ETH,2.2e-07,2.4e-07,2.2e-07,2.4e-07,0.0005528882359367999,2303.70098307
1652259600000,2022-05-11 09:00:00,MNC/ETH,2.2e-07,2.2e-07,2.2e-07,2.2e-07,0.0100334034034036,45606.37910638
1652252400000,2022-05-11 07:00:00,MNC/ETH,2.4e-07,2.4e-07,2.4e-07,2.4e-07,7.998999999839999e-05,333.29166666
1652245200000,2022-05-11 05:00:00,MNC/ETH,2.2e-07,2.2e-07,2.2e-07,2.2e-07,0.0021883876186216,9947.21644828
1652180400000,2022-05-10 11:00:00,MNC/ETH,2.4e-07,2.4e-07,2.4e-07,2.4e-07,7.994999999999999e-05,333.125
1652162400000,2022-05-10 06:00:00,MNC/ETH,2.2e-07,2.2e-07,2.2e-07,2.2e-07,0.004915009600023601,22340.95272738
1652158800000,2022-05-10 05:00:00,MNC/ETH,2.2e-07,2.2e-07,2.2e-07,2.2e-07,0.0234581407331876,106627.91242358
1652148000000,2022-05-10 02:00:00,MNC/ETH,2.5e-07,2.5e-07,2.5e-07,2.5e-07,0.00015089922041,603.59688164
1652133600000,2022-05-09 22:00:00,MNC/ETH,2.2e-07,2.2e-07,2.2e-07,2.2e-07,0.0016960045432,7709.11156
1652097600000,2022-05-09 12:00:00,MNC/ETH,2.5e-07,2.5e-07,2.5e-07,2.5e-07,0.0006237999999999999,2495.2
1652086800000,2022-05-09 09:00:00,MNC/ETH,2.2e-07,2.2e-07,2.2e-07,2.2e-07,0.0005141403947108,2337.00179414
1652011200000,2022-05-08 12:00:00,MNC/ETH,2.5e-07,2.5e-07,2.5e-07,2.5e-07,0.003977805,15911.22
1652004000000,2022-05-08 10:00:00,MNC/ETH,2.3e-07,2.3e-07,2.3e-07,2.3e-07,0.0004999999999981,2173.91304347
1651996800000,2022-05-08 08:00:00,MNC/ETH,2.1e-07,2.1e-07,2.1e-07,2.1e-07,0.003026790144,14413.2864
1651957200000,2022-05-07 21:00:00,MNC/ETH,2.1e-07,2.6e-07,2.1e-07,2.6e-07,0.057357936206001596,220607.44694616
1651950000000,2022-05-07 19:00:00,MNC/ETH,2e-07,2e-07,2e-07,2e-07,0.00032314992,1615.7496
1651942800000,2022-05-07 17:00:00,MNC/ETH,2e-07,2.1e-07,2e-07,2.1e-07,0.0007446680288082,3546.03823242
1651903200000,2022-05-07 06:00:00,MNC/ETH,2e-07,2e-07,2e-07,2e-07,5.5198916759999995e-05,275.9945838
1651885200000,2022-05-07 01:00:00,MNC/ETH,2e-07,2e-07,2e-07,2e-07,5.4946438095999994e-05,274.73219048
1651856400000,2022-05-06 17:00:00,MNC/ETH,1.8e-07,2e-07,1.8e-07,1.8e-07,0.00409887,22771.5
1651820400000,2022-05-06 07:00:00,MNC/ETH,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.026936792779745904,141772.59357761
1651813200000,2022-05-06 05:00:00,MNC/ETH,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.0002678599999992,1409.78947368
1651798800000,2022-05-06 01:00:00,MNC/ETH,2.1e-07,2.1e-07,2.1e-07,2.1e-07,0.0002681122752084,1276.72512004
1651766400000,2022-05-05 16:00:00,MNC/ETH,1.9e-07,1.9e-07,1.9e-07,1.9e-07,0.0067806006006028005,35687.37158212
