https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PUNDIX,Volume USDT
1663372800,2022-09-17 00:00:00,PUNDIX/USDT,0.5307,0.5375,0.5307,0.5347,27443.7088,14564.9722897
1663286400,2022-09-16 00:00:00,PUNDIX/USDT,0.5804,0.5964,0.5156,0.5307,178780.175,95601.68080889
1663200000,2022-09-15 00:00:00,PUNDIX/USDT,0.6305,0.6322,0.5696,0.5834,318286.647,190435.15670828
1663113600,2022-09-14 00:00:00,PUNDIX/USDT,0.7847,0.88,0.6183,0.6284,854264.3747,610038.63204222
1663027200,2022-09-13 00:00:00,PUNDIX/USDT,0.5521,1.1145,0.5521,0.7896,3915482.57368256,3380602.978418408088
1662940800,2022-09-12 00:00:00,PUNDIX/USDT,0.5468,0.591,0.5378,0.554,155090.189,86812.45071903
1662854400,2022-09-11 00:00:00,PUNDIX/USDT,0.5383,0.5705,0.5383,0.5451,122786.3019,66951.82646511
1662768000,2022-09-10 00:00:00,PUNDIX/USDT,0.5317,0.6075,0.522,0.5382,138011.1994,77174.03407543
1662681600,2022-09-09 00:00:00,PUNDIX/USDT,0.509,0.5389,0.5044,0.5317,20646.0437,10779.6502486
1662595200,2022-09-08 00:00:00,PUNDIX/USDT,0.4947,0.5579,0.4778,0.5097,128255.6096,65725.99356076
1662508800,2022-09-07 00:00:00,PUNDIX/USDT,0.4755,0.4966,0.4601,0.4931,11619.6141,5526.70674543
1662422400,2022-09-06 00:00:00,PUNDIX/USDT,0.5097,0.52,0.4709,0.4758,57046.8753,27769.26548864
1662336000,2022-09-05 00:00:00,PUNDIX/USDT,0.5125,0.514,0.4955,0.5079,10415.3564,5239.75481784
1662249600,2022-09-04 00:00:00,PUNDIX/USDT,0.5077,0.5161,0.5047,0.5105,24019.1826,12239.16446766
1662163200,2022-09-03 00:00:00,PUNDIX/USDT,0.5105,0.5113,0.501,0.506,5406.776,2732.8900472
1662076800,2022-09-02 00:00:00,PUNDIX/USDT,0.5155,0.5494,0.5016,0.5106,46211.7792,23857.74605291
1661990400,2022-09-01 00:00:00,PUNDIX/USDT,0.5156,0.517,0.4956,0.5155,10539.3122,5327.89716063
1661904000,2022-08-31 00:00:00,PUNDIX/USDT,0.5144,0.5291,0.5123,0.5187,14953.7509,7779.34551876
1661817600,2022-08-30 00:00:00,PUNDIX/USDT,0.5156,0.5407,0.5011,0.512,6815.6488,3560.70696969
1661731200,2022-08-29 00:00:00,PUNDIX/USDT,0.501,0.5268,0.485,0.5187,24817.7085,12604.36248568
1661644800,2022-08-28 00:00:00,PUNDIX/USDT,0.5214,0.5266,0.5011,0.5011,7319.9488,3801.60129432
1661558400,2022-08-27 00:00:00,PUNDIX/USDT,0.5194,0.5384,0.5106,0.5246,25700.4214,13532.28301201
