https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RUNE,Volume USDT
1663462800,2022-09-18 01:00:00,RUNE/USDT,1.779,1.7819,1.7787,1.7819,2196.28335324,3910.385845287832
1663459200,2022-09-18 00:00:00,RUNE/USDT,1.8002,1.8002,1.7784,1.7784,31503.0066452,56189.13471927758
1663455600,2022-09-17 23:00:00,RUNE/USDT,1.7979,1.8035,1.7937,1.7999,4955.24780649,8906.619778663498
1663452000,2022-09-17 22:00:00,RUNE/USDT,1.7937,1.7977,1.7902,1.796,3988.55675625,7155.233318971754
1663448400,2022-09-17 21:00:00,RUNE/USDT,1.8017,1.8022,1.7864,1.7937,11394.0205126,20441.331325678191
1663444800,2022-09-17 20:00:00,RUNE/USDT,1.796,1.8034,1.793,1.803,3088.71527931,5556.418989036665
1663441200,2022-09-17 19:00:00,RUNE/USDT,1.8072,1.808,1.793,1.7961,9972.8728468,17941.026553072175
1663437600,2022-09-17 18:00:00,RUNE/USDT,1.8135,1.815,1.8048,1.8077,6416.16361381,11599.460636330849
1663434000,2022-09-17 17:00:00,RUNE/USDT,1.8181,1.8218,1.8006,1.8127,44023.99583178,79696.247182164763
1663430400,2022-09-17 16:00:00,RUNE/USDT,1.7762,1.98,1.7761,1.8205,279252.27311781,515737.858794801366
1663426800,2022-09-17 15:00:00,RUNE/USDT,1.7717,1.7788,1.7708,1.7762,20038.85379878,35575.884068842346
1663423200,2022-09-17 14:00:00,RUNE/USDT,1.76,1.7747,1.76,1.7717,18059.32196646,31952.443871421469
1663419600,2022-09-17 13:00:00,RUNE/USDT,1.7567,1.7606,1.7551,1.76,8099.77330724,14240.61480348129
1663416000,2022-09-17 12:00:00,RUNE/USDT,1.7469,1.7606,1.7461,1.7567,78370.91070834,137116.791488443994
1663412400,2022-09-17 11:00:00,RUNE/USDT,1.7551,1.7551,1.746,1.746,2383.82273619,4170.649038147323
1663408800,2022-09-17 10:00:00,RUNE/USDT,1.7604,1.7624,1.7474,1.7542,7790.08061766,13667.721258755487
1663405200,2022-09-17 09:00:00,RUNE/USDT,1.7585,1.7629,1.7574,1.7597,5999.29577616,10556.725316436468
1663401600,2022-09-17 08:00:00,RUNE/USDT,1.7519,1.7616,1.7519,1.7585,12022.40816319,21101.46445202646
1663398000,2022-09-17 07:00:00,RUNE/USDT,1.7473,1.7527,1.7448,1.7518,4505.17180706,7870.407010416646
1663394400,2022-09-17 06:00:00,RUNE/USDT,1.7456,1.7478,1.7414,1.745,8237.79571423,14378.76800456615
1663390800,2022-09-17 05:00:00,RUNE/USDT,1.7555,1.7555,1.739,1.7456,17340.11872703,30203.14956213224
1663387200,2022-09-17 04:00:00,RUNE/USDT,1.7509,1.7598,1.7493,1.7541,1440.30711248,2528.404184064548
1663383600,2022-09-17 03:00:00,RUNE/USDT,1.7479,1.7505,1.7467,1.7485,5649.73211894,9883.510483640564
1663380000,2022-09-17 02:00:00,RUNE/USDT,1.7518,1.7532,1.7452,1.7488,6219.01300923,10884.404378398304
1663376400,2022-09-17 01:00:00,RUNE/USDT,1.744,1.7516,1.7439,1.7516,23178.24492533,40536.304621844859
1663372800,2022-09-17 00:00:00,RUNE/USDT,1.7255,1.7548,1.725,1.7448,30075.63637965,52501.56255934724
1663369200,2022-09-16 23:00:00,RUNE/USDT,1.7154,1.7257,1.7151,1.7245,5878.38310885,10102.247743905587
1663365600,2022-09-16 22:00:00,RUNE/USDT,1.716,1.7204,1.7146,1.7148,7264.63393445,12472.544606557828
1663362000,2022-09-16 21:00:00,RUNE/USDT,1.7109,1.722,1.7096,1.7158,4973.47988647,8537.570001306713
1663358400,2022-09-16 20:00:00,RUNE/USDT,1.6982,1.7115,1.6982,1.7098,27187.09874561,46295.501068568511
1663354800,2022-09-16 19:00:00,RUNE/USDT,1.6928,1.7016,1.6927,1.6971,4658.91529077,7919.608212296145
1663351200,2022-09-16 18:00:00,RUNE/USDT,1.6853,1.6964,1.677,1.6889,7018.74055989,11839.934856868741
1663347600,2022-09-16 17:00:00,RUNE/USDT,1.6915,1.6934,1.6746,1.684,19128.79016337,32241.62374347311
1663344000,2022-09-16 16:00:00,RUNE/USDT,1.7062,1.7068,1.6815,1.6927,8043.85295146,13618.776090444286
1663340400,2022-09-16 15:00:00,RUNE/USDT,1.706,1.715,1.7006,1.708,15266.1117701,26059.429079206535
1663336800,2022-09-16 14:00:00,RUNE/USDT,1.6881,1.7183,1.6839,1.7061,17882.52683451,30426.594295579953
1663333200,2022-09-16 13:00:00,RUNE/USDT,1.7176,1.7189,1.6732,1.69,112696.43252943,192092.941152854755
1663329600,2022-09-16 12:00:00,RUNE/USDT,1.7319,1.7328,1.7105,1.7156,10456.23926184,18034.408676016691
1663326000,2022-09-16 11:00:00,RUNE/USDT,1.7187,1.7318,1.715,1.7318,5318.49810698,9167.995342299527
1663322400,2022-09-16 10:00:00,RUNE/USDT,1.7099,1.7209,1.706,1.7188,5584.1873995,9565.286682008127
1663318800,2022-09-16 09:00:00,RUNE/USDT,1.6966,1.7106,1.6966,1.7101,2342.88160423,3993.735733092017
1663315200,2022-09-16 08:00:00,RUNE/USDT,1.7233,1.724,1.6927,1.6955,11518.52707883,19658.219336866062
1663311600,2022-09-16 07:00:00,RUNE/USDT,1.7265,1.7273,1.7225,1.7229,5981.41661723,10316.561426850254
1663308000,2022-09-16 06:00:00,RUNE/USDT,1.7244,1.7302,1.7199,1.7219,9006.21276994,15524.266114457434
1663304400,2022-09-16 05:00:00,RUNE/USDT,1.73,1.7325,1.7246,1.7246,3347.99772242,5788.36309372984
1663300800,2022-09-16 04:00:00,RUNE/USDT,1.7209,1.7352,1.7209,1.73,3810.54906674,6590.952052583598
1663297200,2022-09-16 03:00:00,RUNE/USDT,1.7125,1.7207,1.7076,1.72,2889.00594202,4954.65185655387
1663293600,2022-09-16 02:00:00,RUNE/USDT,1.7192,1.7194,1.7015,1.7121,5860.45670428,10010.970872585517
1663290000,2022-09-16 01:00:00,RUNE/USDT,1.7272,1.7272,1.7142,1.7167,7946.38114924,13685.952396571581
1663286400,2022-09-16 00:00:00,RUNE/USDT,1.7087,1.879,1.6876,1.7249,116696.12322556,201468.91608182395
1663282800,2022-09-15 23:00:00,RUNE/USDT,1.7119,1.7128,1.6982,1.7078,3730.08428249,6359.440577306705
1663279200,2022-09-15 22:00:00,RUNE/USDT,1.7177,1.7177,1.696,1.709,15269.460471,26123.76928732345
1663275600,2022-09-15 21:00:00,RUNE/USDT,1.7258,1.7279,1.7137,1.7188,3869.69681358,6660.629313657689
