https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume BTC
1663549200000,2022-09-19 01:00:00,BTC/EUR,19446.27,19483.13,19430.75,19483.05,4060.26762,0.2084
1663545600000,2022-09-19 00:00:00,BTC/EUR,19373.29,19489.71,19364.05,19437.6,16380.615409704,0.84272829
1663542000000,2022-09-18 23:00:00,BTC/EUR,19403.86,19482.72,19342.65,19376.93,17765.9273893368,0.91685976
1663538400000,2022-09-18 22:00:00,BTC/EUR,19425.21,19450.75,19322.4,19407.99,17588.2939464015,0.90623985
1663534800000,2022-09-18 21:00:00,BTC/EUR,19689.71,19704.64,19384.42,19442.19,25462.791151135796,1.30966682
1663531200000,2022-09-18 20:00:00,BTC/EUR,19707.24,19725.74,19653.44,19700.92,15234.346921510798,0.77328099
1663527600000,2022-09-18 19:00:00,BTC/EUR,19597.45,19713.78,19584.45,19703.71,13562.067336704898,0.68830019
1663524000000,2022-09-18 18:00:00,BTC/EUR,19635.18,19690.81,19580.91,19613.1,15855.775480310998,0.80842781
1663520400000,2022-09-18 17:00:00,BTC/EUR,19736.38,19736.38,19633.0,19634.63,15564.943354118202,0.79272914
1663516800000,2022-09-18 16:00:00,BTC/EUR,19786.43,19847.99,19670.08,19722.39,15606.6784627659,0.79131781
1663513200000,2022-09-18 15:00:00,BTC/EUR,19751.23,19842.9,19751.23,19787.57,18357.0768978993,0.92770749
1663509600000,2022-09-18 14:00:00,BTC/EUR,19934.31,19934.31,19719.66,19782.63,15150.7095813486,0.76585922
1663506000000,2022-09-18 13:00:00,BTC/EUR,19958.46,19984.64,19924.04,19943.42,16971.85042,0.851
1663502400000,2022-09-18 12:00:00,BTC/EUR,19902.37,19991.44,19838.51,19971.64,15776.1478558164,0.78992751
1663498800000,2022-09-18 11:00:00,BTC/EUR,19897.94,19922.03,19854.05,19895.6,14889.089519951998,0.74836092
1663495200000,2022-09-18 10:00:00,BTC/EUR,19847.28,19989.67,19767.1,19886.45,17830.9366130105,0.89663749
1663491600000,2022-09-18 09:00:00,BTC/EUR,20037.04,20063.6,19847.88,19847.92,24719.926202972798,1.24546684
1663488000000,2022-09-18 08:00:00,BTC/EUR,20042.25,20078.64,20024.4,20031.1,17731.634082031,0.88520521
1663484400000,2022-09-18 07:00:00,BTC/EUR,20030.29,20068.99,20030.29,20042.25,13484.609787855,0.67280918
1663480800000,2022-09-18 06:00:00,BTC/EUR,20060.01,20080.31,20026.44,20033.79,16503.7083864198,0.82379362
1663477200000,2022-09-18 05:00:00,BTC/EUR,19997.77,20063.76,19986.46,20059.19,16962.2612843112,0.84561048
1663473600000,2022-09-18 04:00:00,BTC/EUR,19977.16,20010.8,19952.03,20001.78,17595.810887804997,0.87971225
1663470000000,2022-09-18 03:00:00,BTC/EUR,20001.86,20008.23,19945.61,19976.49,17713.4017910058,0.88671242
1663466400000,2022-09-18 02:00:00,BTC/EUR,19973.16,20014.4,19967.41,20004.23,16319.450834,0.8158
1663462800000,2022-09-18 01:00:00,BTC/EUR,19955.14,20023.73,19947.51,19969.51,16281.818269693898,0.81533389
1663459200000,2022-09-18 00:00:00,BTC/EUR,20096.91,20096.91,19937.02,19953.37,17426.7577629192,0.87337416
1663455600000,2022-09-17 23:00:00,BTC/EUR,20096.49,20108.12,20068.43,20099.83,14686.945781000002,0.7307
1663452000000,2022-09-17 22:00:00,BTC/EUR,20020.96,20102.85,20004.1,20095.22,14822.560015516201,0.73761621
1663448400000,2022-09-17 21:00:00,BTC/EUR,20051.41,20149.11,19943.58,20000.85,213276.77987792998,10.6633858
1663444800000,2022-09-17 20:00:00,BTC/EUR,20000.81,20071.28,19970.79,20063.32,17527.316352,0.8736
1663441200000,2022-09-17 19:00:00,BTC/EUR,20057.68,20057.68,19971.6,19995.13,16143.784830959201,0.80738584
1663437600000,2022-09-17 18:00:00,BTC/EUR,20060.43,20085.9,20007.58,20055.01,18142.756774496,0.9046496
1663434000000,2022-09-17 17:00:00,BTC/EUR,20112.79,20162.33,20034.37,20054.85,14934.846795,0.7447
1663430400000,2022-09-17 16:00:00,BTC/EUR,19940.91,20154.76,19926.54,20117.6,17003.16718524,0.84518865
