https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BURGER,Volume BTC
1663462800,2022-09-18 01:00:00,BURGER/BTC,0.00005192,0.00005192,0.00005191,0.00005191,16.3547,0.000849066387
1663459200,2022-09-18 00:00:00,BURGER/BTC,0.00005193,0.00005193,0.00005193,0.00005193,0,0
1663455600,2022-09-17 23:00:00,BURGER/BTC,0.00005194,0.00005194,0.00005193,0.00005193,39.8953,0.002072064099
1663452000,2022-09-17 22:00:00,BURGER/BTC,0.00005193,0.00005193,0.00005193,0.00005193,0,0
1663448400,2022-09-17 21:00:00,BURGER/BTC,0.00005193,0.00005193,0.00005193,0.00005193,0,0
1663444800,2022-09-17 20:00:00,BURGER/BTC,0.00005229,0.00005242,0.00005193,0.00005193,1.7733,0.000092832784
1663441200,2022-09-17 19:00:00,BURGER/BTC,0.00005194,0.00005194,0.00005191,0.00005191,28.7874,0.001494388095
1663437600,2022-09-17 18:00:00,BURGER/BTC,0.00005193,0.00005193,0.00005191,0.00005191,0.3446,0.000017891476
1663434000,2022-09-17 17:00:00,BURGER/BTC,0.00005233,0.00005233,0.00005202,0.00005202,9.5612,0.00049866169
1663430400,2022-09-17 16:00:00,BURGER/BTC,0.00005268,0.00005268,0.00005268,0.00005268,5.2583,0.000277007244
1663426800,2022-09-17 15:00:00,BURGER/BTC,0.00005242,0.00005242,0.00005234,0.00005234,45.9455,0.00240543023
1663423200,2022-09-17 14:00:00,BURGER/BTC,0.00005269,0.00005269,0.00005269,0.00005269,0,0
1663419600,2022-09-17 13:00:00,BURGER/BTC,0.00005269,0.00005269,0.00005269,0.00005269,8.0345,0.000423337805
1663416000,2022-09-17 12:00:00,BURGER/BTC,0.00005301,0.00005301,0.00005237,0.00005237,64.6864,0.003400031436
1663412400,2022-09-17 11:00:00,BURGER/BTC,0.00005296,0.00005377,0.00005296,0.00005301,99.0769,0.005284463303
1663408800,2022-09-17 10:00:00,BURGER/BTC,0.00005215,0.00005269,0.00005215,0.00005269,45.4289,0.002380757275
1663405200,2022-09-17 09:00:00,BURGER/BTC,0.00005188,0.00005202,0.00005188,0.00005202,9.0814,0.000471254982
1663401600,2022-09-17 08:00:00,BURGER/BTC,0.00005161,0.00005161,0.00005149,0.00005149,9.6647,0.00049866477
1663398000,2022-09-17 07:00:00,BURGER/BTC,0.00005193,0.00005193,0.00005188,0.00005188,38.791,0.002012794827
