https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAPPT,Volume USDT
1663459200,2022-09-18 00:00:00,DAPPT/USDT,0.000728,0.000743,0.000722,0.000734,1490898.9825,1085.78154827998
1663372800,2022-09-17 00:00:00,DAPPT/USDT,0.000682,0.00095,0.000662,0.0007254,326048913.9638,259614.71799053201
1663286400,2022-09-16 00:00:00,DAPPT/USDT,0.0007699,0.0007699,0.000674,0.0006777,105021944.6102,76883.28307663311
1663200000,2022-09-15 00:00:00,DAPPT/USDT,0.000737,0.0009,0.0006659,0.0007699,264808933.8234,201475.48884092542
1663113600,2022-09-14 00:00:00,DAPPT/USDT,0.0006861,0.00125,0.000686,0.000738,864529816.3299,790618.71231638309
1663027200,2022-09-13 00:00:00,DAPPT/USDT,0.001034,0.0012001,0.0006558,0.0006856,1136439927.13391172,949937.921210480044516
1662940800,2022-09-12 00:00:00,DAPPT/USDT,0.0005112,0.00169,0.0005112,0.0010344,2430548210.8256145,2669889.997765562487005
1662854400,2022-09-11 00:00:00,DAPPT/USDT,0.000516,0.0005358,0.0005018,0.0005112,36482596.9367,18962.84000133444
1662768000,2022-09-10 00:00:00,DAPPT/USDT,0.0005042,0.000598,0.0005,0.000514,150885118.6715,81437.51194225653
1662681600,2022-09-09 00:00:00,DAPPT/USDT,0.0005219,0.000543,0.0004822,0.0005028,49456393.2212,25348.19304635266
1662595200,2022-09-08 00:00:00,DAPPT/USDT,0.000516,0.0005624,0.000501,0.0005219,82266480.9701,43731.39582840432
1662508800,2022-09-07 00:00:00,DAPPT/USDT,0.0006315,0.000657,0.000502,0.0005184,421867089.6907,236157.13876131364
1662422400,2022-09-06 00:00:00,DAPPT/USDT,0.0004588,0.000774,0.0004522,0.000634,871928127.30241853,544615.09406582199873
1662336000,2022-09-05 00:00:00,DAPPT/USDT,0.0004736,0.0005007,0.000452,0.0004588,85800252.3557,41274.59406185424
1662249600,2022-09-04 00:00:00,DAPPT/USDT,0.0004611,0.000494,0.0004502,0.0004736,34685344.2335,16550.18315819803
1662163200,2022-09-03 00:00:00,DAPPT/USDT,0.000468,0.0004809,0.0004546,0.0004611,6290380.6806,2932.34835663256
