https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume TRX
1663549200000,2022-09-19 01:00:00,TRX/EUR,0.06095412,0.06116315,0.06095412,0.06116315,85.62841,1400.0
1663545600000,2022-09-19 00:00:00,TRX/EUR,0.06065518,0.06105774,0.06056774,0.06097539,281.09654789999996,4610.0
1663542000000,2022-09-18 23:00:00,TRX/EUR,0.06071807,0.0608744,0.06064603,0.06064603,285.6428013,4710.0
1663538400000,2022-09-18 22:00:00,TRX/EUR,0.06098415,0.06102524,0.06068535,0.06068535,325.8803295,5370.0
1663534800000,2022-09-18 21:00:00,TRX/EUR,0.06172562,0.06219779,0.06099279,0.06099279,335.72682476844176,5504.3690372
1663531200000,2022-09-18 20:00:00,TRX/EUR,0.06188142,0.06188142,0.06169077,0.06176721,365.04421110000004,5910.0
1663527600000,2022-09-18 19:00:00,TRX/EUR,0.06173808,0.061939,0.06164457,0.06188098,421.1281612603462,6805.45397407
1663524000000,2022-09-18 18:00:00,TRX/EUR,0.06149176,0.06181137,0.06145115,0.06170405,502.01777299658124,8135.89663882
1663520400000,2022-09-18 17:00:00,TRX/EUR,0.06194546,0.06194546,0.06151182,0.06152077,360.516266046142,5860.07402128
1663516800000,2022-09-18 16:00:00,TRX/EUR,0.06244626,0.06256071,0.0610705,0.06196825,342.68442250000004,5530.0
1663513200000,2022-09-18 15:00:00,TRX/EUR,0.06207911,0.06251664,0.0616288,0.06246528,332.9399424,5330.0
1663509600000,2022-09-18 14:00:00,TRX/EUR,0.06228508,0.0626464,0.06136848,0.06207257,543.3604841997133,8753.63279142
1663506000000,2022-09-18 13:00:00,TRX/EUR,0.06216766,0.06234612,0.06212756,0.06226654,350.5606202,5630.0
1663502400000,2022-09-18 12:00:00,TRX/EUR,0.06208461,0.062254,0.06177024,0.06219879,335.4552673886252,5393.27641886
1663498800000,2022-09-18 11:00:00,TRX/EUR,0.06174863,0.06213143,0.06105508,0.06208916,360.117128,5800.0
1663495200000,2022-09-18 10:00:00,TRX/EUR,0.06160066,0.06242826,0.06150174,0.06176373,330.5045822025927,5351.11111655
1663491600000,2022-09-18 09:00:00,TRX/EUR,0.06227388,0.06232129,0.06157598,0.06158917,537.7447754034123,8731.15801696
1663488000000,2022-09-18 08:00:00,TRX/EUR,0.06221435,0.06231336,0.06216034,0.0622489,329.29668100000004,5290.0
1663484400000,2022-09-18 07:00:00,TRX/EUR,0.06220373,0.06274506,0.06220373,0.0622371,327.367146,5260.0
1663480800000,2022-09-18 06:00:00,TRX/EUR,0.06221209,0.06224617,0.06217088,0.06221502,357.1142148,5740.0
1663477200000,2022-09-18 05:00:00,TRX/EUR,0.06208025,0.06221393,0.06202293,0.06215135,340.26835546571823,5474.83450425
