https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WOM,Volume USDT
1663462800,2022-09-18 01:00:00,WOM/USDT,0.054802,0.054865,0.054752,0.054752,45600.819,2499.7567879688
1663459200,2022-09-18 00:00:00,WOM/USDT,0.054902,0.055021,0.054729,0.054892,393674.7361,21606.3133763775
1663455600,2022-09-17 23:00:00,WOM/USDT,0.053946,0.055754,0.053923,0.054892,403595.3811,21995.5256590309
1663452000,2022-09-17 22:00:00,WOM/USDT,0.053516,0.0541,0.053505,0.053969,466224.7287,25087.8176532022
1663448400,2022-09-17 21:00:00,WOM/USDT,0.053005,0.053517,0.052857,0.053504,393749.1549,20949.8576418139
1663444800,2022-09-17 20:00:00,WOM/USDT,0.053104,0.053345,0.052965,0.05302,428412.6291,22737.3211619116
1663441200,2022-09-17 19:00:00,WOM/USDT,0.053106,0.053332,0.052971,0.053069,414466.5313,22001.7893031191
1663437600,2022-09-17 18:00:00,WOM/USDT,0.053071,0.05312,0.052965,0.053039,425632.3391,22578.1133241401
1663434000,2022-09-17 17:00:00,WOM/USDT,0.053234,0.053277,0.053036,0.053036,395677.2468,21039.3321009654
1663430400,2022-09-17 16:00:00,WOM/USDT,0.053269,0.05341,0.053174,0.053214,395799.9358,21094.4459696868
1663426800,2022-09-17 15:00:00,WOM/USDT,0.053554,0.053583,0.053221,0.053221,450024.7255,24029.1495638563
1663423200,2022-09-17 14:00:00,WOM/USDT,0.053435,0.05396,0.053332,0.053482,464307.539,24857.1883937827
1663419600,2022-09-17 13:00:00,WOM/USDT,0.053674,0.053792,0.053309,0.05353,512747.6663,27465.1533001725
1663416000,2022-09-17 12:00:00,WOM/USDT,0.053685,0.054026,0.053543,0.05377,450921.5475,24217.481021635
1663412400,2022-09-17 11:00:00,WOM/USDT,0.053699,0.053789,0.053549,0.053789,403772.1416,21664.6773891029
1663408800,2022-09-17 10:00:00,WOM/USDT,0.054091,0.054291,0.05363,0.053639,461747.3087,24935.9421192082
1663405200,2022-09-17 09:00:00,WOM/USDT,0.053944,0.054303,0.053871,0.054016,393397.378,21298.7566340979
1663401600,2022-09-17 08:00:00,WOM/USDT,0.053807,0.054031,0.053548,0.054005,411017.3217,22142.0295207623
1663398000,2022-09-17 07:00:00,WOM/USDT,0.053176,0.054628,0.053176,0.053753,392924.0694,21016.7456652684
1663394400,2022-09-17 06:00:00,WOM/USDT,0.053192,0.053498,0.053091,0.053103,400823.8875,21369.4481349423
1663390800,2022-09-17 05:00:00,WOM/USDT,0.053284,0.05337,0.053096,0.053154,427300.4671,22744.0301319102
1663387200,2022-09-17 04:00:00,WOM/USDT,0.054319,0.054319,0.05298,0.053083,571825.0032,30562.1950429459
1663383600,2022-09-17 03:00:00,WOM/USDT,0.053617,0.05455,0.052897,0.054317,580883.5171,30951.4462934739
1663380000,2022-09-17 02:00:00,WOM/USDT,0.054776,0.054798,0.05358,0.053623,478652.2971,25984.6634449704
1663376400,2022-09-17 01:00:00,WOM/USDT,0.055081,0.055472,0.054743,0.054743,460213.5747,25331.6917387628
1663372800,2022-09-17 00:00:00,WOM/USDT,0.053006,0.056317,0.053006,0.055021,517958.0356,28259.8903851067
1663369200,2022-09-16 23:00:00,WOM/USDT,0.053427,0.053645,0.052817,0.053006,622290.2819,33151.1120291104
1663365600,2022-09-16 22:00:00,WOM/USDT,0.054168,0.054364,0.053393,0.053393,439230.8636,23720.7013011594
1663362000,2022-09-16 21:00:00,WOM/USDT,0.054502,0.055329,0.05368,0.054163,520180.5996,28197.2336423552
1663358400,2022-09-16 20:00:00,WOM/USDT,0.055197,0.055312,0.054401,0.054434,514944.4685,28325.4086391419
1663354800,2022-09-16 19:00:00,WOM/USDT,0.054396,0.055659,0.054155,0.055197,442669.3618,24136.2746808342
1663351200,2022-09-16 18:00:00,WOM/USDT,0.054629,0.055058,0.054343,0.054357,500848.6362,27384.080457156
1663347600,2022-09-16 17:00:00,WOM/USDT,0.05391,0.055889,0.053561,0.054629,556781.6547,30187.6662378779
1663344000,2022-09-16 16:00:00,WOM/USDT,0.053387,0.054098,0.053363,0.053904,462886.6647,24861.7505773889
1663340400,2022-09-16 15:00:00,WOM/USDT,0.053161,0.0535,0.052948,0.053329,417819.7992,22200.7618124609
1663336800,2022-09-16 14:00:00,WOM/USDT,0.053707,0.053909,0.052501,0.053182,518883.184,27643.0287008307
1663333200,2022-09-16 13:00:00,WOM/USDT,0.0538,0.053948,0.053573,0.053692,421529.5803,22658.7041094468
1663329600,2022-09-16 12:00:00,WOM/USDT,0.053087,0.054019,0.052724,0.053826,537918.4084,28792.9861533222
1663326000,2022-09-16 11:00:00,WOM/USDT,0.053681,0.054098,0.052553,0.052966,571438.2402,30555.5562527332
1663322400,2022-09-16 10:00:00,WOM/USDT,0.053758,0.0541,0.053565,0.053677,544276.5678,29285.7606355765
1663318800,2022-09-16 09:00:00,WOM/USDT,0.054588,0.055902,0.053615,0.053816,892722.6914,48732.4890988012
1663315200,2022-09-16 08:00:00,WOM/USDT,0.051432,0.055,0.051423,0.054852,873058.1182,46567.4375325937
1663311600,2022-09-16 07:00:00,WOM/USDT,0.051172,0.052188,0.050294,0.051333,697105.7472,35820.2797282459
1663308000,2022-09-16 06:00:00,WOM/USDT,0.05111,0.052316,0.04984,0.051339,751496.2808,38356.0071090742
1663304400,2022-09-16 05:00:00,WOM/USDT,0.049118,0.051672,0.049118,0.051198,923375.151,46849.3599885694
1663300800,2022-09-16 04:00:00,WOM/USDT,0.048734,0.04924,0.048727,0.049073,410854.4642,20082.3752895734
1663297200,2022-09-16 03:00:00,WOM/USDT,0.048208,0.04902,0.048197,0.048832,502647.2682,24425.7456741314
1663293600,2022-09-16 02:00:00,WOM/USDT,0.047877,0.048699,0.047651,0.048381,412237.0198,19912.0212841576
1663290000,2022-09-16 01:00:00,WOM/USDT,0.048273,0.048522,0.047833,0.048034,325120.5458,15670.2438320369
1663286400,2022-09-16 00:00:00,WOM/USDT,0.048329,0.048553,0.048212,0.048411,412366.1671,19932.1011322483
