https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HNT,Volume USDT
1663545600000.0,2022-09-19 00:00:00,HNT/USDT,3.9652,4.0099,3.9652,3.9874,0.9050784972663891,3.60891
1663459200000.0,2022-09-18 00:00:00,HNT/USDT,4.407,4.5311,3.6788,3.9652,3550.547974881469,14078.63283
1663372800000.0,2022-09-17 00:00:00,HNT/USDT,4.2189,4.5406,4.1531,4.407,10535.107231676879,46428.21757
1663286400000.0,2022-09-16 00:00:00,HNT/USDT,4.0685,4.2542,3.9302,4.2189,1011.5459503662092,4267.61121
1663200000000.0,2022-09-15 00:00:00,HNT/USDT,4.2311,4.2539,3.9107,4.0685,3195.691903649994,13001.67251
1663113600000.0,2022-09-14 00:00:00,HNT/USDT,4.4264,4.6561,4.1248,4.2311,7660.491779915389,32412.30677
1663027200000.0,2022-09-13 00:00:00,HNT/USDT,5.1152,5.4581,4.4254,4.4264,14886.17274986445,65892.15506
1662940800000.0,2022-09-12 00:00:00,HNT/USDT,5.2042,5.5437,4.9478,5.1152,4021.5114501876765,20570.83537
1662854400000.0,2022-09-11 00:00:00,HNT/USDT,5.6436,5.647,5.0601,5.2042,2948.530269782099,15344.74123
1662768000000.0,2022-09-10 00:00:00,HNT/USDT,4.6838,5.9812,4.6618,5.6436,34927.24110674038,197115.37791
1662681600000.0,2022-09-09 00:00:00,HNT/USDT,4.7871,5.017,4.5326,4.6838,9173.078891071353,42964.86691
1662595200000.0,2022-09-08 00:00:00,HNT/USDT,5.3101,5.4983,4.7063,4.7871,25254.37321760565,120895.21003
1662508800000.0,2022-09-07 00:00:00,HNT/USDT,3.3753,5.5776,3.3753,5.3101,29254.384591627277,155343.70762
1662422400000.0,2022-09-06 00:00:00,HNT/USDT,3.9538,4.0202,3.1896,3.3753,28340.890824519298,95659.0088
1662336000000.0,2022-09-05 00:00:00,HNT/USDT,4.3261,4.3847,3.8289,3.9538,14963.094124639587,59161.08155
1662249600000.0,2022-09-04 00:00:00,HNT/USDT,4.1759,4.3868,4.0953,4.3261,10688.622821941239,46240.05119
