https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SHA,Volume BTC
1663459200,2022-09-18 00:00:00,SHA/BTC,0.0000000424,0.0000000425,0.0000000423,0.0000000423,559028.6947,0.02369646614803
1663372800,2022-09-17 00:00:00,SHA/BTC,0.0000000415,0.0000000423,0.0000000409,0.0000000422,11896616.6445,0.49621933286083
1663286400,2022-09-16 00:00:00,SHA/BTC,0.0000000419,0.0000000428,0.0000000411,0.0000000414,21818690.4132,0.91326902394391
1663200000,2022-09-15 00:00:00,SHA/BTC,0.0000000422,0.0000000449,0.0000000412,0.0000000419,34177813.6946,1.45455296657169
1663113600,2022-09-14 00:00:00,SHA/BTC,0.0000000422,0.0000000432,0.0000000415,0.0000000422,20347733.7397,0.85953817867098
1663027200,2022-09-13 00:00:00,SHA/BTC,0.0000000402,0.0000000426,0.0000000387,0.0000000422,17178709.5975,0.69462236622334
1662940800,2022-09-12 00:00:00,SHA/BTC,0.0000000402,0.0000000405,0.0000000391,0.0000000403,15926216.1844,0.63502934076332
1662854400,2022-09-11 00:00:00,SHA/BTC,0.0000000404,0.0000000411,0.0000000396,0.0000000402,12098861.804,0.48800554358668
1662768000,2022-09-10 00:00:00,SHA/BTC,0.0000000414,0.0000000423,0.0000000403,0.0000000404,18024746.7042,0.74543923256219
1662681600,2022-09-09 00:00:00,SHA/BTC,0.0000000437,0.0000000437,0.0000000412,0.0000000414,31011870.2294,1.31261300943418
1662595200,2022-09-08 00:00:00,SHA/BTC,0.0000000439,0.0000000443,0.0000000428,0.0000000436,22992437.6766,1.00341816117767
1662508800,2022-09-07 00:00:00,SHA/BTC,0.000000044,0.0000000446,0.0000000427,0.000000044,29948373.4153,1.29893344959058
1662422400,2022-09-06 00:00:00,SHA/BTC,0.0000000434,0.0000000468,0.000000043,0.0000000439,23302837.821,1.0242297470666
1662336000,2022-09-05 00:00:00,SHA/BTC,0.0000000445,0.0000000457,0.0000000428,0.0000000431,28776575.6303,1.25773904942998
1662249600,2022-09-04 00:00:00,SHA/BTC,0.0000000445,0.0000000463,0.0000000443,0.0000000445,26089550.7576,1.17855328777059
1662163200,2022-09-03 00:00:00,SHA/BTC,0.0000000444,0.0000000463,0.0000000442,0.0000000443,23660328.6453,1.05917826785552
1662076800,2022-09-02 00:00:00,SHA/BTC,0.0000000438,0.0000000461,0.0000000437,0.0000000444,30309539.8851,1.35221696674231
1661990400,2022-09-01 00:00:00,SHA/BTC,0.0000000453,0.0000000456,0.0000000434,0.0000000439,32880776.5181,1.46266306808549
1661904000,2022-08-31 00:00:00,SHA/BTC,0.0000000459,0.0000000462,0.000000044,0.0000000452,27924881.4815,1.25320879406867
1661817600,2022-08-30 00:00:00,SHA/BTC,0.0000000452,0.0000000463,0.000000045,0.0000000461,29733830.7089,1.3499258052762
1661731200,2022-08-29 00:00:00,SHA/BTC,0.0000000447,0.0000000456,0.0000000444,0.0000000451,17395277.4757,0.77887001180095
1661644800,2022-08-28 00:00:00,SHA/BTC,0.0000000442,0.0000000452,0.000000044,0.0000000449,17936087.2466,0.7959491566842
1661558400,2022-08-27 00:00:00,SHA/BTC,0.0000000435,0.0000000447,0.0000000435,0.0000000442,24287822.9416,1.0718533327649
1661472000,2022-08-26 00:00:00,SHA/BTC,0.0000000429,0.0000000441,0.0000000423,0.0000000435,23621381.1364,1.01796682403742
1661385600,2022-08-25 00:00:00,SHA/BTC,0.0000000434,0.0000000437,0.0000000421,0.0000000428,20325039.8161,0.87081463967035
1661299200,2022-08-24 00:00:00,SHA/BTC,0.0000000427,0.0000000438,0.0000000424,0.0000000433,16388064.8614,0.7050520943014
1661212800,2022-08-23 00:00:00,SHA/BTC,0.0000000436,0.000000044,0.0000000422,0.0000000427,33362786.7647,1.43915924202238
1661126400,2022-08-22 00:00:00,SHA/BTC,0.0000000436,0.0000000455,0.0000000426,0.0000000438,33412747.7999,1.4561820747197
1661040000,2022-08-21 00:00:00,SHA/BTC,0.000000043,0.0000000438,0.0000000423,0.0000000434,31556012.4287,1.35938747984411
1660953600,2022-08-20 00:00:00,SHA/BTC,0.0000000432,0.000000044,0.0000000418,0.000000043,37216192.8239,1.58938913619487
1660867200,2022-08-19 00:00:00,SHA/BTC,0.0000000396,0.0000000445,0.0000000384,0.0000000432,60374006.4502,2.49867607861106
1660780800,2022-08-18 00:00:00,SHA/BTC,0.0000000389,0.000000041,0.0000000383,0.0000000394,27518745.6248,1.07455186840605
1660694400,2022-08-17 00:00:00,SHA/BTC,0.0000000395,0.0000000411,0.0000000385,0.0000000388,57260804.5955,2.26005446959936
1660608000,2022-08-16 00:00:00,SHA/BTC,0.0000000389,0.0000000424,0.0000000388,0.0000000396,61417290.4792,2.48488382673468
1660521600,2022-08-15 00:00:00,SHA/BTC,0.0000000379,0.0000000409,0.0000000372,0.0000000389,48864266.9347,1.91782372530736
1660435200,2022-08-14 00:00:00,SHA/BTC,0.0000000405,0.0000000409,0.0000000371,0.0000000379,43923148.0944,1.68886099738106
1660348800,2022-08-13 00:00:00,SHA/BTC,0.0000000398,0.000000043,0.0000000376,0.0000000405,97876048.67,3.85675661146744
1660262400,2022-08-12 00:00:00,SHA/BTC,0.0000000365,0.0000000521,0.0000000359,0.0000000397,172924905.8341,7.43867887136864
1660176000,2022-08-11 00:00:00,SHA/BTC,0.0000000353,0.0000000368,0.0000000349,0.0000000361,35284598.0027,1.25168787158302
1660089600,2022-08-10 00:00:00,SHA/BTC,0.0000000352,0.0000000357,0.0000000346,0.0000000353,37145635.8346,1.30441652948686
1660003200,2022-08-09 00:00:00,SHA/BTC,0.0000000352,0.0000000364,0.0000000348,0.0000000352,24219240.7752,0.85271213781742
1659916800,2022-08-08 00:00:00,SHA/BTC,0.0000000357,0.0000000357,0.0000000342,0.0000000352,27529172.244,0.9615066175764
1659830400,2022-08-07 00:00:00,SHA/BTC,0.0000000361,0.0000000373,0.0000000345,0.0000000361,30237300.9149,1.07717698054085
1659744000,2022-08-06 00:00:00,SHA/BTC,0.0000000359,0.0000000368,0.0000000354,0.000000036,13265340.2712,0.4738601694604
1659657600,2022-08-05 00:00:00,SHA/BTC,0.0000000353,0.0000000376,0.0000000349,0.0000000365,46658262.3166,1.66900592346943
1659571200,2022-08-04 00:00:00,SHA/BTC,0.0000000342,0.0000000364,0.0000000337,0.0000000354,38938672.5765,1.36007723741709
1659484800,2022-08-03 00:00:00,SHA/BTC,0.000000035,0.0000000355,0.0000000332,0.0000000342,51842943.6494,1.78083961041276
1659398400,2022-08-02 00:00:00,SHA/BTC,0.0000000365,0.0000000373,0.0000000344,0.000000035,34148532.3056,1.22163133243269
1659312000,2022-08-01 00:00:00,SHA/BTC,0.0000000369,0.0000000376,0.000000036,0.0000000364,19645778.5196,0.72359634560702
1659225600,2022-07-31 00:00:00,SHA/BTC,0.0000000372,0.0000000378,0.0000000362,0.000000037,20957598.696,0.77750464733219
1659139200,2022-07-30 00:00:00,SHA/BTC,0.0000000363,0.0000000376,0.000000036,0.0000000372,31192076.7452,1.14990617771003
1659052800,2022-07-29 00:00:00,SHA/BTC,0.0000000357,0.000000037,0.0000000357,0.0000000363,31380517.1021,1.13421669521422
1658966400,2022-07-28 00:00:00,SHA/BTC,0.0000000364,0.0000000366,0.0000000356,0.0000000358,35041344.6619,1.26226901544225
1658880000,2022-07-27 00:00:00,SHA/BTC,0.0000000377,0.0000000384,0.0000000362,0.0000000364,64699312.6388,2.38849197970293
1658793600,2022-07-26 00:00:00,SHA/BTC,0.0000000378,0.0000000382,0.0000000366,0.0000000376,36946736.7481,1.37640810269079
1658707200,2022-07-25 00:00:00,SHA/BTC,0.000000038,0.0000000384,0.0000000369,0.0000000378,41584019.2216,1.56728356486319
1658620800,2022-07-24 00:00:00,SHA/BTC,0.0000000372,0.0000000383,0.0000000366,0.0000000379,28512992.4106,1.06093747244679
1658534400,2022-07-23 00:00:00,SHA/BTC,0.0000000384,0.0000000388,0.0000000348,0.0000000372,45267655.1958,1.66966910249375
1658448000,2022-07-22 00:00:00,SHA/BTC,0.0000000368,0.0000000387,0.0000000364,0.0000000383,20328497.8588,0.75933185951083
1658361600,2022-07-21 00:00:00,SHA/BTC,0.0000000375,0.0000000382,0.0000000364,0.0000000368,34128111.445,1.26850741434613
1658275200,2022-07-20 00:00:00,SHA/BTC,0.0000000381,0.0000000398,0.0000000367,0.0000000375,40225387.9038,1.52517379524123
1658188800,2022-07-19 00:00:00,SHA/BTC,0.0000000381,0.000000039,0.0000000375,0.0000000381,26176132.4505,1.00062479295367
1658102400,2022-07-18 00:00:00,SHA/BTC,0.0000000387,0.0000000392,0.0000000378,0.0000000379,21267039.2215,0.81636355175535
1658016000,2022-07-17 00:00:00,SHA/BTC,0.0000000392,0.0000000397,0.0000000384,0.0000000387,23406916.1622,0.9143268501631
1657929600,2022-07-16 00:00:00,SHA/BTC,0.0000000406,0.0000000415,0.000000039,0.0000000391,31868559.1031,1.27258712642974
1657843200,2022-07-15 00:00:00,SHA/BTC,0.0000000391,0.0000000406,0.000000039,0.0000000406,15391905.575,0.61021755748304
1657756800,2022-07-14 00:00:00,SHA/BTC,0.0000000401,0.0000000404,0.000000039,0.0000000391,24528324.6779,0.96702346507721
1657670400,2022-07-13 00:00:00,SHA/BTC,0.0000000403,0.0000000411,0.000000039,0.0000000401,22123328.378,0.87814408831017
1657584000,2022-07-12 00:00:00,SHA/BTC,0.0000000392,0.0000000404,0.0000000381,0.0000000403,9638600.2297,0.37647848108058
1657497600,2022-07-11 00:00:00,SHA/BTC,0.0000000415,0.0000000421,0.0000000379,0.000000039,32759631.007,1.30292557460149
1657411200,2022-07-10 00:00:00,SHA/BTC,0.00000004,0.0000000419,0.00000004,0.0000000413,5334809.9444,0.21779565797846
1657324800,2022-07-09 00:00:00,SHA/BTC,0.0000000404,0.0000000419,0.00000004,0.00000004,19660711.3787,0.79624343738761
1657238400,2022-07-08 00:00:00,SHA/BTC,0.000000042,0.0000000545,0.0000000395,0.0000000405,69666636.6109,3.06744687653371
1657152000,2022-07-07 00:00:00,SHA/BTC,0.0000000434,0.0000000477,0.0000000415,0.000000042,26564201.10754662,1.168368604969796012
1657065600,2022-07-06 00:00:00,SHA/BTC,0.0000000426,0.000000043,0.0000000397,0.0000000425,11640036.07522851,0.483976489481939016
1656979200,2022-07-05 00:00:00,SHA/BTC,0.0000000463,0.0000000463,0.0000000427,0.0000000431,3050392.97164244,0.134326259303171968
1656892800,2022-07-04 00:00:00,SHA/BTC,0.000000044,0.0000000466,0.0000000423,0.0000000459,4823941.70066363,0.212079000645469706
1656806400,2022-07-03 00:00:00,SHA/BTC,0.0000000427,0.0000000463,0.0000000425,0.0000000434,3776565.1681,0.16290834326696
1656720000,2022-07-02 00:00:00,SHA/BTC,0.0000000428,0.0000000472,0.0000000425,0.0000000432,6557609.97603684,0.285916931019009908
1656633600,2022-07-01 00:00:00,SHA/BTC,0.0000000461,0.0000000464,0.0000000389,0.000000043,60526562.15266886,2.575839319996229676
1656547200,2022-06-30 00:00:00,SHA/BTC,0.0000000496,0.0000000501,0.0000000455,0.0000000455,11132788.54137187,0.534929654255039679
1656460800,2022-06-29 00:00:00,SHA/BTC,0.0000000489,0.00000005,0.0000000476,0.0000000492,2845895.1491,0.13883838260454
1656374400,2022-06-28 00:00:00,SHA/BTC,0.0000000489,0.0000000499,0.0000000473,0.0000000484,3008415.9262,0.14550831287862
1656288000,2022-06-27 00:00:00,SHA/BTC,0.0000000459,0.0000000508,0.0000000454,0.0000000487,7784968.5303,0.37674837243798
1656201600,2022-06-26 00:00:00,SHA/BTC,0.0000000467,0.0000000477,0.0000000452,0.0000000461,2335663.27892676,0.109443777453429692
1656115200,2022-06-25 00:00:00,SHA/BTC,0.0000000478,0.0000000485,0.0000000468,0.0000000474,8466047.57866742,0.40171558339136987
1656028800,2022-06-24 00:00:00,SHA/BTC,0.0000000482,0.0000000515,0.0000000466,0.000000048,10148813.0878,0.49298432219538
1655942400,2022-06-23 00:00:00,SHA/BTC,0.0000000471,0.0000000514,0.0000000451,0.0000000484,6251647.31663511,0.301150672449329568
1655856000,2022-06-22 00:00:00,SHA/BTC,0.0000000492,0.0000000492,0.000000045,0.000000048,8840071.33058502,0.424255285636689222
1655769600,2022-06-21 00:00:00,SHA/BTC,0.0000000493,0.000000051,0.0000000482,0.0000000486,11131329.5322,0.5514635874214
1655683200,2022-06-20 00:00:00,SHA/BTC,0.0000000495,0.0000000509,0.0000000477,0.0000000489,11623097.1468,0.57302222941605
1655596800,2022-06-19 00:00:00,SHA/BTC,0.0000000522,0.0000000637,0.000000048,0.0000000492,37943463.15729407,2.036840879986089023
1655510400,2022-06-18 00:00:00,SHA/BTC,0.0000000503,0.0000000566,0.00000005,0.0000000522,22150636.35846766,1.16134715604244981
1655424000,2022-06-17 00:00:00,SHA/BTC,0.0000000491,0.0000000507,0.0000000487,0.0000000503,11634526.8488,0.5764166288996
1655337600,2022-06-16 00:00:00,SHA/BTC,0.0000000466,0.000000052,0.0000000462,0.0000000489,27385490.6896,1.31781058588895
1655251200,2022-06-15 00:00:00,SHA/BTC,0.0000000464,0.0000000499,0.0000000439,0.0000000466,39405620.30269713,1.830403858478398693
1655164800,2022-06-14 00:00:00,SHA/BTC,0.0000000439,0.0000000475,0.0000000436,0.0000000466,30761745.69690677,1.409687459723779544
1655078400,2022-06-13 00:00:00,SHA/BTC,0.0000000415,0.000000045,0.0000000404,0.0000000437,31339437.42251312,1.325613611338349904
1654992000,2022-06-12 00:00:00,SHA/BTC,0.0000000417,0.000000043,0.00000004,0.000000041,16086078.2394,0.6608503806731
1654905600,2022-06-11 00:00:00,SHA/BTC,0.0000000433,0.000000046,0.0000000414,0.0000000415,15082841.20818982,0.663077773295029398
1654819200,2022-06-10 00:00:00,SHA/BTC,0.0000000461,0.0000000466,0.0000000429,0.0000000434,23837551.9238,1.06920942399451
1654732800,2022-06-09 00:00:00,SHA/BTC,0.0000000462,0.0000000475,0.0000000452,0.0000000455,6200803.07306722,0.28409488427625957
1654646400,2022-06-08 00:00:00,SHA/BTC,0.000000043,0.0000000607,0.0000000428,0.0000000471,12060880.27586102,0.576892186207129387
1654560000,2022-06-07 00:00:00,SHA/BTC,0.000000045,0.0000000471,0.0000000418,0.000000043,9282175.25432435,0.409776185783239044
1654473600,2022-06-06 00:00:00,SHA/BTC,0.0000000463,0.0000000485,0.0000000433,0.000000045,8034058.1328,0.36389287408859
1654387200,2022-06-05 00:00:00,SHA/BTC,0.0000000457,0.0000000471,0.0000000453,0.0000000457,6238680.2884,0.28753167830099
1654300800,2022-06-04 00:00:00,SHA/BTC,0.000000045,0.0000000476,0.0000000441,0.0000000457,12988446.66558298,0.595403019001749869
1654214400,2022-06-03 00:00:00,SHA/BTC,0.000000045,0.0000000465,0.0000000441,0.0000000448,8852741.26645591,0.397510149950239815
1654128000,2022-06-02 00:00:00,SHA/BTC,0.0000000456,0.0000000457,0.0000000439,0.000000045,7850601.14438053,0.351533385879749956
1654041600,2022-06-01 00:00:00,SHA/BTC,0.0000000434,0.0000000467,0.0000000429,0.0000000452,4056578.71473917,0.182341193272569239
1653955200,2022-05-31 00:00:00,SHA/BTC,0.0000000445,0.000000047,0.0000000428,0.0000000441,13857635.42313415,0.618476737831579448
1653868800,2022-05-30 00:00:00,SHA/BTC,0.0000000463,0.0000000477,0.0000000431,0.0000000446,15764142.79986756,0.704419686195569664
1653782400,2022-05-29 00:00:00,SHA/BTC,0.0000000457,0.0000000488,0.0000000444,0.0000000454,11311935.61493752,0.513830886267429688
1653696000,2022-05-28 00:00:00,SHA/BTC,0.0000000478,0.0000000482,0.0000000446,0.0000000457,15449146.90127536,0.715916190215828508
1653609600,2022-05-27 00:00:00,SHA/BTC,0.0000000483,0.0000000494,0.0000000443,0.0000000473,23008881.30953873,1.078212223478531231
1653523200,2022-05-26 00:00:00,SHA/BTC,0.0000000526,0.0000000526,0.0000000476,0.0000000486,26638790.4579426,1.323178672872125413
1653436800,2022-05-25 00:00:00,SHA/BTC,0.0000000521,0.0000000613,0.0000000508,0.0000000522,37661113.87626064,2.051582627022963738
1653350400,2022-05-24 00:00:00,SHA/BTC,0.0000000505,0.0000000535,0.0000000474,0.0000000523,31521696.72883594,1.590082897675099181
1653264000,2022-05-23 00:00:00,SHA/BTC,0.0000000486,0.0000000528,0.0000000474,0.0000000504,28989937.76810894,1.444339403137959682
1653177600,2022-05-22 00:00:00,SHA/BTC,0.0000000523,0.0000000531,0.0000000478,0.000000049,27585721.07370864,1.374108521776732457
1653091200,2022-05-21 00:00:00,SHA/BTC,0.0000000516,0.0000000537,0.0000000508,0.0000000518,20937800.64371271,1.089689684727508667
1653004800,2022-05-20 00:00:00,SHA/BTC,0.0000000517,0.0000000536,0.0000000507,0.0000000516,23240867.84977151,1.204794447924549916
1652918400,2022-05-19 00:00:00,SHA/BTC,0.0000000522,0.0000000582,0.0000000513,0.0000000514,25841288.9156,1.35385499016971
1652832000,2022-05-18 00:00:00,SHA/BTC,0.000000055,0.0000000554,0.0000000513,0.0000000522,30833727.18498778,1.637761620916479614
1652745600,2022-05-17 00:00:00,SHA/BTC,0.0000000538,0.0000000577,0.0000000527,0.000000055,26661450.90683059,1.439833535501659624
1652659200,2022-05-16 00:00:00,SHA/BTC,0.0000000529,0.000000055,0.0000000505,0.0000000538,23933101.9334,1.26023967625558
1652572800,2022-05-15 00:00:00,SHA/BTC,0.000000052,0.0000000541,0.0000000495,0.0000000526,32356709.06026817,1.664428779140589827
1652486400,2022-05-14 00:00:00,SHA/BTC,0.0000000517,0.0000000575,0.0000000493,0.000000052,47083451.21340664,2.502795314066908238
1652400000,2022-05-13 00:00:00,SHA/BTC,0.0000000476,0.0000000578,0.0000000455,0.0000000518,112516342.8381242,5.751871143919597612
1652313600,2022-05-12 00:00:00,SHA/BTC,0.0000000621,0.0000000694,0.0000000356,0.0000000474,156507111.76469453,8.678442803446106137
1652227200,2022-05-11 00:00:00,SHA/BTC,0.000000079,0.0000000813,0.0000000596,0.0000000623,48861953.93211706,3.259414858116817963
1652140800,2022-05-10 00:00:00,SHA/BTC,0.0000000846,0.0000000865,0.000000077,0.0000000787,14211666.90614166,1.159830131539079464
1652054400,2022-05-09 00:00:00,SHA/BTC,0.0000000871,0.0000000904,0.0000000823,0.0000000852,10483417.1390184,0.895469953591699184
1651968000,2022-05-08 00:00:00,SHA/BTC,0.0000000847,0.0000000948,0.000000082,0.0000000874,8880345.78712441,0.783287211406539732
