https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DREAMS,Volume USDT
1663459200,2022-09-18 00:00:00,DREAMS/USDT,0.002632,0.002633,0.002611,0.002622,1494117.1947,3917.294152671
1663372800,2022-09-17 00:00:00,DREAMS/USDT,0.002602,0.002709,0.002587,0.002633,29844961.6179,78420.6777501585
1663286400,2022-09-16 00:00:00,DREAMS/USDT,0.0025,0.002728,0.002499,0.002602,46980738.5103,122299.5110305539
1663200000,2022-09-15 00:00:00,DREAMS/USDT,0.002468,0.002515,0.00245,0.002502,35587665.5651,87762.2908093672
1663113600,2022-09-14 00:00:00,DREAMS/USDT,0.002473,0.002532,0.002455,0.002468,33652417.2243,83637.3972994211
1663027200,2022-09-13 00:00:00,DREAMS/USDT,0.002507,0.002524,0.002451,0.002473,27994259.6676,69616.7221116581
1662940800,2022-09-12 00:00:00,DREAMS/USDT,0.002469,0.002511,0.00245,0.002511,36350828.7598,89838.4059709976
1662854400,2022-09-11 00:00:00,DREAMS/USDT,0.002512,0.002532,0.002463,0.002466,29758293.1476,74140.7465088712
1662768000,2022-09-10 00:00:00,DREAMS/USDT,0.002454,0.002532,0.002407,0.002513,41563625.8164,102085.4819524709
1662681600,2022-09-09 00:00:00,DREAMS/USDT,0.00242,0.00247,0.00237,0.002454,43986411.3908,106731.2743193635
1662595200,2022-09-08 00:00:00,DREAMS/USDT,0.002535,0.002535,0.002312,0.00242,64809050.0215,158340.6564504361
1662508800,2022-09-07 00:00:00,DREAMS/USDT,0.002463,0.002574,0.00243,0.002535,48552914.6383,119922.1919289923
1662422400,2022-09-06 00:00:00,DREAMS/USDT,0.002512,0.002572,0.00245,0.002457,53949370.0333,135484.1675165645
1662336000,2022-09-05 00:00:00,DREAMS/USDT,0.002543,0.00256,0.002512,0.002517,65256075.3139,165600.672213814
1662249600,2022-09-04 00:00:00,DREAMS/USDT,0.002501,0.002576,0.002498,0.002546,58880426.9651,148997.1338020547
1662163200,2022-09-03 00:00:00,DREAMS/USDT,0.00252,0.002537,0.002491,0.002504,73267458.8147,184153.4791948587
1662076800,2022-09-02 00:00:00,DREAMS/USDT,0.002556,0.00258,0.002513,0.00252,61531533.7314,156889.810414818
1661990400,2022-09-01 00:00:00,DREAMS/USDT,0.002661,0.002669,0.002533,0.002556,58428521.6922,150941.6571343831
1661904000,2022-08-31 00:00:00,DREAMS/USDT,0.002616,0.0039,0.002599,0.002664,161163684.28092051,465139.40896949792791
1661817600,2022-08-30 00:00:00,DREAMS/USDT,0.002571,0.002661,0.002563,0.002603,56186525.9576,146331.6838793691
1661731200,2022-08-29 00:00:00,DREAMS/USDT,0.002652,0.002665,0.00256,0.002571,50759061.7176,132233.8714590585
1661644800,2022-08-28 00:00:00,DREAMS/USDT,0.002633,0.002674,0.002623,0.002652,72270381.1755,191414.2133372058
1661558400,2022-08-27 00:00:00,DREAMS/USDT,0.002645,0.002669,0.002618,0.002636,76677340.4768,202240.0533341507
1661472000,2022-08-26 00:00:00,DREAMS/USDT,0.0027,0.002724,0.00264,0.002642,71865029.1794,193003.7085913344
1661385600,2022-08-25 00:00:00,DREAMS/USDT,0.002709,0.00275,0.002671,0.002699,58857285.7953,159790.3294198144
1661299200,2022-08-24 00:00:00,DREAMS/USDT,0.002726,0.002748,0.002666,0.002705,74246003.3868,200466.8667012941
1661212800,2022-08-23 00:00:00,DREAMS/USDT,0.002756,0.002797,0.002676,0.002722,65952018.2483,180138.6773252228
1661126400,2022-08-22 00:00:00,DREAMS/USDT,0.002831,0.002845,0.002728,0.002759,61412491.7678,170956.3660605442
1661040000,2022-08-21 00:00:00,DREAMS/USDT,0.002753,0.00285,0.002746,0.002834,46451977.002,129714.3675719197
