https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MARSH,Volume USDT
1663462800,2022-09-18 01:00:00,MARSH/USDT,0.0636,0.0636,0.0635,0.0636,22079.1939,1404.23657141
1663459200,2022-09-18 00:00:00,MARSH/USDT,0.064,0.0645,0.0631,0.0635,159735.4775,10149.40686136
1663455600,2022-09-17 23:00:00,MARSH/USDT,0.063,0.0648,0.0627,0.0638,71065.1165,4497.64754885
1663452000,2022-09-17 22:00:00,MARSH/USDT,0.0622,0.0629,0.0621,0.0625,125467.5957,7832.22206277
1663448400,2022-09-17 21:00:00,MARSH/USDT,0.0622,0.0625,0.0619,0.0622,183391.5644,11412.09942634
1663444800,2022-09-17 20:00:00,MARSH/USDT,0.0628,0.0631,0.0618,0.0622,99302.9289,6190.89818758
1663441200,2022-09-17 19:00:00,MARSH/USDT,0.0616,0.0634,0.0615,0.063,77207.8532,4788.85442748
1663437600,2022-09-17 18:00:00,MARSH/USDT,0.0617,0.062,0.0615,0.0617,64272.1571,3965.62112438
1663434000,2022-09-17 17:00:00,MARSH/USDT,0.0615,0.0617,0.0614,0.0616,58025.2164,3571.35798771
1663430400,2022-09-17 16:00:00,MARSH/USDT,0.0616,0.0617,0.0612,0.0616,61896.5062,3802.68665215
1663426800,2022-09-17 15:00:00,MARSH/USDT,0.0615,0.0618,0.0615,0.0616,65997.7212,4066.36699273
1663423200,2022-09-17 14:00:00,MARSH/USDT,0.0624,0.0624,0.0615,0.0616,75258.4231,4661.62408362
1663419600,2022-09-17 13:00:00,MARSH/USDT,0.0627,0.0627,0.0623,0.0624,41608.3885,2601.17921341
1663416000,2022-09-17 12:00:00,MARSH/USDT,0.0623,0.0627,0.0621,0.0627,81125.51,5058.55860084
1663412400,2022-09-17 11:00:00,MARSH/USDT,0.0621,0.0625,0.0621,0.0624,88072.87,5484.60512412
1663408800,2022-09-17 10:00:00,MARSH/USDT,0.0612,0.0628,0.0612,0.0626,68528.5892,4256.36830975
1663405200,2022-09-17 09:00:00,MARSH/USDT,0.0615,0.0616,0.0612,0.0613,67308.4982,4131.46203065
1663401600,2022-09-17 08:00:00,MARSH/USDT,0.0619,0.0619,0.0615,0.0616,133143.8586,8226.07388539
1663398000,2022-09-17 07:00:00,MARSH/USDT,0.0619,0.0619,0.0618,0.0619,156763.614,9703.66751385
1663394400,2022-09-17 06:00:00,MARSH/USDT,0.0619,0.062,0.0619,0.0619,116145.4116,7190.30251055
1663390800,2022-09-17 05:00:00,MARSH/USDT,0.0619,0.0621,0.0617,0.062,58158.2276,3596.26853814
1663387200,2022-09-17 04:00:00,MARSH/USDT,0.0618,0.062,0.0618,0.0618,90075.2368,5571.7325917
1663383600,2022-09-17 03:00:00,MARSH/USDT,0.0619,0.062,0.0618,0.0619,59191.0285,3661.37324404
1663380000,2022-09-17 02:00:00,MARSH/USDT,0.062,0.062,0.0617,0.0619,86436.685,5347.39096426
1663376400,2022-09-17 01:00:00,MARSH/USDT,0.0621,0.0622,0.0616,0.062,49242.3414,3059.80114679
1663372800,2022-09-17 00:00:00,MARSH/USDT,0.0621,0.0622,0.0621,0.0622,86627.7581,5384.18485211
1663369200,2022-09-16 23:00:00,MARSH/USDT,0.062,0.0623,0.062,0.0621,68955.0611,4286.03259974
1663365600,2022-09-16 22:00:00,MARSH/USDT,0.0621,0.0625,0.0616,0.0621,106442.2985,6613.37640438
1663362000,2022-09-16 21:00:00,MARSH/USDT,0.0623,0.0628,0.062,0.0622,183905.4199,11451.01491626
1663358400,2022-09-16 20:00:00,MARSH/USDT,0.0618,0.0634,0.0617,0.0624,141464.188,8822.56949198
1663354800,2022-09-16 19:00:00,MARSH/USDT,0.0621,0.0624,0.0611,0.0618,180691.1878,11171.67112636
1663351200,2022-09-16 18:00:00,MARSH/USDT,0.0618,0.0624,0.0617,0.0619,134258.1936,8318.38201405
1663347600,2022-09-16 17:00:00,MARSH/USDT,0.0619,0.062,0.0616,0.0617,64457.2497,3981.56375229
1663344000,2022-09-16 16:00:00,MARSH/USDT,0.0615,0.0621,0.0614,0.0617,50809.9656,3133.6507692
1663340400,2022-09-16 15:00:00,MARSH/USDT,0.062,0.062,0.0613,0.0617,60793.1405,3741.57591052
1663336800,2022-09-16 14:00:00,MARSH/USDT,0.0618,0.0634,0.0611,0.0619,51858.0757,3214.38538055
1663333200,2022-09-16 13:00:00,MARSH/USDT,0.0614,0.0618,0.0611,0.0618,133394.2483,8186.66569537
1663329600,2022-09-16 12:00:00,MARSH/USDT,0.0622,0.0623,0.061,0.0614,185034.1892,11432.65785182
1663326000,2022-09-16 11:00:00,MARSH/USDT,0.0621,0.0624,0.0615,0.062,131074.9064,8115.11792281
1663322400,2022-09-16 10:00:00,MARSH/USDT,0.0617,0.0623,0.0615,0.0619,184359.0777,11407.16245566
1663318800,2022-09-16 09:00:00,MARSH/USDT,0.0614,0.0636,0.0611,0.0621,119256.966,7408.99086708
1663315200,2022-09-16 08:00:00,MARSH/USDT,0.0628,0.0629,0.0611,0.0614,30549.6258,1885.52544965
1663311600,2022-09-16 07:00:00,MARSH/USDT,0.0655,0.0663,0.0611,0.0628,42354.767,2687.71762818
1663308000,2022-09-16 06:00:00,MARSH/USDT,0.0635,0.0655,0.0626,0.0654,30805.5608,1949.71867227
1663304400,2022-09-16 05:00:00,MARSH/USDT,0.0638,0.0641,0.0626,0.0631,30700.0179,1956.11646565
1663300800,2022-09-16 04:00:00,MARSH/USDT,0.0646,0.0648,0.0633,0.0644,61362.4762,3953.72739892
1663297200,2022-09-16 03:00:00,MARSH/USDT,0.0646,0.0654,0.0645,0.0647,147230.323,9535.34149788
1663293600,2022-09-16 02:00:00,MARSH/USDT,0.0648,0.0651,0.0645,0.0648,142966.6262,9249.73511674
1663290000,2022-09-16 01:00:00,MARSH/USDT,0.065,0.065,0.0641,0.0646,73272.4917,4730.01461005
1663286400,2022-09-16 00:00:00,MARSH/USDT,0.0653,0.0666,0.0638,0.0648,84546.6619,5480.42598394
1663282800,2022-09-15 23:00:00,MARSH/USDT,0.0663,0.0664,0.0645,0.0653,38804.2334,2550.40661401
1663279200,2022-09-15 22:00:00,MARSH/USDT,0.0661,0.0665,0.0655,0.0659,53463.0059,3517.26293512
1663275600,2022-09-15 21:00:00,MARSH/USDT,0.0654,0.0668,0.065,0.0662,54180.5173,3555.72006581
1663272000,2022-09-15 20:00:00,MARSH/USDT,0.0659,0.0676,0.0651,0.0655,80203.2028,5258.77822179
1663268400,2022-09-15 19:00:00,MARSH/USDT,0.0657,0.0659,0.0651,0.0657,78185.9077,5127.36669805
1663264800,2022-09-15 18:00:00,MARSH/USDT,0.0651,0.0659,0.065,0.0654,65845.057,4305.3891242
1663261200,2022-09-15 17:00:00,MARSH/USDT,0.0646,0.066,0.0645,0.0651,77788.9768,5077.88207494
1663257600,2022-09-15 16:00:00,MARSH/USDT,0.0646,0.066,0.0643,0.0648,79414.6582,5181.73301343
1663254000,2022-09-15 15:00:00,MARSH/USDT,0.0662,0.0662,0.0641,0.0644,66789.1439,4314.29708842
1663250400,2022-09-15 14:00:00,MARSH/USDT,0.0675,0.0687,0.0656,0.0662,108179.2913,7234.12959489
1663246800,2022-09-15 13:00:00,MARSH/USDT,0.0672,0.069,0.067,0.0672,59196.7623,3989.70244354
1663243200,2022-09-15 12:00:00,MARSH/USDT,0.0666,0.0681,0.0666,0.0674,82372.4267,5519.03516191
1663239600,2022-09-15 11:00:00,MARSH/USDT,0.0666,0.0668,0.0665,0.0666,57002.799,3799.67500329
1663236000,2022-09-15 10:00:00,MARSH/USDT,0.0667,0.0667,0.0666,0.0667,66061.9757,4404.03845255
1663232400,2022-09-15 09:00:00,MARSH/USDT,0.0668,0.0669,0.0665,0.0667,68941.8611,4599.69598197
1663228800,2022-09-15 08:00:00,MARSH/USDT,0.0667,0.067,0.0666,0.0668,91102.6386,6082.55126432
1663225200,2022-09-15 07:00:00,MARSH/USDT,0.0668,0.067,0.0666,0.0667,194083.7359,12957.8205017
1663221600,2022-09-15 06:00:00,MARSH/USDT,0.0668,0.067,0.0666,0.067,121338.1555,8106.36666044
1663218000,2022-09-15 05:00:00,MARSH/USDT,0.0668,0.067,0.0666,0.0669,79692.9882,5319.55693704
1663214400,2022-09-15 04:00:00,MARSH/USDT,0.0667,0.0668,0.0667,0.0667,55329.7097,3690.82163699
1663210800,2022-09-15 03:00:00,MARSH/USDT,0.0667,0.0667,0.0666,0.0667,100507.4828,6703.47021883
1663207200,2022-09-15 02:00:00,MARSH/USDT,0.0668,0.0681,0.0661,0.0667,180558.6229,12045.36603896
1663203600,2022-09-15 01:00:00,MARSH/USDT,0.0668,0.0668,0.0667,0.0668,161024.9231,10756.46438669
1663200000,2022-09-15 00:00:00,MARSH/USDT,0.0661,0.0676,0.0659,0.0669,73984.7574,4901.2258369
1663196400,2022-09-14 23:00:00,MARSH/USDT,0.066,0.0662,0.066,0.0661,71672.8185,4739.30065152
1663192800,2022-09-14 22:00:00,MARSH/USDT,0.0662,0.0663,0.0659,0.0662,50629.6422,3348.30228849
1663189200,2022-09-14 21:00:00,MARSH/USDT,0.0661,0.0662,0.0659,0.0662,90244.0122,5971.39313075
1663185600,2022-09-14 20:00:00,MARSH/USDT,0.0661,0.0663,0.0659,0.0659,54165.0304,3577.8957735
1663182000,2022-09-14 19:00:00,MARSH/USDT,0.0659,0.0663,0.0657,0.066,52780.0331,3490.72103449
1663178400,2022-09-14 18:00:00,MARSH/USDT,0.0672,0.0673,0.0657,0.0661,67265.6601,4464.02883398
1663174800,2022-09-14 17:00:00,MARSH/USDT,0.0671,0.0673,0.067,0.0672,34385.8257,2309.86488366
1663171200,2022-09-14 16:00:00,MARSH/USDT,0.067,0.0679,0.0662,0.0671,46355.9908,3096.72907768
1663167600,2022-09-14 15:00:00,MARSH/USDT,0.067,0.0678,0.0661,0.0665,69475.8288,4646.50612247
1663164000,2022-09-14 14:00:00,MARSH/USDT,0.0668,0.0679,0.0665,0.067,56768.2347,3798.7858351
1663160400,2022-09-14 13:00:00,MARSH/USDT,0.0662,0.0676,0.0662,0.0667,56967.984,3790.52508935
1663156800,2022-09-14 12:00:00,MARSH/USDT,0.0664,0.0671,0.0659,0.0662,178540.9947,11852.30105503
1663153200,2022-09-14 11:00:00,MARSH/USDT,0.0667,0.0668,0.0659,0.0664,141003.2023,9363.50723537
1663149600,2022-09-14 10:00:00,MARSH/USDT,0.067,0.0674,0.0662,0.0668,65219.5881,4363.22137521
1663146000,2022-09-14 09:00:00,MARSH/USDT,0.067,0.0672,0.0667,0.0671,151209.9153,10128.29867022
1663142400,2022-09-14 08:00:00,MARSH/USDT,0.0663,0.0669,0.066,0.0667,207939.8071,13840.01699063
1663138800,2022-09-14 07:00:00,MARSH/USDT,0.0665,0.0667,0.066,0.0664,191762.7868,12727.40530634
1663135200,2022-09-14 06:00:00,MARSH/USDT,0.0664,0.0667,0.066,0.0663,113237.3708,7514.33857347
1663131600,2022-09-14 05:00:00,MARSH/USDT,0.0663,0.0666,0.0661,0.0665,50137.016,3325.21326176
