https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume EXM
1663549200000,2022-09-19 01:00:00,EXM/ETH,1.212e-05,1.212e-05,1.21e-05,1.21e-05,0.014935856460612998,1234.36830253
1663538400000,2022-09-18 22:00:00,EXM/ETH,1.23e-05,1.23e-05,1.23e-05,1.23e-05,0.095731118927577,7783.01779899
1663534800000,2022-09-18 21:00:00,EXM/ETH,1.207e-05,1.23e-05,1.207e-05,1.23e-05,0.773382276065337,62876.60781019
1663531200000,2022-09-18 20:00:00,EXM/ETH,1.201e-05,1.207e-05,1.201e-05,1.207e-05,0.0857789918210439,7106.79302577
1663527600000,2022-09-18 19:00:00,EXM/ETH,1.206e-05,1.207e-05,1.2e-05,1.2e-05,0.04607025789324,3839.18815777
1663524000000,2022-09-18 18:00:00,EXM/ETH,1.2e-05,1.207e-05,1.2e-05,1.2e-05,0.37629250038828,31357.70836569
1663520400000,2022-09-18 17:00:00,EXM/ETH,1.198e-05,1.205e-05,1.198e-05,1.205e-05,0.4133968536396985,34306.79283317
1663516800000,2022-09-18 16:00:00,EXM/ETH,1.186e-05,1.188e-05,1.186e-05,1.188e-05,0.60358560527628,50806.869131
1663513200000,2022-09-18 15:00:00,EXM/ETH,1.186e-05,1.186e-05,1.186e-05,1.186e-05,0.00119666214,100.899
1663509600000,2022-09-18 14:00:00,EXM/ETH,1.179e-05,1.185e-05,1.179e-05,1.185e-05,0.1314325754532105,11091.35657833
1663506000000,2022-09-18 13:00:00,EXM/ETH,1.18e-05,1.18e-05,1.18e-05,1.18e-05,0.15622889375985802,13239.73675931
1663502400000,2022-09-18 12:00:00,EXM/ETH,1.171e-05,1.18e-05,1.122e-05,1.18e-05,1.113809672620662,94390.65022209
1663498800000,2022-09-18 11:00:00,EXM/ETH,1.171e-05,1.179e-05,1.171e-05,1.179e-05,0.0249375952599057,2115.14802883
1663495200000,2022-09-18 10:00:00,EXM/ETH,1.165e-05,1.17e-05,1.156e-05,1.17e-05,0.36993430020526197,31618.31625686
1663491600000,2022-09-18 09:00:00,EXM/ETH,1.158e-05,1.165e-05,1.158e-05,1.165e-05,1.83141186637548,157202.7353112
