https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ZAR,tradecount
1617354000000,2021-04-02 09:00:00,BTC/ZAR,828920.00000000,900800.00000000,804655.00000000,857014.00000000,0.04629500,38750.26732000,87
1617350400000,2021-04-02 08:00:00,BTC/ZAR,827355.00000000,836460.00000000,825226.00000000,828918.00000000,0.00569300,4736.70738600,10
1617346800000,2021-04-02 07:00:00,BTC/ZAR,836291.00000000,836604.00000000,827355.00000000,836604.00000000,0.00209100,1747.02901900,5
1617343200000,2021-04-02 06:00:00,BTC/ZAR,829008.00000000,838996.00000000,828183.00000000,836604.00000000,0.71729100,601298.44682200,14
1617339600000,2021-04-02 05:00:00,BTC/ZAR,820511.00000000,822150.00000000,813724.00000000,822150.00000000,0.00163900,1339.37706100,7
1617336000000,2021-04-02 04:00:00,BTC/ZAR,833350.00000000,833350.00000000,833350.00000000,833350.00000000,0.02178900,18157.86315000,2
1617332400000,2021-04-02 03:00:00,BTC/ZAR,829008.00000000,833356.00000000,813724.00000000,833356.00000000,0.04238300,35132.14469000,10
1617328800000,2021-04-02 02:00:00,BTC/ZAR,815350.00000000,829008.00000000,796578.00000000,820511.00000000,0.00413100,3324.91925900,9
1617325200000,2021-04-02 01:00:00,BTC/ZAR,808605.00000000,822150.00000000,806993.00000000,806993.00000000,0.00076600,621.11282400,5
1617321600000,2021-04-02 00:00:00,BTC/ZAR,815350.00000000,820511.00000000,800318.00000000,806993.00000000,0.00355300,2889.88377000,11
1617318000000,2021-04-01 23:00:00,BTC/ZAR,813724.00000000,829710.00000000,806993.00000000,806993.00000000,0.00869200,7194.42553800,7
1617314400000,2021-04-01 22:00:00,BTC/ZAR,813724.00000000,829008.00000000,806993.00000000,822150.00000000,0.00617800,5045.37765000,17
1617310800000,2021-04-01 21:00:00,BTC/ZAR,816001.00000000,827576.00000000,807805.00000000,827292.00000000,0.22209800,183255.11839500,27
1617307200000,2021-04-01 20:00:00,BTC/ZAR,820511.00000000,830227.00000000,795335.00000000,815348.00000000,0.27914400,231568.53466600,31
1617303600000,2021-04-01 19:00:00,BTC/ZAR,829008.00000000,830250.00000000,820512.00000000,830250.00000000,0.29181400,242203.03628700,19
1617300000000,2021-04-01 18:00:00,BTC/ZAR,800318.00000000,828015.00000000,800318.00000000,828015.00000000,0.06318900,51540.40801800,28
1617296400000,2021-04-01 17:00:00,BTC/ZAR,789632.00000000,813338.00000000,780621.00000000,808605.00000000,0.20804600,166418.60587300,48
1617292800000,2021-04-01 16:00:00,BTC/ZAR,787027.00000000,789624.00000000,787027.00000000,789624.00000000,0.00181600,1431.68261500,5
1617289200000,2021-04-01 15:00:00,BTC/ZAR,770619.00000000,782565.00000000,770619.00000000,782565.00000000,0.00083600,650.49061200,4
1617285600000,2021-04-01 14:00:00,BTC/ZAR,768303.00000000,780873.00000000,767761.00000000,768421.00000000,0.11630300,90092.52396200,12
1617282000000,2021-04-01 13:00:00,BTC/ZAR,780763.00000000,780763.00000000,768303.00000000,768303.00000000,0.00942500,7308.29057500,2
1617278400000,2021-04-01 12:00:00,BTC/ZAR,780763.00000000,780763.00000000,780763.00000000,780763.00000000,0.00000000,0.00000000,0
1617274800000,2021-04-01 11:00:00,BTC/ZAR,783840.00000000,784643.00000000,768531.00000000,780763.00000000,0.11684200,91501.00627300,7
1617271200000,2021-04-01 10:00:00,BTC/ZAR,788659.00000000,788660.00000000,787201.00000000,787201.00000000,0.00113200,891.70157700,5
1617267600000,2021-04-01 09:00:00,BTC/ZAR,790112.00000000,796530.00000000,774164.00000000,781320.00000000,0.26626200,209449.14504500,37
1617264000000,2021-04-01 08:00:00,BTC/ZAR,794084.00000000,801442.00000000,784621.00000000,784621.00000000,0.02094500,16601.20675700,27
1617260400000,2021-04-01 07:00:00,BTC/ZAR,789395.00000000,794084.00000000,787196.00000000,794084.00000000,0.22888800,181415.67404600,15
1617256800000,2021-04-01 06:00:00,BTC/ZAR,790109.00000000,793969.00000000,783659.00000000,784621.00000000,0.05504000,43203.81625600,18
1617253200000,2021-04-01 05:00:00,BTC/ZAR,780689.00000000,788565.00000000,780621.00000000,784621.00000000,0.01203000,9418.32223400,6
