https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GGG,Volume USDT
1663459200,2022-09-18 00:00:00,GGG/USDT,0.062,0.0623,0.062,0.0623,1869.2524,116.23777545
1663372800,2022-09-17 00:00:00,GGG/USDT,0.0601,0.0623,0.0599,0.0617,42790.1481,2634.77357404
1663286400,2022-09-16 00:00:00,GGG/USDT,0.0601,0.0615,0.059,0.0599,94722.3602,5698.39579073
1663200000,2022-09-15 00:00:00,GGG/USDT,0.0629,0.0631,0.0598,0.06,102302.0175,6290.54414825
1663113600,2022-09-14 00:00:00,GGG/USDT,0.0621,0.0635,0.0609,0.0625,32959.8647,2057.24908963
1663027200,2022-09-13 00:00:00,GGG/USDT,0.0666,0.0667,0.0618,0.0624,96771.9969,6207.42063162
1662940800,2022-09-12 00:00:00,GGG/USDT,0.0665,0.0681,0.0656,0.0666,67887.9206,4510.45413301
1662854400,2022-09-11 00:00:00,GGG/USDT,0.0678,0.068,0.0657,0.0665,72160.8159,4818.28948908
1662768000,2022-09-10 00:00:00,GGG/USDT,0.0733,0.0741,0.0666,0.0675,221995.0235,15370.6408784
1662681600,2022-09-09 00:00:00,GGG/USDT,0.0646,0.0843,0.0646,0.073,1724503.8972,131420.80310807
1662595200,2022-09-08 00:00:00,GGG/USDT,0.0648,0.0658,0.064,0.0649,381569.9908,24683.24417005
1662508800,2022-09-07 00:00:00,GGG/USDT,0.063,0.0654,0.0628,0.0649,1433643.3733,91371.92116541
1662422400,2022-09-06 00:00:00,GGG/USDT,0.0652,0.0657,0.0624,0.063,1766256.04,113723.74423774
1662336000,2022-09-05 00:00:00,GGG/USDT,0.066,0.0661,0.0636,0.0653,2195282.5567,143213.87321329
1662249600,2022-09-04 00:00:00,GGG/USDT,0.0661,0.067,0.0654,0.066,2245816.6846,148665.31980845
1662163200,2022-09-03 00:00:00,GGG/USDT,0.0671,0.0673,0.0658,0.0662,1701370.6741,113535.8071046
1662076800,2022-09-02 00:00:00,GGG/USDT,0.0667,0.0685,0.0659,0.0671,2157198.3045,144116.94448751
1661990400,2022-09-01 00:00:00,GGG/USDT,0.0693,0.0698,0.066,0.0667,1741055.8976,118443.47218788
1661904000,2022-08-31 00:00:00,GGG/USDT,0.0705,0.072,0.0686,0.0693,2448904.3646,171757.67556068
1661817600,2022-08-30 00:00:00,GGG/USDT,0.0691,0.0718,0.0688,0.0704,2624715.7795,184201.6631677
1661731200,2022-08-29 00:00:00,GGG/USDT,0.0687,0.0696,0.0676,0.0691,2136193.6849,146737.40464429
1661644800,2022-08-28 00:00:00,GGG/USDT,0.0704,0.0719,0.0688,0.0688,1914269.0306,134218.10055978
1661558400,2022-08-27 00:00:00,GGG/USDT,0.0717,0.0718,0.07,0.0703,1894017.3582,133876.38468092
1661472000,2022-08-26 00:00:00,GGG/USDT,0.0767,0.0767,0.0707,0.0718,1617081.1777,120151.50086469
1661385600,2022-08-25 00:00:00,GGG/USDT,0.0768,0.0776,0.0746,0.0767,1806200.1818,137884.92460902
1661299200,2022-08-24 00:00:00,GGG/USDT,0.0775,0.0798,0.0755,0.0766,1534683.4403,118456.8759434
1661212800,2022-08-23 00:00:00,GGG/USDT,0.0774,0.079,0.0766,0.0775,1392471.9022,108103.23980563
1661126400,2022-08-22 00:00:00,GGG/USDT,0.0801,0.0802,0.0751,0.0774,1396491.1881,107953.88831281
1661040000,2022-08-21 00:00:00,GGG/USDT,0.0791,0.082,0.0782,0.0801,1307088.9303,104923.38918436
1660953600,2022-08-20 00:00:00,GGG/USDT,0.0777,0.0795,0.0776,0.0793,1650054.4525,129361.8227315
1660867200,2022-08-19 00:00:00,GGG/USDT,0.0845,0.0846,0.0775,0.0777,1847006.7801,147630.92319412
1660780800,2022-08-18 00:00:00,GGG/USDT,0.0889,0.089,0.0837,0.0846,2045698.9917,177061.34001291
1660694400,2022-08-17 00:00:00,GGG/USDT,0.0846,0.0919,0.0838,0.0889,2422957.4666,210513.58510211
1660608000,2022-08-16 00:00:00,GGG/USDT,0.0834,0.0846,0.0805,0.0845,1479849.7663,122256.36468999
1660521600,2022-08-15 00:00:00,GGG/USDT,0.0841,0.087,0.0824,0.0834,1587964.9697,133814.65463209
1660435200,2022-08-14 00:00:00,GGG/USDT,0.0901,0.0901,0.0827,0.0841,1387461.0238,120794.36171393
1660348800,2022-08-13 00:00:00,GGG/USDT,0.0968,0.0973,0.0866,0.09,2085740.8927,190516.85648811
1660262400,2022-08-12 00:00:00,GGG/USDT,0.1,0.1005,0.0953,0.0969,1388304.869,137017.97518733
1660176000,2022-08-11 00:00:00,GGG/USDT,0.1007,0.1026,0.0993,0.1003,1426942.2397,143943.66575642
1660089600,2022-08-10 00:00:00,GGG/USDT,0.104,0.104,0.0984,0.1007,1753473.0758,177497.48997547
1660003200,2022-08-09 00:00:00,GGG/USDT,0.1037,0.1056,0.0993,0.1044,1824635.3234,187222.16593625
1659916800,2022-08-08 00:00:00,GGG/USDT,0.1016,0.106,0.1015,0.1036,1549166.384,160372.90377537
